date,code,name,strategy,price,resonance_count,action_guide
2025-12-29,000045,深纺织Ａ,golden_pit,12.12,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000058,深 赛 格,golden_pit,9.44,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000060,中金岭南,macd_water,5.77,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
2025-12-29,000061,农 产 品,"macd_water,golden_pit",10.19,2,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。 | [golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000159,国际实业,golden_pit,5.84,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000301,东方盛虹,macd_water,10.99,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
2025-12-29,000407,胜利股份,macd_water,5.34,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
2025-12-29,000409,云鼎科技,golden_pit,11.16,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000425,徐工机械,golden_pit,11.26,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000505,京粮控股,macd_water,9.01,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
2025-12-29,000510,新金路,macd_water,12.08,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
2025-12-29,000519,中兵红箭,golden_pit,17.94,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000550,江铃汽车,golden_pit,18.85,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000554,泰山石油,golden_pit,6.51,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000561,烽火电子,"macd_water,golden_pit",12.2,2,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。 | [golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000576,甘化科工,golden_pit,10.54,1,[golden_pit]: 【底部位】黄金坑企稳。适合底部轻仓潜伏，跌破坑底最低价止损。
2025-12-29,000589,贵州轮胎,macd_water,5.13,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
2025-12-29,000593,德龙汇能,macd_water,11.7,1,[macd_water]: 【强势位】水上金叉。代表多头趋势延续。若股价贴近20日线可回吸。
