code,signal,name
001965,突破回踩,招商公路
603711,上升通道回踩,香飘飘
600886,长线均线支撑,国投电力
002825,上升通道回踩,纳尔股份
603777,上升通道回踩,来伊份
601222,上升通道回踩,林洋能源
003012,MACD底背离,东鹏控股
600611,突破回踩,大众交通
002283,上升通道回踩,天润工业
603439,突破回踩,贵州三力
601107,上升通道回踩,四川成渝
600722,长线均线支撑,金牛化工
002478,MACD底背离,常宝股份
002577,上升通道回踩,雷柏科技
000859,上升通道回踩,国风新材
600999,突破回踩,招商证券
600237,突破回踩,铜峰电子
603113,MACD底背离,金能科技
002642,上升通道回踩,荣联科技
600336,上升通道回踩,澳柯玛
002600,上升通道回踩,领益智造
002786,突破回踩,银宝山新
000837,长线均线支撑,秦川机床
603085,上升通道回踩,天成自控
002453,上升通道回踩,华软科技
000404,上升通道回踩,长虹华意
603116,上升通道回踩,红蜻蜓
603880,上升通道回踩,南卫股份
600268,长线均线支撑,国电南自
002068,上升通道回踩,黑猫股份
600116,上升通道回踩,三峡水利
002654,上升通道回踩,万润科技
603178,长线均线支撑,圣龙股份
600057,MACD底背离,厦门象屿
600012,突破回踩,皖通高速
002449,突破回踩,国星光电
600973,长线均线支撑,宝胜股份
002806,上升通道回踩,华锋股份
605599,MACD底背离,菜百股份
002892,突破回踩,科力尔
601988,上升通道回踩,中国银行
603466,上升通道回踩,风语筑
000700,突破回踩,模塑科技
000630,长线均线支撑,铜陵有色
000543,突破回踩,皖能电力
002724,MACD底背离,海洋王
000429,突破回踩,粤高速Ａ
002169,突破回踩,智光电气
002348,上升通道回踩,高乐股份
002527,上升通道回踩,新时达
603305,上升通道回踩,旭升集团
002208,上升通道回踩,合肥城建
002608,上升通道回踩,江苏国信
002576,上升通道回踩,通达动力
603660,上升通道回踩,苏州科达
000060,上升通道回踩,中金岭南
603155,上升通道回踩,新亚强
601963,突破回踩,重庆银行
601919,上升通道回踩,中远海控
605399,上升通道回踩,晨光新材
600023,上升通道回踩,浙能电力
600246,突破回踩,万通发展
600186,突破回踩,莲花控股
002823,突破回踩,凯中精密
002860,上升通道回踩,星帅尔
601059,上升通道回踩,信达证券
600596,上升通道回踩,新安股份
600538,长线均线支撑,国发股份
603313,MACD底背离,梦百合
000670,突破回踩,盈方微
601918,上升通道回踩,新集能源
600768,长线均线支撑,宁波富邦
601198,长线均线支撑,东兴证券
001258,上升通道回踩,立新能源
600552,突破回踩,凯盛科技
603527,上升通道回踩,众源新材
002766,突破回踩,索菱股份
000519,上升通道回踩,中兵红箭
000567,长线均线支撑,海德股份
603956,上升通道回踩,威派格
