code,signal,name
000862,上升通道回踩,银星能源
603693,上升通道回踩,江苏新能
600958,上升通道回踩,东方证券
002277,突破回踩,友阿股份
603335,上升通道回踩,迪生力
000953,突破回踩,河化股份
000950,突破回踩,重药控股
002806,上升通道回踩,华锋股份
601118,上升通道回踩,海南橡胶
002106,上升通道回踩,莱宝高科
002815,上升通道回踩,崇达技术
603276,上升通道回踩,恒兴新材
603332,上升通道回踩,苏州龙杰
600202,上升通道回踩,哈空调
000802,突破回踩,北京文化
600116,上升通道回踩,三峡水利
600889,上升通道回踩,南京化纤
600901,长线均线支撑,江苏金租
002392,突破回踩,北京利尔
603155,突破回踩,新亚强
603682,突破回踩,锦和商管
000600,上升通道回踩,建投能源
002823,上升通道回踩,凯中精密
600577,突破回踩,精达股份
002366,上升通道回踩,融发核电
603331,上升通道回踩,百达精工
601985,上升通道回踩,中国核电
600101,上升通道回踩,明星电力
601727,突破回踩,上海电气
000042,突破回踩,中洲控股
600737,上升通道回踩,中粮糖业
600163,突破回踩,中闽能源
603577,上升通道回踩,汇金通
603527,上升通道回踩,众源新材
000755,上升通道回踩,山西高速
603725,突破回踩,天安新材
600917,突破回踩,重庆燃气
000045,上升通道回踩,深纺织Ａ
000670,长线均线支撑,盈方微
000682,上升通道回踩,东方电子
000027,突破回踩,深圳能源
603023,突破回踩,威帝股份
601700,长线均线支撑,风范股份
002845,长线均线支撑,同兴达
600027,突破回踩,华电国际
603711,突破回踩,香飘飘
603162,突破回踩,海通发展
000881,上升通道回踩,中广核技
603709,上升通道回踩,中源家居
600319,上升通道回踩,亚星化学
603977,长线均线支撑,国泰集团
002849,上升通道回踩,威星智能
600642,上升通道回踩,申能股份
000006,上升通道回踩,深振业Ａ
002090,上升通道回踩,金智科技
002334,突破回踩,英威腾
000819,长线均线支撑,岳阳兴长
600561,上升通道回踩,江西长运
600143,上升通道回踩,金发科技
600736,上升通道回踩,苏州高新
001391,突破回踩,国货航
002455,MACD底背离,百川股份
605368,MACD底背离,蓝天燃气
603012,上升通道回踩,创力集团
000993,突破回踩,闽东电力
603901,上升通道回踩,永创智能
002137,突破回踩,实益达
002413,长线均线支撑,雷科防务
002702,上升通道回踩,海欣食品
002449,上升通道回踩,国星光电
600956,上升通道回踩,新天绿能
600203,上升通道回踩,福日电子
603602,突破回踩,纵横通信
002780,上升通道回踩,三夫户外
002559,突破回踩,亚威股份
002861,突破回踩,瀛通通讯
601107,突破回踩,四川成渝
002056,上升通道回踩,横店东磁
002939,突破回踩,长城证券
600601,上升通道回踩,方正科技
002205,长线均线支撑,国统股份
603165,上升通道回踩,荣晟环保
603912,上升通道回踩,佳力图
002585,突破回踩,双星新材
000837,突破回踩,秦川机床
000537,上升通道回踩,中绿电
002519,长线均线支撑,银河电子
600377,上升通道回踩,宁沪高速
603990,突破回踩,麦迪科技
600651,上升通道回踩,飞乐音响
002533,上升通道回踩,金杯电工
600366,上升通道回踩,宁波韵升
002708,突破回踩,光洋股份
600776,长线均线支撑,东方通信
600197,上升通道回踩,伊力特
603997,长线均线支撑,继峰股份
002107,长线均线支撑,沃华医药
002300,上升通道回踩,太阳电缆
600100,上升通道回踩,同方股份
002510,突破回踩,天汽模
600552,突破回踩,凯盛科技
605180,上升通道回踩,华生科技
001965,突破回踩,招商公路
001356,突破回踩,富岭股份
002441,上升通道回踩,众业达
002576,上升通道回踩,通达动力
603617,上升通道回踩,君禾股份
001258,突破回踩,立新能源
000803,长线均线支撑,山高环能
603798,上升通道回踩,康普顿
002725,上升通道回踩,跃岭股份
000701,上升通道回踩,厦门信达
600461,上升通道回踩,洪城环境
603126,上升通道回踩,中材节能
002577,突破回踩,雷柏科技
000036,上升通道回踩,华联控股
000429,突破回踩,粤高速Ａ
601939,上升通道回踩,建设银行
000823,上升通道回踩,超声电子
600232,上升通道回踩,金鹰股份
603578,突破回踩,三星新材
601222,上升通道回踩,林洋能源
600098,突破回踩,广州发展
601006,突破回踩,大秦铁路
001236,上升通道回踩,弘业期货
002446,上升通道回踩,盛路通信
002327,上升通道回踩,富安娜
600698,突破回踩,湖南天雁
000421,上升通道回踩,南京公用
600712,上升通道回踩,南宁百货
002177,长线均线支撑,御银股份
603466,上升通道回踩,风语筑
001286,上升通道回踩,陕西能源
603339,长线均线支撑,四方科技
600780,上升通道回踩,通宝能源
603118,上升通道回踩,共进股份
002125,长线均线支撑,湘潭电化
600995,上升通道回踩,南网储能
002633,上升通道回踩,申科股份
601086,上升通道回踩,国芳集团
603836,上升通道回踩,海程邦达
002248,上升通道回踩,华东数控
600449,突破回踩,宁夏建材
002777,上升通道回踩,久远银海
000712,上升通道回踩,锦龙股份
002040,上升通道回踩,南 京 港
603969,突破回踩,银龙股份
600475,突破回踩,华光环能
000060,上升通道回踩,中金岭南
000553,上升通道回踩,安道麦A
603915,突破回踩,国茂股份
600927,上升通道回踩,永安期货
603158,上升通道回踩,腾龙股份
000531,上升通道回踩,穗恒运Ａ
002439,上升通道回踩,启明星辰
603880,突破回踩,南卫股份
603088,长线均线支撑,宁波精达
603219,突破回踩,富佳股份
600558,上升通道回踩,大西洋
600933,上升通道回踩,爱柯迪
000722,上升通道回踩,湖南发展
600236,上升通道回踩,桂冠电力
603839,上升通道回踩,安正时尚
002579,上升通道回踩,中京电子
601002,长线均线支撑,晋亿实业
603421,长线均线支撑,鼎信通讯
002295,上升通道回踩,精艺股份
002631,上升通道回踩,德尔未来
605155,上升通道回踩,西大门
600018,上升通道回踩,上港集团
601777,突破回踩,千里科技
600192,突破回踩,长城电工
603208,上升通道回踩,江山欧派
600153,上升通道回踩,建发股份
601636,长线均线支撑,旗滨集团
002129,突破回踩,TCL中环
001366,上升通道回踩,播恩集团
002629,突破回踩,仁智股份
600658,上升通道回踩,电子城
002820,上升通道回踩,桂发祥
000875,上升通道回踩,吉电股份
603327,长线均线支撑,福蓉科技
