code,type,name
600714,牛回头(回踩10MA),金瑞矿业
002471,牛回头(回踩10MA),中超控股
000758,牛回头(回踩10MA),中色股份
000783,牛回头(回踩10MA),长江证券
603212,牛回头(回踩10MA),赛伍技术
000729,牛回头(回踩10MA),燕京啤酒
603727,牛回头(回踩10MA),博迈科
000636,牛回头(回踩10MA),风华高科
600172,牛回头(回踩10MA),黄河旋风
601608,牛回头(回踩10MA),中信重工
600616,牛回头(回踩10MA),金枫酒业
002996,牛回头(回踩10MA),顺博合金
000407,牛回头(回踩10MA),胜利股份
601808,牛回头(回踩10MA),中海油服
600663,牛回头(回踩10MA),陆家嘴
600888,牛回头(回踩10MA),新疆众和
002629,牛回头(回踩10MA),仁智股份
601677,牛回头(回踩10MA),明泰铝业
002329,牛回头(回踩10MA),皇氏集团
600655,牛回头(回踩10MA),豫园股份
002548,牛回头(回踩10MA),金新农
002378,牛回头(回踩10MA),章源钨业
603806,牛回头(回踩10MA),福斯特
000970,牛回头(回踩10MA),中科三环
600459,牛回头(回踩10MA),贵研铂业
601068,牛回头(回踩10MA),中铝国际
000949,牛回头(回踩10MA),新乡化纤
000655,牛回头(回踩10MA),金岭矿业
601121,牛回头(回踩10MA),宝地矿业
002843,物极必反(超跌反弹),泰嘉股份
600173,牛回头(回踩10MA),卧龙新能
002129,牛回头(回踩10MA),TCL中环
603993,牛回头(回踩10MA),洛阳钼业
000860,牛回头(回踩10MA),顺鑫农业
600556,牛回头(回踩10MA),天下秀
