股票代码,股票名称,命中战法汇总,最新价,共振强度
000159,国际实业,MACD抄底 + 三位一体,6.56,2
000582,北部湾港,老鸭头,10.91,1
000600,建投能源,老鸭头,9.39,1
000811,冰轮环境,三位一体,22.41,1
000862,银星能源,MACD抄底,6.68,1
002053,云南能投,MACD抄底,11.69,1
002161,远 望 谷,MACD抄底,7.3,1
002201,九鼎新材,三位一体,15.32,1
002221,东华能源,MACD抄底,8.2,1
002237,恒邦股份,三位一体,18.48,1
002322,理工能科,老鸭头,14.13,1
002448,中原内配,三位一体,15.93,1
002576,通达动力,老鸭头,18.56,1
002598,山东章鼓,MACD抄底,8.16,1
002667,威领股份,三位一体,30.76,1
002730,电光科技,三位一体,27.8,1
600126,杭钢股份,三位一体,10.26,1
600446,金证股份,三位一体,13.31,1
600468,百利电气,MACD抄底,8.15,1
600470,六国化工,MACD抄底,6.88,1
600497,驰宏锌锗,三位一体,9.52,1
600531,豫光金铅,三位一体,16.4,1
600638,新黄浦,三位一体,6.39,1
600730,中国高科,MACD抄底,8.94,1
600736,苏州高新,三位一体,7.61,1
600776,东方通信,三位一体,17.3,1
600869,远东股份,三位一体,17.18,1
600961,株冶集团,三位一体,29.18,1
601187,厦门银行,老鸭头,7.76,1
601218,吉鑫科技,老鸭头,6.2,1
603098,森特股份,MACD抄底,15.26,1
603112,华翔股份,三位一体,22.07,1
603328,依顿电子,三位一体,14.21,1
603637,镇海股份,三位一体,16.8,1
603901,永创智能,三位一体,13.33,1
603903,中持股份,三位一体,12.9,1
603967,中创物流,老鸭头,13.26,1
605077,华康股份,三位一体,16.5,1
605299,舒华体育,老鸭头,20.47,1
