股票代码,股票名称,命中战法汇总,最新价,共振强度
000957,中通客车,MACD抄底 + 三位一体,9.8,2
002062,宏润建设,MACD抄底 + 三位一体,7.56,2
603819,神力股份,MACD抄底 + 三位一体,12.87,2
002624,完美世界,MACD抄底 + 三位一体,11.24,2
002115,三维通信,MACD抄底 + 三位一体,11.23,2
000973,佛塑科技,三位一体,12.44,1
000739,普洛药业,三位一体,20.47,1
000837,秦川机床,三位一体,9.68,1
000829,天音控股,三位一体,8.29,1
002107,沃华医药,三位一体,6.95,1
002066,瑞泰科技,MACD抄底,20.43,1
002023,海特高新,MACD抄底,9.35,1
002171,楚江新材,MACD抄底,9.28,1
002184,海得控制,MACD抄底,9.35,1
002235,安妮股份,MACD抄底,8.03,1
002250,联化科技,三位一体,16.26,1
002166,莱茵生物,三位一体,6.96,1
002358,森源电气,MACD抄底,5.2,1
002783,凯龙股份,MACD抄底,7.01,1
002918,蒙娜丽莎,三位一体,9.35,1
002973,侨银股份,MACD抄底,10.33,1
600189,泉阳泉,MACD抄底,7.61,1
600199,金种子酒,三位一体,6.94,1
600415,小商品城,三位一体,10.43,1
002177,御银股份,MACD抄底,5.22,1
600523,贵航股份,MACD抄底,11.26,1
600560,金自天正,MACD抄底,10.65,1
600732,爱旭股份,三位一体,12.44,1
600678,四川金顶,MACD抄底,5.4,1
601061,中信金属,MACD抄底,10.82,1
601108,财通证券,MACD抄底,9.01,1
601677,明泰铝业,MACD抄底,16.2,1
600897,厦门空港,MACD抄底,14.85,1
601777,千里科技,MACD抄底,7.61,1
603018,华设集团,MACD抄底,5.35,1
603218,日月股份,MACD抄底,9.62,1
603085,天成自控,MACD抄底,9.36,1
603697,有友食品,MACD抄底,10.57,1
603997,继峰股份,MACD抄底,12.48,1
605008,长鸿高科,三位一体,12.15,1
605050,福然德,三位一体,10.26,1
