股票代码,股票名称,命中战法汇总,最新价,共振强度
688567,孚能科技,MACD抄底 + 三位一体,16.34,2
603619,中曼石油,MACD抄底 + 老鸭头,22.23,2
603895,天永智能,MACD抄底 + 三位一体,29.3,2
000506,招金黄金,三位一体,23.57,1
000426,兴业银锡,老鸭头,34.97,1
000777,中核科技,三位一体,23.46,1
000786,北新建材,老鸭头,24.85,1
000951,中国重汽,三位一体,18.6,1
000952,广济药业,三位一体,8.26,1
001209,洪兴股份,老鸭头,20.88,1
000572,海马汽车,MACD抄底,7.16,1
000592,平潭发展,三位一体,10.68,1
000766,通化金马,老鸭头,28.34,1
001259,利仁科技,老鸭头,30.12,1
001256,炜冈科技,MACD抄底,21.35,1
001231,农心科技,MACD抄底,22.26,1
001266,宏英智能,MACD抄底,30.0,1
001308,康冠科技,MACD抄底,20.83,1
001278,一彬科技,老鸭头,20.13,1
001279,强邦新材,MACD抄底,34.42,1
001298,好上好,MACD抄底,29.97,1
002009,天奇股份,三位一体,28.72,1
002030,达安基因,三位一体,7.71,1
002054,德美化工,三位一体,9.5,1
002115,三维通信,三位一体,15.73,1
002119,康强电子,三位一体,24.75,1
001323,慕思股份,MACD抄底,26.67,1
001337,四川黄金,老鸭头,28.6,1
001373,翔腾新材,MACD抄底,31.14,1
002185,华天科技,三位一体,14.66,1
002241,歌尔股份,MACD抄底,28.73,1
002246,北化股份,三位一体,23.37,1
002264,新 华 都,三位一体,10.56,1
002279,久其软件,三位一体,10.82,1
002291,遥望科技,三位一体,8.28,1
002379,宏创控股,老鸭头,22.68,1
002413,雷科防务,三位一体,14.21,1
002429,兆驰股份,三位一体,10.85,1
002446,盛路通信,三位一体,12.46,1
002471,中超控股,三位一体,8.49,1
002492,恒基达鑫,三位一体,9.14,1
002539,云图控股,三位一体,14.98,1
002128,电投能源,老鸭头,27.42,1
002142,宁波银行,老鸭头,28.31,1
002163,海南发展,三位一体,20.68,1
002634,棒杰股份,三位一体,5.91,1
002637,赞宇科技,三位一体,14.29,1
002718,友邦吊顶,三位一体,32.67,1
002767,先锋电子,老鸭头,21.66,1
002778,中晟高科,MACD抄底,21.35,1
002831,裕同科技,老鸭头,29.05,1
002842,翔鹭钨业,三位一体,26.22,1
002935,天奥电子,三位一体,22.09,1
002971,和远气体,MACD抄底,31.06,1
002980,华盛昌,MACD抄底,21.18,1
002990,盛视科技,MACD抄底,28.1,1
002995,天地在线,三位一体,27.61,1
003008,开普检测,MACD抄底,22.43,1
003011,海象新材,MACD抄底,22.4,1
003020,立方制药,MACD抄底,27.07,1
003042,中农联合,三位一体,23.1,1
600071,凤凰光学,MACD抄底,21.06,1
600150,中国船舶,MACD抄底,33.84,1
600172,黄河旋风,三位一体,7.16,1
600410,华胜天成,三位一体,21.23,1
600438,通威股份,MACD抄底,21.38,1
600475,华光环能,三位一体,21.48,1
600501,航天晨光,三位一体,26.16,1
600531,豫光金铅,三位一体,20.49,1
600592,龙溪股份,三位一体,26.79,1
600602,云赛智联,三位一体,22.17,1
600754,锦江酒店,老鸭头,24.84,1
600764,中国海防,MACD抄底,27.24,1
600793,宜宾纸业,三位一体,23.41,1
002557,洽洽食品,老鸭头,22.0,1
002626,金达威,三位一体,20.03,1
