股票代码,股票名称,命中战法汇总,最新价,共振强度
000425,徐工机械,MACD抄底,8.24,1
000582,北部湾港,三位一体,13.28,1
000630,铜陵有色,老鸭头,6.67,1
000973,佛塑科技,三位一体,13.68,1
001330,博纳影业,三位一体,6.17,1
001376,百通能源,三位一体,12.13,1
002037,保利联合,老鸭头,7.07,1
002052,同洲电子,老鸭头,8.93,1
002123,梦网科技,MACD抄底,8.43,1
002248,华东数控,三位一体,10.05,1
002268,电科网安,老鸭头,14.44,1
002571,德力股份,老鸭头,10.74,1
002632,道明光学,三位一体,8.98,1
002668,TCL智家,老鸭头,10.37,1
002749,国光股份,三位一体,9.11,1
002769,普路通,三位一体,7.85,1
002909,集泰股份,三位一体,6.62,1
600191,华资实业,老鸭头,10.65,1
600236,桂冠电力,老鸭头,10.89,1
600356,恒丰纸业,三位一体,9.06,1
600371,万向德农,三位一体,13.96,1
600497,驰宏锌锗,老鸭头,10.45,1
600531,豫光金铅,老鸭头,13.51,1
600595,中孚实业,MACD抄底,6.4,1
600711,盛屯矿业,老鸭头,11.81,1
600712,南宁百货,三位一体,5.8,1
600859,王府井,MACD抄底,10.14,1
600860,京城股份,老鸭头,8.29,1
600909,华安证券,MACD抄底,8.24,1
601061,中信金属,老鸭头,11.77,1
601187,厦门银行,MACD抄底,7.45,1
601198,东兴证券,老鸭头,13.82,1
601566,九牧王,三位一体,9.42,1
601600,中国铝业,老鸭头,9.79,1
601677,明泰铝业,老鸭头,17.0,1
601700,风范股份,三位一体,7.08,1
603331,百达精工,三位一体,13.25,1
603458,勘设股份,MACD抄底,9.59,1
603535,嘉诚国际,老鸭头,6.44,1
603668,天马科技,MACD抄底,10.92,1
603697,有友食品,MACD抄底,9.6,1
603808,歌力思,三位一体,8.54,1
603817,海峡环保,老鸭头,5.82,1
605189,富春染织,三位一体,16.78,1
605300,佳禾食品,三位一体,10.73,1
605377,华旺科技,MACD抄底,9.4,1
