股票代码,股票名称,命中战法汇总,最新价,共振强度
002038,双鹭药业,MACD抄底 + 三位一体,6.25,2
000753,漳州发展,三位一体,6.97,1
000993,闽东电力,三位一体,15.7,1
002275,桂林三金,MACD抄底,13.95,1
002345,潮宏基,MACD抄底,10.37,1
002782,可立克,三位一体,23.78,1
002795,永和智控,三位一体,7.91,1
002887,绿茵生态,三位一体,12.14,1
600158,中体产业,三位一体,11.23,1
600302,标准股份,MACD抄底,11.75,1
600578,京能电力,三位一体,5.73,1
600802,福建水泥,三位一体,6.27,1
600969,郴电国际,MACD抄底,10.76,1
601002,晋亿实业,三位一体,5.54,1
601566,九牧王,MACD抄底,10.67,1
603227,雪峰科技,三位一体,9.41,1
603300,海南华铁,三位一体,7.13,1
603626,科森科技,三位一体,21.54,1
603777,来伊份,三位一体,13.88,1
603808,歌力思,三位一体,10.42,1
603885,吉祥航空,三位一体,11.85,1
605208,永茂泰,MACD抄底,13.51,1
