股票代码,股票名称,命中战法汇总,最新价,共振强度
002572,索菲亚,MACD抄底 + 老鸭头,13.73,2
002942,新农股份,MACD抄底 + 三位一体,21.16,2
000050,深天马Ａ,三位一体,10.25,1
000501,武商集团,三位一体,11.1,1
000166,申万宏源,老鸭头,5.35,1
000553,安道麦A,MACD抄底,5.65,1
000598,兴蓉环境,老鸭头,7.14,1
000610,西安旅游,老鸭头,12.56,1
000548,湖南投资,MACD抄底,5.47,1
000705,浙江震元,MACD抄底,9.24,1
000739,普洛药业,老鸭头,16.37,1
000791,甘肃能源,MACD抄底,6.54,1
000862,银星能源,老鸭头,6.06,1
000888,峨眉山Ａ,老鸭头,13.25,1
000917,电广传媒,三位一体,12.06,1
000950,重药控股,三位一体,6.31,1
000995,皇台酒业,MACD抄底,12.84,1
001219,青岛食品,MACD抄底,14.69,1
001387,雪祺电气,MACD抄底,14.19,1
002009,天奇股份,三位一体,21.3,1
002033,丽江股份,老鸭头,9.3,1
002088,鲁阳节能,三位一体,11.35,1
002103,广博股份,MACD抄底,9.48,1
002119,康强电子,三位一体,18.68,1
000039,中集集团,老鸭头,9.7,1
002162,悦心健康,三位一体,5.2,1
002188,中天服务,老鸭头,6.38,1
002243,力合科创,三位一体,11.41,1
002203,海亮股份,三位一体,14.05,1
002296,辉煌科技,三位一体,12.43,1
002299,圣农发展,老鸭头,16.6,1
002316,亚联发展,三位一体,5.71,1
002292,奥飞娱乐,三位一体,9.99,1
002400,省广集团,三位一体,10.37,1
002416,爱施德,三位一体,13.64,1
002419,天虹股份,三位一体,6.03,1
002483,润邦股份,老鸭头,7.18,1
002507,涪陵榨菜,MACD抄底,13.06,1
002508,老板电器,MACD抄底,19.64,1
002514,宝馨科技,MACD抄底,6.12,1
002330,得利斯,老鸭头,5.02,1
002521,齐峰新材,MACD抄底,8.45,1
002541,鸿路钢构,三位一体,19.75,1
002575,群兴玩具,MACD抄底,6.47,1
002584,西陇科学,老鸭头,9.5,1
002588,史丹利,老鸭头,9.82,1
002601,龙佰集团,三位一体,20.91,1
002612,朗姿股份,老鸭头,19.5,1
002649,博彦科技,三位一体,14.41,1
002685,华东重机,MACD抄底,7.78,1
002706,良信股份,三位一体,11.77,1
002712,思美传媒,三位一体,6.5,1
002719,麦趣尔,MACD抄底,8.67,1
002729,好利科技,三位一体,17.94,1
002731,萃华珠宝,MACD抄底,12.76,1
002737,葵花药业,MACD抄底,15.04,1
000676,智度股份,三位一体,9.46,1
002820,桂发祥,MACD抄底,12.32,1
002877,智能自控,MACD抄底,9.46,1
003018,金富科技,老鸭头,17.45,1
600025,华能水电,MACD抄底,9.15,1
600054,黄山旅游,老鸭头,11.44,1
600058,五矿发展,三位一体,11.52,1
600084,中信尼雅,MACD抄底,5.31,1
600098,广州发展,MACD抄底,6.71,1
600133,东湖高新,三位一体,10.66,1
600177,雅戈尔,MACD抄底,7.53,1
600215,派斯林,三位一体,8.46,1
600287,苏豪时尚,MACD抄底,5.65,1
600558,大西洋,三位一体,6.76,1
600642,申能股份,MACD抄底,7.93,1
600676,交运股份,三位一体,6.79,1
600706,曲江文旅,老鸭头,11.1,1
600720,中交设计,MACD抄底,7.3,1
600722,金牛化工,三位一体,6.7,1
600728,佳都科技,三位一体,7.15,1
600730,中国高科,老鸭头,12.49,1
600757,长江传媒,MACD抄底,8.96,1
600784,鲁银投资,三位一体,7.96,1
600814,杭州解百,三位一体,8.47,1
600829,人民同泰,MACD抄底,11.83,1
600958,东方证券,老鸭头,10.91,1
600987,航民股份,MACD抄底,6.95,1
601019,山东出版,老鸭头,8.83,1
601086,国芳集团,MACD抄底,10.64,1
601106,中国一重,三位一体,5.41,1
601111,中国国航,老鸭头,8.98,1
601226,华电科工,三位一体,8.93,1
601238,广汽集团,老鸭头,8.44,1
601512,中新集团,三位一体,10.17,1
601598,中国外运,MACD抄底,6.18,1
601615,明阳智能,三位一体,17.89,1
601827,三峰环境,老鸭头,8.52,1
601858,中国科传,三位一体,19.52,1
601900,南方传媒,MACD抄底,13.7,1
601928,凤凰传媒,MACD抄底,10.07,1
601958,金钼股份,三位一体,18.38,1
603015,弘讯科技,三位一体,17.11,1
603042,华脉科技,老鸭头,17.81,1
603108,润达医疗,三位一体,17.94,1
603115,海星股份,三位一体,20.76,1
603116,红蜻蜓,三位一体,6.79,1
603155,新亚强,老鸭头,17.79,1
603223,恒通股份,MACD抄底,9.42,1
603230,内蒙新华,MACD抄底,12.93,1
603313,梦百合,MACD抄底,9.58,1
603326,我乐家居,MACD抄底,8.94,1
603327,福蓉科技,老鸭头,11.31,1
603610,麒盛科技,老鸭头,19.42,1
603823,百合花,MACD抄底,15.94,1
603880,南卫股份,MACD抄底,6.22,1
603967,中创物流,老鸭头,13.01,1
605567,春雪食品,MACD抄底,11.06,1
688009,中国通号,老鸭头,5.56,1
688105,诺唯赞,MACD抄底,20.32,1
688121,卓然股份,MACD抄底,11.2,1
688209,英集芯,MACD抄底,21.51,1
688315,诺禾致源,三位一体,15.0,1
688327,云从科技,三位一体,16.3,1
688469,芯联集成,老鸭头,6.84,1
688509,正元地信,三位一体,5.85,1
