股票代码,股票名称,命中战法汇总,最新价,共振强度
600721,百花医药,MACD抄底 + 三位一体,7.79,2
600776,东方通信,MACD抄底 + 三位一体,17.0,2
000829,天音控股,MACD抄底,8.77,1
000600,建投能源,老鸭头,10.75,1
000510,新金路,老鸭头,16.78,1
002278,神开股份,MACD抄底,9.06,1
002342,巨力索具,三位一体,11.66,1
002361,神剑股份,MACD抄底,18.49,1
002446,盛路通信,MACD抄底,10.37,1
002583,海能达,MACD抄底,8.54,1
002598,山东章鼓,三位一体,7.48,1
000970,中科三环,MACD抄底,12.63,1
002085,万丰奥威,三位一体,12.31,1
002678,珠江钢琴,老鸭头,6.12,1
002611,东方精工,老鸭头,18.1,1
600172,黄河旋风,老鸭头,12.56,1
002824,和胜股份,老鸭头,25.56,1
600546,山煤国际,老鸭头,13.63,1
600736,苏州高新,三位一体,7.86,1
600749,西藏旅游,三位一体,16.17,1
600783,鲁信创投,老鸭头,22.47,1
600857,宁波中百,老鸭头,14.65,1
600973,宝胜股份,MACD抄底,7.18,1
601233,桐昆股份,老鸭头,19.99,1
601288,农业银行,MACD抄底,6.57,1
603458,勘设股份,老鸭头,13.31,1
603500,祥和实业,三位一体,13.45,1
603997,继峰股份,老鸭头,14.17,1
605303,园林股份,老鸭头,27.32,1
