股票代码,股票名称,命中战法汇总,最新价,共振强度
000061,农 产 品,MACD抄底,9.3,1
000159,国际实业,三位一体,7.78,1
000506,招金黄金,三位一体,22.33,1
000561,烽火电子,三位一体,12.12,1
000617,中油资本,三位一体,9.62,1
000729,燕京啤酒,老鸭头,12.73,1
000798,中水渔业,老鸭头,11.64,1
000811,冰轮环境,三位一体,21.5,1
000819,岳阳兴长,三位一体,17.48,1
000830,鲁西化工,三位一体,19.88,1
000973,佛塑科技,老鸭头,13.15,1
001914,招商积余,老鸭头,11.59,1
002040,南 京 港,三位一体,11.97,1
002067,景兴纸业,老鸭头,5.63,1
002131,利欧股份,老鸭头,9.11,1
002205,国统股份,老鸭头,14.51,1
002215,诺 普 信,老鸭头,11.66,1
002221,东华能源,三位一体,9.33,1
002237,恒邦股份,三位一体,20.49,1
002246,北化股份,三位一体,22.86,1
002254,泰和新材,老鸭头,13.02,1
002258,利尔化学,老鸭头,16.65,1
002278,神开股份,三位一体,15.24,1
002383,合众思壮,三位一体,12.13,1
002405,四维图新,老鸭头,10.68,1
002465,海格通信,三位一体,18.73,1
002617,露笑科技,老鸭头,9.1,1
002629,仁智股份,三位一体,7.37,1
002648,卫星化学,三位一体,24.7,1
002669,康达新材,老鸭头,14.81,1
002795,永和智控,三位一体,8.62,1
002845,同兴达,老鸭头,15.09,1
600012,皖通高速,MACD抄底,14.51,1
600028,中国石化,三位一体,7.11,1
600127,金健米业,MACD抄底,7.01,1
600179,安通控股,MACD抄底,5.06,1
600189,泉阳泉,老鸭头,8.44,1
600236,桂冠电力,三位一体,9.78,1
600333,长春燃气,MACD抄底,5.92,1
600435,北方导航,三位一体,18.87,1
600531,豫光金铅,三位一体,19.32,1
600618,氯碱化工,老鸭头,15.58,1
600755,厦门国贸,MACD抄底,6.76,1
600773,西藏城投,三位一体,15.32,1
601008,连云港,三位一体,5.72,1
601133,柏诚股份,老鸭头,17.84,1
601212,白银有色,三位一体,11.77,1
601288,农业银行,MACD抄底,6.48,1
601608,中信重工,老鸭头,7.81,1
601700,风范股份,老鸭头,5.97,1
601777,千里科技,老鸭头,11.12,1
601872,招商轮船,三位一体,17.86,1
601898,中煤能源,三位一体,16.55,1
603086,先达股份,老鸭头,8.5,1
603110,东方材料,三位一体,17.72,1
603112,华翔股份,MACD抄底,17.79,1
603162,海通发展,三位一体,16.18,1
603311,金海高科,老鸭头,15.93,1
603356,华菱精工,三位一体,20.82,1
603861,白云电器,三位一体,20.49,1
603977,国泰集团,三位一体,16.45,1
605033,美邦股份,老鸭头,23.7,1
605066,天正电气,老鸭头,8.6,1
605077,华康股份,老鸭头,16.35,1
