股票代码,股票名称,命中战法汇总,最新价,共振强度
002942,新农股份,MACD抄底 + 三位一体,21.16,2
605056,咸亨国际,MACD抄底 + 三位一体,18.25,2
000411,英特集团,老鸭头,12.81,1
000019,深粮控股,MACD抄底,7.03,1
000546,金圆股份,三位一体,7.02,1
000612,焦作万方,三位一体,13.31,1
000663,永安林业,MACD抄底,7.75,1
000089,深圳机场,MACD抄底,7.02,1
000683,博源化工,老鸭头,7.37,1
000719,中原传媒,三位一体,12.99,1
000848,承德露露,MACD抄底,8.62,1
000886,海南高速,三位一体,6.97,1
000925,众合科技,三位一体,9.79,1
000987,越秀资本,三位一体,10.84,1
000993,闽东电力,MACD抄底,12.89,1
000503,国新健康,三位一体,11.61,1
002009,天奇股份,三位一体,21.3,1
002054,德美化工,三位一体,8.31,1
002066,瑞泰科技,三位一体,20.79,1
002078,太阳纸业,老鸭头,15.66,1
002082,万邦德,三位一体,16.56,1
002088,鲁阳节能,三位一体,12.49,1
002098,浔兴股份,三位一体,11.03,1
002103,广博股份,三位一体,10.43,1
002161,远 望 谷,三位一体,8.12,1
002181,粤 传 媒,三位一体,11.09,1
002186,全 聚 德,MACD抄底,12.06,1
002193,如意集团,MACD抄底,5.41,1
002198,嘉应制药,老鸭头,7.27,1
002212,天融信,三位一体,10.17,1
002238,天威视讯,MACD抄底,8.96,1
000679,大连友谊,MACD抄底,7.55,1
002330,得利斯,老鸭头,5.02,1
002351,漫步者,三位一体,13.19,1
002410,广联达,三位一体,14.26,1
002401,中远海科,三位一体,17.39,1
002461,珠江啤酒,MACD抄底,9.56,1
002467,二六三,三位一体,6.72,1
002483,润邦股份,老鸭头,7.18,1
002443,金洲管道,三位一体,8.86,1
002530,金财互联,三位一体,11.53,1
002541,鸿路钢构,三位一体,19.75,1
002563,森马服饰,MACD抄底,5.49,1
002572,索菲亚,老鸭头,13.85,1
002574,明牌珠宝,三位一体,6.35,1
002584,西陇科学,老鸭头,9.54,1
002601,龙佰集团,三位一体,20.91,1
002521,齐峰新材,三位一体,8.89,1
002609,捷顺科技,三位一体,10.47,1
002612,朗姿股份,老鸭头,19.5,1
002661,克明食品,MACD抄底,9.23,1
002659,凯文教育,三位一体,6.85,1
002727,一心堂,MACD抄底,13.4,1
002729,好利科技,三位一体,18.85,1
002732,燕塘乳业,MACD抄底,17.37,1
002722,物产金轮,三位一体,16.13,1
002780,三夫户外,MACD抄底,14.59,1
002803,吉宏股份,三位一体,19.43,1
002836,新宏泽,老鸭头,16.0,1
002858,力盛体育,三位一体,17.39,1
002972,科安达,MACD抄底,12.16,1
003000,劲仔食品,MACD抄底,11.72,1
600012,皖通高速,MACD抄底,14.59,1
001202,炬申股份,三位一体,17.67,1
600018,上港集团,MACD抄底,5.5,1
600058,五矿发展,三位一体,11.52,1
600126,杭钢股份,三位一体,9.2,1
600088,中视传媒,三位一体,18.34,1
600189,泉阳泉,MACD抄底,7.09,1
600233,圆通速递,MACD抄底,16.92,1
600249,两面针,MACD抄底,5.96,1
600131,国网信通,三位一体,17.9,1
600272,开开实业,MACD抄底,14.5,1
600373,中文传媒,三位一体,10.3,1
600446,金证股份,三位一体,17.85,1
600452,涪陵电力,三位一体,10.42,1
600579,中化装备,三位一体,9.37,1
600602,云赛智联,三位一体,21.05,1
600651,飞乐音响,三位一体,8.4,1
600269,赣粤高速,MACD抄底,5.24,1
600694,大商股份,三位一体,20.05,1
600706,曲江文旅,MACD抄底,11.3,1
600827,百联股份,老鸭头,9.38,1
600839,四川长虹,三位一体,10.38,1
600889,南京化纤,老鸭头,16.35,1
600901,江苏金租,老鸭头,6.2,1
600929,雪天盐业,MACD抄底,5.7,1
600958,东方证券,老鸭头,10.99,1
601212,白银有色,三位一体,6.28,1
601238,广汽集团,老鸭头,8.44,1
601339,百隆东方,三位一体,6.27,1
601519,大智慧,三位一体,15.3,1
601607,上海医药,MACD抄底,17.92,1
601686,友发集团,MACD抄底,6.43,1
601801,皖新传媒,三位一体,7.13,1
600674,川投能源,MACD抄底,14.0,1
601858,中国科传,三位一体,21.47,1
601949,中国出版,三位一体,7.41,1
603078,江化微,三位一体,21.42,1
603017,中衡设计,三位一体,14.63,1
603115,海星股份,三位一体,20.76,1
603172,万丰股份,MACD抄底,17.89,1
603221,爱丽家居,老鸭头,13.38,1
603112,华翔股份,三位一体,18.87,1
603305,旭升集团,三位一体,21.01,1
603339,四方科技,三位一体,14.89,1
603359,东珠生态,老鸭头,8.78,1
603366,日出东方,MACD抄底,10.18,1
603385,惠达卫浴,MACD抄底,6.91,1
603515,欧普照明,老鸭头,18.62,1
603536,惠发食品,MACD抄底,11.74,1
603303,得邦照明,三位一体,14.32,1
603585,苏利股份,老鸭头,19.51,1
603602,纵横通信,三位一体,16.47,1
603898,好莱客,老鸭头,13.63,1
603708,家家悦,三位一体,13.35,1
603900,莱绅通灵,MACD抄底,8.94,1
603909,建发合诚,MACD抄底,11.58,1
603927,中科软,三位一体,21.17,1
603969,银龙股份,三位一体,11.41,1
605108,同庆楼,MACD抄底,19.94,1
605162,新中港,三位一体,10.18,1
605337,李子园,MACD抄底,12.18,1
688105,诺唯赞,MACD抄底,20.32,1
688207,格灵深瞳,三位一体,18.38,1
688209,英集芯,MACD抄底,21.51,1
688653,康希通信,三位一体,14.3,1
688701,卓锦股份,MACD抄底,9.02,1
