股票代码,股票名称,命中战法汇总,最新价,共振强度
000060,中金岭南,MACD抄底 + 三位一体,6.44,2
000630,铜陵有色,MACD抄底 + 三位一体,6.19,2
000551,创元科技,MACD抄底 + 三位一体,13.94,2
000425,徐工机械,MACD抄底 + 三位一体,10.86,2
000837,秦川机床,MACD抄底 + 三位一体,10.8,2
000758,中色股份,MACD抄底 + 三位一体,6.86,2
002410,广联达,MACD抄底 + 三位一体,11.56,2
002527,新时达,MACD抄底 + 三位一体,13.82,2
002716,湖南白银,MACD抄底 + 三位一体,12.49,2
002708,光洋股份,MACD抄底 + 三位一体,12.79,2
002765,蓝黛科技,MACD抄底 + 三位一体,10.31,2
002600,领益智造,MACD抄底 + 三位一体,13.33,2
002465,海格通信,MACD抄底 + 三位一体,15.09,2
002474,榕基软件,MACD抄底 + 三位一体,7.88,2
002123,梦网科技,MACD抄底 + 三位一体,10.21,2
002279,久其软件,MACD抄底 + 三位一体,8.43,2
002249,大洋电机,MACD抄底 + 三位一体,9.38,2
002237,恒邦股份,MACD抄底 + 三位一体,15.61,2
002131,利欧股份,MACD抄底 + 三位一体,7.95,2
600143,金发科技,MACD抄底 + 三位一体,16.93,2
600531,豫光金铅,MACD抄底 + 三位一体,13.99,2
601212,白银有色,MACD抄底 + 三位一体,8.54,2
600986,浙文互联,MACD抄底 + 三位一体,10.1,2
603112,华翔股份,MACD抄底 + 三位一体,17.76,2
603638,艾迪精密,MACD抄底 + 三位一体,20.43,2
603386,骏亚科技,MACD抄底 + 三位一体,13.9,2
601600,中国铝业,MACD抄底 + 三位一体,12.23,2
600588,用友网络,MACD抄底 + 三位一体,12.21,2
600353,旭光电子,MACD抄底 + 三位一体,14.71,2
600577,精达股份,MACD抄底 + 三位一体,12.58,2
600416,湘电股份,MACD抄底 + 三位一体,12.83,2
600497,驰宏锌锗,MACD抄底 + 三位一体,8.3,2
600331,宏达股份,MACD抄底 + 三位一体,15.88,2
600356,恒丰纸业,MACD抄底 + 三位一体,9.41,2
000655,金岭矿业,MACD抄底,9.01,1
001330,博纳影业,三位一体,7.21,1
001914,招商积余,MACD抄底,9.79,1
000635,英 力 特,MACD抄底,8.47,1
000810,创维数字,三位一体,11.54,1
000712,锦龙股份,MACD抄底,10.54,1
000811,冰轮环境,三位一体,18.43,1
000829,天音控股,MACD抄底,10.59,1
000859,国风新材,MACD抄底,10.01,1
000886,海南高速,MACD抄底,5.75,1
000892,欢瑞世纪,三位一体,6.68,1
000948,南天信息,MACD抄底,15.41,1
000949,新乡化纤,MACD抄底,7.35,1
000953,河化股份,MACD抄底,6.99,1
000987,越秀资本,三位一体,8.45,1
001217,华尔泰,MACD抄底,12.0,1
001299,美能能源,老鸭头,13.56,1
000058,深 赛 格,MACD抄底,8.17,1
002099,海翔药业,MACD抄底,7.11,1
002095,生 意 宝,MACD抄底,16.98,1
002085,万丰奥威,三位一体,14.13,1
002078,太阳纸业,MACD抄底,15.45,1
002062,宏润建设,三位一体,7.52,1
002044,美年健康,MACD抄底,5.63,1
002040,南 京 港,MACD抄底,10.53,1
002036,联创电子,MACD抄底,9.27,1
002033,丽江股份,MACD抄底,9.26,1
002031,巨轮智能,三位一体,6.21,1
002027,分众传媒,MACD抄底,6.48,1
002016,世荣兆业,MACD抄底,5.85,1
002010,传化智联,MACD抄底,5.88,1
002194,武汉凡谷,MACD抄底,10.72,1
002115,三维通信,三位一体,12.49,1
002137,实益达,三位一体,8.27,1
002276,万马股份,MACD抄底,14.29,1
002284,亚太股份,MACD抄底,14.15,1
002333,罗普斯金,MACD抄底,5.53,1
002319,乐通股份,MACD抄底,11.59,1
002340,格林美,MACD抄底,8.03,1
002347,泰尔股份,MACD抄底,8.32,1
002348,高乐股份,三位一体,8.86,1
