股票代码,股票名称,命中战法汇总,最新价,共振强度
002671,龙泉股份,MACD抄底 + 三位一体,5.5,2
002942,新农股份,MACD抄底 + 三位一体,21.16,2
000007,全新好,三位一体,12.16,1
000061,农 产 品,老鸭头,9.96,1
000035,中国天楹,MACD抄底,5.72,1
000065,北方国际,三位一体,12.5,1
000159,国际实业,三位一体,6.37,1
000530,冰山冷热,老鸭头,7.31,1
000536,华映科技,MACD抄底,5.1,1
000338,潍柴动力,老鸭头,17.58,1
000503,国新健康,三位一体,9.59,1
000565,渝三峡Ａ,MACD抄底,7.44,1
000566,海南海药,三位一体,7.47,1
000571,新大洲A,老鸭头,5.99,1
000589,贵州轮胎,老鸭头,5.09,1
000593,德龙汇能,三位一体,12.11,1
000598,兴蓉环境,老鸭头,7.16,1
000555,神州信息,三位一体,18.12,1
000558,天府文旅,MACD抄底,5.19,1
000633,合金投资,MACD抄底,7.61,1
000678,襄阳轴承,三位一体,15.87,1
000686,东北证券,老鸭头,9.53,1
000708,中信特钢,老鸭头,15.87,1
000788,北大医药,MACD抄底,6.55,1
000888,峨眉山Ａ,老鸭头,13.25,1
000892,欢瑞世纪,三位一体,7.66,1
000911,广农糖业,MACD抄底,7.45,1
001324,长青科技,三位一体,19.42,1
001366,播恩集团,MACD抄底,13.16,1
001896,豫能控股,MACD抄底,5.46,1
002009,天奇股份,三位一体,21.3,1
002016,世荣兆业,MACD抄底,5.89,1
002023,海特高新,三位一体,15.04,1
000610,西安旅游,老鸭头,12.55,1
000630,铜陵有色,老鸭头,5.7,1
002144,宏达高科,MACD抄底,12.81,1
002031,巨轮智能,三位一体,8.27,1
002195,岩山科技,三位一体,10.38,1
002275,桂林三金,MACD抄底,14.33,1
002399,海普瑞,老鸭头,12.08,1
002412,汉森制药,MACD抄底,6.69,1
002316,亚联发展,三位一体,5.19,1
002330,得利斯,老鸭头,5.02,1
002511,中顺洁柔,老鸭头,8.29,1
002515,金字火腿,MACD抄底,6.23,1
002519,银河电子,三位一体,9.48,1
002541,鸿路钢构,三位一体,19.75,1
002587,奥拓电子,老鸭头,6.72,1
002588,史丹利,老鸭头,9.81,1
002442,龙星科技,MACD抄底,6.31,1
002481,双塔食品,MACD抄底,5.18,1
002612,朗姿股份,老鸭头,19.5,1
002601,龙佰集团,三位一体,20.91,1
002696,百洋股份,老鸭头,7.08,1
002632,道明光学,老鸭头,12.95,1
002739,万达电影,老鸭头,11.39,1
002755,奥赛康,三位一体,18.19,1
002817,黄山胶囊,MACD抄底,7.72,1
002729,好利科技,老鸭头,16.31,1
002921,联诚精密,三位一体,18.12,1
002928,华夏航空,老鸭头,10.93,1
002946,新乳业,老鸭头,18.61,1
003012,东鹏控股,MACD抄底,6.72,1
003037,三和管桩,三位一体,8.99,1
600054,黄山旅游,老鸭头,11.43,1
600058,五矿发展,三位一体,11.52,1
600080,金花股份,MACD抄底,8.03,1
600104,上汽集团,MACD抄底,15.37,1
600119,长江投资,MACD抄底,7.92,1
600133,东湖高新,三位一体,9.7,1
600172,黄河旋风,三位一体,6.51,1
600215,派斯林,三位一体,7.69,1
600335,国机汽车,老鸭头,6.5,1
600371,万向德农,MACD抄底,8.9,1
600372,中航机载,三位一体,15.41,1
600398,海澜之家,MACD抄底,6.13,1
600481,双良节能,三位一体,6.96,1
600507,方大特钢,老鸭头,5.94,1
600509,天富能源,MACD抄底,8.8,1
600552,凯盛科技,三位一体,13.58,1
600590,泰豪科技,三位一体,10.39,1
600613,神奇制药,MACD抄底,6.23,1
600640,国脉文化,三位一体,13.55,1
600692,亚通股份,MACD抄底,7.12,1
600730,中国高科,老鸭头,12.7,1
600775,南京熊猫,三位一体,17.89,1
600833,第一医药,MACD抄底,13.12,1
600846,同济科技,MACD抄底,14.05,1
600859,王府井,老鸭头,15.3,1
600886,国投电力,MACD抄底,13.29,1
600894,广日股份,三位一体,9.8,1
600967,内蒙一机,三位一体,18.73,1
600977,中国电影,MACD抄底,15.96,1
600998,九州通,老鸭头,5.25,1
600999,招商证券,老鸭头,17.14,1
601019,山东出版,老鸭头,8.66,1
601038,一拖股份,老鸭头,14.17,1
601116,三江购物,MACD抄底,15.09,1
601238,广汽集团,老鸭头,8.43,1
601611,中国核建,三位一体,16.93,1
601696,中银证券,老鸭头,14.88,1
601825,沪农商行,老鸭头,9.08,1
601857,中国石油,老鸭头,9.8,1
601872,招商轮船,三位一体,9.6,1
601965,中国汽研,老鸭头,17.33,1
603017,中衡设计,三位一体,12.09,1
603101,汇嘉时代,MACD抄底,10.15,1
603108,润达医疗,三位一体,16.31,1
603115,海星股份,三位一体,20.76,1
603214,爱婴室,MACD抄底,17.17,1
603327,福蓉科技,老鸭头,11.15,1
603330,天洋新材,MACD抄底,7.41,1
603333,尚纬股份,三位一体,8.99,1
603429,集友股份,三位一体,10.98,1
603511,爱慕股份,MACD抄底,15.92,1
603567,珍宝岛,MACD抄底,9.28,1
603588,高能环境,三位一体,9.08,1
603636,南威软件,MACD抄底,12.24,1
603637,镇海股份,三位一体,11.5,1
603668,天马科技,老鸭头,16.65,1
603719,良品铺子,MACD抄底,11.96,1
603776,永安行,三位一体,19.39,1
603871,嘉友国际,老鸭头,13.83,1
603926,铁流股份,三位一体,18.09,1
605155,西大门,老鸭头,16.95,1
688105,诺唯赞,MACD抄底,20.32,1
688209,英集芯,MACD抄底,21.51,1
688223,晶科能源,三位一体,6.39,1
688586,江航装备,三位一体,14.06,1
688597,煜邦电力,三位一体,8.96,1
688599,天合光能,三位一体,18.56,1
