股票代码,股票名称,命中战法汇总,最新价,共振强度
000572,海马汽车,MACD抄底 + 三位一体,6.82,2
000058,深 赛 格,MACD抄底,8.52,1
000507,珠海港,老鸭头,5.62,1
000403,派林生物,老鸭头,14.1,1
000557,西部创业,老鸭头,5.1,1
000582,北部湾港,老鸭头,11.05,1
000600,建投能源,老鸭头,9.42,1
000739,普洛药业,老鸭头,18.24,1
000755,山西高速,老鸭头,5.49,1
000796,凯撒旅业,MACD抄底,5.47,1
000810,创维数字,MACD抄底,11.13,1
000913,钱江摩托,老鸭头,15.94,1
000949,新乡化纤,老鸭头,7.28,1
002011,盾安环境,老鸭头,13.14,1
002027,分众传媒,MACD抄底,6.92,1
002031,巨轮智能,MACD抄底,7.37,1
002125,湘潭电化,老鸭头,14.79,1
002177,御银股份,老鸭头,8.95,1
002181,粤 传 媒,老鸭头,10.89,1
002245,蔚蓝锂芯,老鸭头,17.3,1
002275,桂林三金,MACD抄底,14.07,1
002366,融发核电,老鸭头,8.09,1
002511,中顺洁柔,老鸭头,8.78,1
002565,顺灏股份,三位一体,14.74,1
002579,中京电子,老鸭头,11.99,1
002587,奥拓电子,老鸭头,6.94,1
002629,仁智股份,三位一体,6.97,1
002688,金河生物,老鸭头,6.3,1
002695,煌上煌,MACD抄底,10.38,1
002706,良信股份,老鸭头,11.42,1
002730,电光科技,三位一体,20.9,1
002769,普路通,MACD抄底,11.91,1
002772,众兴菌业,老鸭头,17.95,1
002782,可立克,老鸭头,23.73,1
002790,瑞尔特,MACD抄底,8.1,1
002805,丰元股份,老鸭头,17.37,1
002887,绿茵生态,老鸭头,11.38,1
002907,华森制药,MACD抄底,14.16,1
002951,金时科技,老鸭头,15.95,1
002952,亚世光电,老鸭头,24.9,1
002960,青鸟消防,MACD抄底,11.4,1
002998,优彩资源,老鸭头,8.6,1
003025,思进智能,老鸭头,14.7,1
003036,泰坦股份,老鸭头,18.31,1
600007,中国国贸,MACD抄底,20.51,1
600051,宁波联合,老鸭头,8.02,1
600063,皖维高新,老鸭头,7.26,1
600080,金花股份,老鸭头,8.5,1
600084,中信尼雅,老鸭头,7.06,1
600156,华升股份,老鸭头,8.18,1
600158,中体产业,老鸭头,10.62,1
600163,中闽能源,老鸭头,6.49,1
600268,国电南自,老鸭头,14.47,1
600428,中远海特,老鸭头,8.26,1
600468,百利电气,老鸭头,8.15,1
600546,山煤国际,老鸭头,11.65,1
600578,京能电力,老鸭头,5.32,1
600629,华建集团,老鸭头,21.44,1
600643,爱建集团,三位一体,5.12,1
600703,三安光电,老鸭头,16.56,1
600732,爱旭股份,老鸭头,14.79,1
600817,宇通重工,老鸭头,12.01,1
600854,春兰股份,老鸭头,5.3,1
600966,博汇纸业,老鸭头,8.13,1
601001,晋控煤业,老鸭头,17.0,1
601118,海南橡胶,老鸭头,7.47,1
601319,中国人保,MACD抄底,8.57,1
601339,百隆东方,老鸭头,7.18,1
601611,中国核建,老鸭头,16.43,1
601882,海天精工,老鸭头,21.02,1
603018,华设集团,老鸭头,7.87,1
603098,森特股份,老鸭头,15.78,1
603105,芯能科技,三位一体,11.14,1
603219,富佳股份,MACD抄底,17.76,1
603227,雪峰科技,老鸭头,8.91,1
603628,清源股份,老鸭头,14.78,1
603707,健友股份,老鸭头,9.92,1
603776,永安行,老鸭头,19.65,1
603871,嘉友国际,老鸭头,15.14,1
603898,好莱客,MACD抄底,14.74,1
603967,中创物流,老鸭头,13.0,1
603977,国泰集团,三位一体,16.2,1
605001,威奥股份,老鸭头,8.0,1
605167,利柏特,三位一体,18.57,1
