股票代码,股票名称,命中战法汇总,最新价,共振强度
000017,深中华A,三位一体,6.55,1
000403,派林生物,MACD抄底,9.02,1
000567,海德股份,老鸭头,5.89,1
000700,模塑科技,老鸭头,15.18,1
000948,南天信息,三位一体,13.56,1
000970,中科三环,老鸭头,15.04,1
001322,箭牌家居,MACD抄底,6.35,1
002215,诺 普 信,三位一体,9.35,1
002348,高乐股份,MACD抄底,10.9,1
002357,富临运业,MACD抄底,8.97,1
002537,海联金汇,MACD抄底,5.28,1
002583,海能达,MACD抄底,8.07,1
002757,南兴股份,MACD抄底,17.91,1
002907,华森制药,三位一体,14.36,1
002910,庄园牧场,老鸭头,11.58,1
003040,楚天龙,MACD抄底,10.23,1
600126,杭钢股份,MACD抄底,5.76,1
600366,宁波韵升,老鸭头,15.22,1
600428,中远海特,老鸭头,8.17,1
600523,贵航股份,三位一体,11.33,1
600601,方正科技,老鸭头,13.88,1
603028,赛福天,MACD抄底,6.38,1
603778,国晟科技,MACD抄底,11.02,1
605006,山东玻纤,三位一体,17.52,1
