序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3164,600998,九州通,5.31,0.38,0.02,282010.0,148533529.0,1.7,5.32,5.23,5.29,5.29,0.63,0.56,10.17,1.01,26775516943.0,26775516943.0,0.19,0.19,0.38,3.71,600998.SS
3165,000591,太阳能,5.34,0.38,0.02,727847.0,388217251.38,2.44,5.41,5.28,5.33,5.32,0.92,1.85,13.97,0.86,20963774734.0,20956827266.0,0.19,0.0,17.62,21.92,000591.SZ
3168,603998,方盛制药,10.61,0.38,0.04,68668.0,72179678.0,1.8,10.63,10.44,10.63,10.57,0.7,1.56,13.02,2.79,4658653230.0,4658653230.0,0.09,0.28,-9.63,-4.33,603998.SS
3173,601921,浙版传媒,8.02,0.38,0.03,63725.0,51087010.0,1.25,8.07,7.97,8.02,7.99,0.72,0.29,13.86,1.24,17822222228.0,17822222228.0,0.0,0.0,-1.47,2.56,601921.SS
3174,600861,北京人力,16.06,0.38,0.06,19203.0,30756690.0,1.13,16.12,15.94,16.1,16.0,0.68,0.52,6.77,1.27,9091770251.0,5887192059.0,0.0,0.0,-12.1,-12.43,600861.SS
3180,000025,特  力Ａ,16.31,0.37,0.06,28880.0,46931391.54,0.92,16.34,16.19,16.27,16.25,0.83,0.74,42.66,3.89,7030561199.0,6406214399.0,0.0,0.06,-10.04,-6.59,000025.SZ
3181,002799,环球印务,8.23,0.37,0.03,48379.0,39605345.0,4.02,8.4,8.07,8.25,8.2,1.07,1.51,-98.47,2.07,2633929200.0,2633894634.0,0.12,0.0,-12.17,-3.52,002799.SZ
3183,002803,吉宏股份,16.43,0.37,0.06,65381.0,107623094.28,3.48,16.8,16.23,16.55,16.37,0.86,2.26,26.73,2.74,7400158882.0,4743082655.0,0.0,0.06,-8.57,0.43,002803.SZ
3184,000058,深 赛 格,8.08,0.37,0.03,54322.0,43706899.0,1.61,8.12,7.99,8.09,8.05,1.0,0.55,143.36,4.94,9948101430.0,7956693980.0,-0.12,-0.12,-16.79,-14.04,000058.SZ
3186,000612,焦作万方,13.56,0.37,0.05,1211023.0,1635082543.42,3.26,13.79,13.35,13.78,13.51,2.39,10.16,15.09,2.25,16166223783.0,16166223783.0,-0.22,-0.15,12.07,23.05,000612.SZ
3188,688360,德马科技,19.05,0.37,0.07,25644.0,48813530.0,1.84,19.22,18.87,19.12,18.98,0.65,1.02,53.74,3.46,5024354956.0,4806048967.0,0.05,0.16,-8.19,-10.4,688360.SS
3190,600917,重庆燃气,5.42,0.37,0.02,55090.0,29747684.0,0.74,5.42,5.38,5.38,5.4,0.79,0.35,45.38,1.48,8460835499.0,8460835499.0,0.18,0.0,-2.52,-1.28,600917.SS
3193,600476,湘邮科技,11.12,0.36,0.04,41353.0,45685119.0,2.89,11.22,10.9,11.18,11.08,0.81,2.57,-48.37,15.77,1791098400.0,1791098400.0,0.18,0.09,-32.52,-30.54,600476.SS
3196,000759,中百集团,5.55,0.36,0.02,127005.0,70123740.99,2.53,5.61,5.47,5.6,5.53,0.98,1.94,-4.76,3.03,3676672925.0,3639168439.0,0.18,0.18,-32.23,-26.78,000759.SZ
3199,600834,申通地铁,8.28,0.36,0.03,19093.0,15788707.0,1.21,8.33,8.23,8.3,8.25,0.64,0.4,72.9,2.27,3952722173.0,3952722173.0,-0.6,0.12,-3.16,-2.13,600834.SS
3201,002987,京北方,16.75,0.36,0.06,79805.0,133323362.82,1.86,16.9,16.59,16.88,16.69,0.64,0.95,44.76,4.99,14529957546.0,14129417694.0,-0.12,-0.06,-19.74,-22.2,002987.SZ
3204,000541,佛山照明,5.69,0.35,0.02,38163.0,21644976.74,1.59,5.72,5.63,5.7,5.67,0.78,0.31,46.48,1.3,8738578129.0,7001733942.0,0.0,0.0,-9.97,-5.32,000541.SZ
3209,002616,长青集团,5.78,0.35,0.02,118115.0,67936581.0,2.08,5.82,5.7,5.8,5.76,0.6,2.01,17.72,1.37,4966270607.0,3395635949.0,0.0,0.0,2.48,5.86,002616.SZ
3210,000501,武商集团,8.58,0.35,0.03,53211.0,45439688.07,1.87,8.63,8.47,8.59,8.55,1.15,0.69,36.57,0.61,6597957632.0,6591334172.0,0.12,0.0,-22.7,-15.22,000501.SZ
3211,601838,成都银行,17.29,0.35,0.06,125607.0,217534728.0,1.33,17.45,17.22,17.23,17.23,0.64,0.3,5.79,0.86,73282547305.0,73282547305.0,0.0,0.06,7.26,7.26,601838.SS
3212,600029,南方航空,5.74,0.35,0.02,1282393.0,734728043.0,3.67,5.88,5.67,5.81,5.72,0.96,0.95,121.37,2.92,104014345517.0,77357800969.0,0.0,0.17,-27.98,-28.34,600029.SS
3215,603116,红蜻蜓,5.66,0.35,0.02,51373.0,28991074.0,2.3,5.71,5.58,5.69,5.64,0.86,0.89,-47.0,1.25,3261296528.0,3261296528.0,0.0,0.0,-16.64,-7.67,603116.SS
3216,002278,神开股份,11.4,0.35,0.04,152892.0,172605843.62,2.46,11.46,11.18,11.4,11.36,1.04,4.58,88.28,3.53,4446432220.0,3809570444.0,0.09,0.09,-18.63,-10.24,002278.SZ
3217,001366,播恩集团,14.17,0.35,0.05,30311.0,42659195.93,2.55,14.28,13.92,14.28,14.12,0.98,1.89,-171.43,2.84,2276835600.0,2276835600.0,0.07,0.21,7.27,5.98,001366.SZ
3219,600888,新疆众和,8.51,0.35,0.03,262905.0,224353295.0,2.59,8.64,8.42,8.54,8.48,0.8,1.69,19.97,1.04,13216761426.0,13216761426.0,0.0,0.12,-0.7,3.91,600888.SS
3221,002500,山西证券,5.7,0.35,0.02,152475.0,86589288.5,1.41,5.73,5.65,5.71,5.68,0.66,0.42,20.97,1.12,20461697818.0,20461697818.0,0.0,-0.18,-7.32,-4.84,002500.SZ
3222,600377,宁沪高速,11.55,0.35,0.04,49231.0,56727936.0,0.52,11.55,11.49,11.5,11.51,0.57,0.13,12.67,1.4,58185983625.0,43915213662.0,0.0,0.09,-1.37,-4.62,600377.SS
