date,code,name,price,pct_chg
2025-12-29,600058,五矿发展,11.52,10.03
2025-12-29,603879,永悦科技,6.93,10.0
2025-12-29,000987,越秀资本,8.4,9.95
2025-12-29,002674,兴业科技,14.96,7.86
2025-12-29,002243,力合科创,10.81,5.88
2025-12-29,600736,苏州高新,7.27,9.98
2025-12-29,600178,东安动力,13.16,10.03
2025-12-29,002177,御银股份,7.77,10.06
2025-12-29,603386,骏亚科技,15.77,4.37
2025-12-29,605122,四方新材,14.78,6.56
2025-12-29,000048,京基智农,16.27,10.01
2025-12-29,601111,中国国航,9.1,4.36
2025-12-29,688176,亚虹医药,11.57,4.61
2025-12-29,603095,越剑智能,17.35,6.77
2025-12-29,002117,东港股份,14.12,5.14
2025-12-29,002347,泰尔股份,10.23,10.0
2025-12-29,002009,天奇股份,21.3,10.02
2025-12-29,000936,华西股份,8.42,4.99
2025-12-29,002254,泰和新材,10.27,4.48
2025-12-29,000821,京山轻机,13.94,4.89
2025-12-29,600955,维远股份,16.82,8.03
2025-12-29,002969,嘉美包装,10.77,10.01
2025-12-29,603936,博敏电子,12.95,10.03
2025-12-29,603577,汇金通,10.73,5.51
