date,code,name,price
2026-01-12,600058,五矿发展,11.52
2026-01-12,002088,鲁阳节能,11.35
2026-01-12,002400,省广集团,10.37
2026-01-12,002649,博彦科技,14.41
2026-01-12,601858,中国科传,19.52
2026-01-12,000501,武商集团,11.1
2026-01-12,002601,龙佰集团,20.91
2026-01-12,601615,明阳智能,17.89
2026-01-12,600784,鲁银投资,7.96
2026-01-12,688315,诺禾致源,15.0
2026-01-12,002296,辉煌科技,12.43
2026-01-12,000950,重药控股,6.31
2026-01-12,600215,派斯林,8.46
2026-01-12,002119,康强电子,18.68
2026-01-12,000917,电广传媒,12.06
2026-01-12,601226,华电科工,8.93
2026-01-12,002729,好利科技,17.94
2026-01-12,601958,金钼股份,18.38
2026-01-12,002243,力合科创,11.41
2026-01-12,002162,悦心健康,5.2
2026-01-12,002541,鸿路钢构,19.75
2026-01-12,601512,中新集团,10.17
2026-01-12,002416,爱施德,13.64
2026-01-12,603108,润达医疗,17.94
2026-01-12,600133,东湖高新,10.66
2026-01-12,600814,杭州解百,8.47
2026-01-12,002316,亚联发展,5.71
2026-01-12,002942,新农股份,21.16
2026-01-12,603116,红蜻蜓,6.79
2026-01-12,601106,中国一重,5.41
2026-01-12,688509,正元地信,5.85
2026-01-12,600558,大西洋,6.76
2026-01-12,000676,智度股份,9.46
2026-01-12,600722,金牛化工,6.7
2026-01-12,002712,思美传媒,6.5
2026-01-12,600676,交运股份,6.79
2026-01-12,002706,良信股份,11.77
2026-01-12,603115,海星股份,20.76
2026-01-12,600728,佳都科技,7.15
2026-01-12,002009,天奇股份,21.3
2026-01-12,000050,深天马Ａ,10.25
2026-01-12,603015,弘讯科技,17.11
2026-01-12,002419,天虹股份,6.03
2026-01-12,002292,奥飞娱乐,9.99
2026-01-12,002203,海亮股份,14.05
2026-01-12,688327,云从科技,16.3
