date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-05-15,002196,15.36,14.2%,10.24%,3.03,线上,方正电机
2026-05-15,002892,11.34,12.39%,9.99%,3.01,线缘,科力尔
2026-05-15,601566,11.4,9.72%,7.44%,3.01,线上,九牧王
2026-05-15,603166,14.77,12.49%,8.47%,2.67,线上,福达股份
2026-05-15,002249,9.91,12.36%,6.36%,2.56,线上,大洋电机
2026-05-15,603677,17.04,11.59%,10.01%,2.54,线上,奇精机械
2026-05-15,002011,12.87,12.11%,5.86%,2.4,线上,盾安环境
2026-05-15,605555,16.35,8.49%,9.18%,2.21,线上,德昌股份
2026-05-15,603172,22.95,12.5%,5.37%,1.87,线上,万丰股份
2026-05-15,603227,8.84,4.0%,4.78%,1.85,线缘,雪峰科技
2026-05-15,603758,13.25,11.34%,6.49%,1.83,线缘,秦安股份
2026-05-15,002406,8.43,11.8%,6.44%,1.8,线上,远东传动
2026-05-15,002403,11.68,14.4%,5.9%,1.67,线上,爱仕达
2026-05-15,603018,7.6,5.56%,4.7%,1.54,线缘,华设集团
2026-05-15,603997,13.62,14.45%,4.61%,1.51,线上,继峰股份
2026-05-15,600333,5.91,14.76%,4.6%,1.48,线上,长春燃气
2026-05-15,002177,7.95,10.26%,4.9%,1.39,线缘,御银股份
2026-05-15,000670,8.2,12.64%,3.51%,1.19,线上,盈方微
