date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-03-13,603366,10.32,14.03%,10.23%,4.49,线上,日出东方
2026-03-13,600336,8.18,13.14%,10.08%,4.22,线上,澳柯玛
2026-03-13,002669,15.35,14.21%,11.04%,3.0,线上,康达新材
2026-03-13,002255,13.5,12.41%,7.37%,2.81,线上,海陆重工
2026-03-13,603332,13.64,7.06%,5.1%,2.63,线上,苏州龙杰
2026-03-13,605222,23.06,14.33%,10.26%,2.4,线上,起帆电缆
2026-03-13,600429,5.46,7.27%,8.41%,2.27,线上,三元股份
2026-03-13,002998,9.06,11.71%,9.57%,1.93,线上,优彩资源
2026-03-13,600830,9.6,5.15%,4.71%,1.86,线缘,香溢融通
2026-03-13,600054,13.46,9.88%,4.31%,1.64,线上,黄山旅游
2026-03-13,600241,9.27,12.91%,5.04%,1.61,线上,时代万恒
2026-03-13,600326,10.82,3.84%,3.77%,1.51,线缘,西藏天路
2026-03-13,600127,7.35,11.36%,3.01%,1.32,线上,金健米业
2026-03-13,000995,15.49,5.37%,7.4%,1.28,线上,皇台酒业
2026-03-13,002215,11.24,3.98%,5.8%,1.2,线上,诺 普 信
2026-03-13,605183,23.1,11.81%,3.42%,1.18,线上,确成股份
2026-03-13,000703,12.8,11.3%,7.21%,1.16,线上,恒逸石化
2026-03-13,603032,18.64,8.25%,3.19%,1.11,线缘,德新科技
2026-03-13,000546,6.37,13.95%,3.37%,1.1,线缘,金圆股份
