date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-05-14,603535,8.72,13.99%,6.5%,3.95,线缘,嘉诚国际
2026-05-08,002040,10.71,10.41%,7.73%,3.68,线上,南 京 港
2026-05-12,002651,10.05,7.95%,8.2%,3.58,线上,利君股份
2026-05-08,002401,15.31,8.58%,8.13%,3.47,线缘,中远海科
2026-05-14,002973,13.97,13.76%,10.79%,2.91,线上,侨银股份
2026-05-08,603758,13.44,12.94%,9.98%,2.75,线上,秦安股份
2026-05-14,000159,6.89,12.03%,11.34%,2.7,线上,国际实业
2026-05-08,605555,16.49,9.79%,8.15%,2.42,线上,德昌股份
2026-05-08,600222,7.44,11.88%,10.06%,2.4,线上,太龙药业
2026-05-08,000837,11.8,12.7%,3.89%,2.27,线上,秦川机床
2026-05-14,000755,5.3,9.05%,4.72%,2.27,线上,山西高速
2026-05-08,002669,14.35,13.62%,7.7%,2.21,线上,康达新材
2026-05-08,002519,8.84,14.66%,9.86%,2.2,线上,银河电子
2026-05-14,603033,11.66,7.17%,6.46%,1.99,线上,三维股份
2026-05-08,603982,7.92,12.82%,6.87%,1.97,线缘,泉峰汽车
2026-05-14,002068,9.58,14.59%,5.21%,1.95,线上,黑猫股份
2026-05-14,600415,13.53,12.28%,8.65%,1.78,线缘,小商品城
2026-05-08,600236,10.57,13.05%,9.21%,1.76,线上,桂冠电力
2026-05-08,603960,23.99,11.74%,10.36%,1.67,线上,克来机电
2026-05-08,603505,19.0,12.49%,4.66%,1.51,线上,金石资源
2026-05-08,000600,9.93,13.1%,3.5%,1.48,线上,建投能源
2026-05-08,002403,11.67,14.3%,5.27%,1.47,线上,爱仕达
2026-05-08,000565,8.14,14.97%,3.91%,1.47,线上,渝三峡Ａ
2026-05-08,002250,16.9,6.42%,3.57%,1.4,线上,联化科技
2026-05-08,600198,8.84,12.33%,3.45%,1.33,线上,大唐电信
2026-05-08,600215,7.14,10.7%,4.58%,1.32,线上,派斯林
2026-05-08,002448,16.3,12.18%,4.58%,1.22,线上,中原内配
2026-05-08,001205,15.58,10.11%,3.33%,1.21,线上,盛航股份
2026-05-08,002012,7.13,10.2%,5.46%,1.21,线上,凯恩股份
2026-05-08,002702,6.17,13.0%,3.67%,1.19,线上,海欣食品
2026-05-08,000592,11.44,10.42%,3.44%,1.18,线上,平潭发展
2026-05-08,002968,12.17,9.34%,3.1%,1.14,线缘,新大正
2026-05-08,603990,15.94,10.85%,3.23%,1.12,线上,麦迪科技
