date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-05-06,601882,20.67,14.39%,6.42%,2.16,线上,海天精工
2026-05-06,002053,12.26,14.47%,7.52%,2.04,线上,云南能投
2026-05-06,002845,14.53,11.86%,7.61%,1.85,线上,同兴达
2026-05-06,603967,14.24,12.48%,3.88%,1.79,线上,中创物流
2026-05-06,603339,13.9,10.49%,3.29%,1.77,线上,四方科技
2026-05-06,600692,8.05,11.81%,4.59%,1.69,线上,亚通股份
2026-05-06,002403,11.22,14.26%,3.62%,1.65,线上,爱仕达
2026-05-06,001914,10.58,11.96%,4.49%,1.58,线上,招商积余
2026-05-06,600236,10.47,13.07%,4.86%,1.57,线上,桂冠电力
2026-05-06,600336,7.72,13.53%,3.84%,1.4,线上,澳柯玛
2026-05-06,002668,9.8,10.36%,3.14%,1.39,线上,TCL智家
2026-05-06,002166,8.91,5.07%,3.53%,1.33,线缘,莱茵生物
2026-05-06,000753,6.77,9.37%,5.7%,1.33,线缘,漳州发展
2026-05-06,002448,15.65,12.51%,4.24%,1.29,线上,中原内配
2026-05-06,605228,15.1,13.79%,4.73%,1.18,线上,神通科技
2026-05-06,001338,13.45,13.03%,3.54%,1.17,线上,永顺泰
2026-05-06,000862,6.79,10.95%,3.55%,1.14,线缘,银星能源
