date,code,price,rebound,name
2025-12-29,600590,9.4,7.67%,泰豪科技
2025-12-29,600120,6.24,6.12%,浙江东方
2025-12-29,600528,8.22,5.66%,中铁工业
2025-12-29,603918,15.85,7.75%,金桥信息
2025-12-29,002655,13.05,12.11%,共达电声
2025-12-29,603922,19.35,5.91%,金鸿顺
2025-12-29,002041,9.59,5.97%,登海种业
2025-12-29,002511,8.45,8.19%,中顺洁柔
2025-12-29,601026,20.57,8.55%,道生天合
2025-12-29,002562,6.58,7.34%,兄弟科技
2025-12-29,000856,10.32,9.55%,冀东装备
2025-12-29,002137,8.68,5.72%,实益达
2025-12-29,002600,15.56,8.81%,领益智造
2025-12-29,603917,14.83,8.96%,合力科技
2025-12-29,002015,10.43,7.86%,协鑫能科
2025-12-29,605166,10.44,5.45%,聚合顺
2025-12-29,600348,8.43,12.25%,华阳股份
2025-12-29,688026,16.19,5.61%,洁特生物
2025-12-29,603949,18.9,7.94%,雪龙集团
2025-12-29,600676,5.92,8.23%,交运股份
2025-12-29,002494,5.42,10.61%,华斯股份
2025-12-29,601111,9.1,12.76%,中国国航
2025-12-29,600523,15.58,9.56%,贵航股份
2025-12-29,002395,16.72,6.09%,双象股份
2025-12-29,003040,20.15,14.1%,楚天龙
2025-12-29,603219,16.18,5.2%,富佳股份
2025-12-29,603289,10.02,7.4%,泰瑞机器
2025-12-29,600989,19.01,9.13%,宝丰能源
2025-12-29,002602,17.56,9.61%,ST华通
2025-12-29,002623,18.7,8.22%,亚玛顿
2025-12-29,000576,10.54,9.45%,甘化科工
2025-12-29,603085,11.4,10.47%,天成自控
2025-12-29,000978,7.07,9.27%,桂林旅游
2025-12-29,600513,18.63,8.0%,联环药业
2025-12-29,688096,7.9,13.18%,京源环保
2025-12-29,002599,8.31,11.1%,盛通股份
2025-12-29,001236,10.83,7.65%,弘业期货
2025-12-29,002090,11.98,6.58%,金智科技
2025-12-29,002815,14.0,7.03%,崇达技术
2025-12-29,002148,8.66,6.52%,北纬科技
2025-12-29,601108,8.76,8.01%,财通证券
2025-12-29,688556,11.24,10.74%,高测股份
2025-12-29,002212,9.03,7.76%,天融信
2025-12-29,603708,12.41,10.31%,家家悦
2025-12-29,000948,18.0,8.63%,南天信息
2025-12-29,605500,9.62,14.12%,森林包装
2025-12-29,002953,11.63,5.25%,日丰股份
2025-12-29,605001,7.81,13.68%,威奥股份
2025-12-29,600372,13.22,8.45%,中航机载
2025-12-29,002078,15.76,7.65%,太阳纸业
2025-12-29,600126,8.16,6.67%,杭钢股份
2025-12-29,603989,16.68,6.92%,艾华集团
2025-12-29,603712,20.03,7.98%,七一二
2025-12-29,605183,19.96,8.71%,确成股份
2025-12-29,600967,16.43,7.04%,内蒙一机
2025-12-29,600230,13.73,12.73%,沧州大化
2025-12-29,002117,14.12,14.15%,东港股份
2025-12-29,600319,9.48,8.97%,亚星化学
2025-12-29,603339,13.07,7.04%,四方科技
2025-12-29,600629,20.3,11.48%,华建集团
2025-12-29,605228,14.73,5.82%,神通科技
2025-12-29,001210,17.7,11.25%,金房能源
2025-12-29,600671,17.39,5.59%,天目药业
2025-12-29,600710,10.91,6.86%,苏美达
2025-12-29,600446,15.88,6.08%,金证股份
2025-12-29,002051,9.22,5.98%,中工国际
2025-12-29,600416,14.53,11.09%,湘电股份
2025-12-29,002986,10.83,6.07%,宇新股份
2025-12-29,605018,11.29,6.51%,长华集团
2025-12-29,002765,12.17,8.95%,蓝黛科技
2025-12-29,605189,15.67,7.4%,富春染织
2025-12-29,688530,16.62,7.78%,欧莱新材
2025-12-29,000159,5.84,9.16%,国际实业
2025-12-29,603093,19.66,5.64%,南华期货
2025-12-29,600064,8.64,6.54%,南京高科
2025-12-29,002037,9.75,5.75%,保利联合
2025-12-29,000550,18.85,6.5%,江铃汽车
2025-12-29,688609,10.03,6.93%,九联科技
2025-12-29,688046,15.51,5.01%,药康生物
2025-12-29,600615,11.31,5.6%,鑫源智造
2025-12-29,001366,13.42,7.36%,播恩集团
2025-12-29,002386,5.62,8.7%,天原股份
2025-12-29,603073,18.85,7.59%,彩蝶实业
2025-12-29,600410,17.92,9.27%,华胜天成
2025-12-29,603937,12.05,9.05%,丽岛新材
2025-12-29,002254,10.27,11.63%,泰和新材
2025-12-29,002928,10.95,12.65%,华夏航空
2025-12-29,600610,10.02,5.92%,中毅达
2025-12-29,001202,15.83,8.65%,炬申股份
2025-12-29,603898,13.3,5.47%,好莱客
2025-12-29,688355,17.82,8.59%,明志科技
2025-12-29,600719,6.31,14.52%,大连热电
2025-12-29,600847,11.63,7.59%,万里股份
2025-12-29,603333,8.42,10.5%,尚纬股份
2025-12-29,003037,8.07,12.08%,三和管桩
2025-12-29,603408,14.33,13.91%,建霖家居
2025-12-29,000821,13.94,14.73%,京山轻机
2025-12-29,002875,17.17,12.52%,安奈儿
2025-12-29,002579,12.25,11.06%,中京电子
2025-12-29,603178,18.74,6.12%,圣龙股份
2025-12-29,600517,6.14,6.04%,国网英大
2025-12-29,002161,7.3,6.73%,远 望 谷
2025-12-29,603086,8.34,8.03%,先达股份
2025-12-29,688659,9.58,5.51%,元琛科技
2025-12-29,600295,11.94,12.22%,鄂尔多斯
2025-12-29,600604,5.72,8.33%,市北高新
2025-12-29,600810,9.05,11.32%,神马股份
2025-12-29,600115,5.69,14.26%,中国东航
2025-12-29,603320,18.71,7.59%,迪贝电气
2025-12-29,000617,9.85,12.19%,中油资本
2025-12-29,600637,9.98,10.89%,东方明珠
2025-12-29,688021,18.53,8.87%,奥福科技
2025-12-29,002345,12.95,5.46%,潮宏基
2025-12-29,002221,8.28,9.23%,东华能源
2025-12-29,688225,19.31,11.1%,亚信安全
2025-12-29,002510,7.54,10.88%,天汽模
2025-12-29,603477,17.38,5.02%,巨星农牧
2025-12-29,000810,11.73,6.93%,创维数字
2025-12-29,002057,10.36,8.14%,中钢天源
2025-12-29,688469,6.87,8.53%,芯联集成
2025-12-29,600641,17.44,11.37%,万业企业
2025-12-29,600970,10.36,12.12%,中材国际
2025-12-29,601939,9.27,5.34%,建设银行
2025-12-29,000881,9.12,11.08%,中广核技
2025-12-29,605208,13.67,11.59%,永茂泰
2025-12-29,603110,16.11,5.57%,东方材料
2025-12-29,002195,6.97,7.89%,岩山科技
2025-12-29,603020,10.27,6.31%,爱普股份
2025-12-29,688038,16.45,10.25%,中科通达
2025-12-29,002434,9.41,8.79%,万里扬
2025-12-29,002206,5.91,7.45%,海 利 得
2025-12-29,688479,18.8,5.8%,友车科技
2025-12-29,000967,7.36,13.06%,盈峰环境
2025-12-29,600028,6.0,5.63%,中国石化
2025-12-29,002152,12.78,7.39%,广电运通
2025-12-29,601857,10.06,7.82%,中国石油
2025-12-29,601968,5.48,8.51%,宝钢包装
2025-12-29,601121,7.55,11.36%,宝地矿业
