date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-03-25,603227,9.41,11.63%,8.49%,3.39,线上,雪峰科技
2026-03-25,600721,9.59,13.22%,7.58%,2.87,线缘,百花医药
2026-03-25,002543,9.43,8.39%,6.82%,1.93,线缘,万和电气
2026-03-25,600719,7.11,11.44%,5.35%,1.73,线上,大连热电
2026-03-25,000507,5.85,9.96%,4.96%,1.7,线上,珠海港
2026-03-25,600538,6.6,13.6%,3.69%,1.62,线上,国发股份
2026-03-25,000967,9.0,13.07%,8.46%,1.6,线上,盈峰环境
2026-03-25,600969,10.76,11.62%,6.29%,1.45,线上,郴电国际
2026-03-25,002052,11.86,5.61%,3.61%,1.31,线缘,同洲电子
2026-03-25,605500,9.13,9.34%,3.58%,1.13,线上,森林包装
