date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-06-05,002446,10.62,14.32%,9.3%,2.85,线上,盛路通信
2026-06-05,603328,13.31,14.54%,7.8%,2.05,线上,依顿电子
2026-06-05,603638,23.16,8.73%,12.29%,1.81,线上,艾迪精密
2026-06-05,000532,12.98,10.28%,9.07%,1.68,线缘,华金资本
2026-06-05,002520,6.35,13.19%,8.95%,1.67,线上,日发精机
2026-06-05,002571,12.66,12.33%,9.67%,1.64,线上,德力股份
2026-06-05,603006,13.97,10.52%,12.52%,1.64,线上,联明股份
2026-06-05,002631,7.45,10.7%,9.45%,1.61,线上,德尔未来
2026-06-05,002235,10.6,7.18%,6.53%,1.55,线上,安妮股份
2026-06-05,601919,15.0,7.68%,4.01%,1.54,线上,中远海控
2026-06-05,002164,13.33,14.42%,14.72%,1.51,线上,宁波东力
2026-06-05,002587,7.05,7.47%,6.8%,1.46,线上,奥拓电子
2026-06-05,002023,11.86,11.57%,8.88%,1.4,线上,海特高新
2026-06-05,002668,9.55,6.35%,4.2%,1.39,线上,TCL智家
2026-06-05,002973,13.33,14.03%,8.94%,1.39,线上,侨银股份
2026-06-05,000837,12.02,9.97%,12.21%,1.37,线上,秦川机床
2026-06-05,002611,18.43,11.23%,11.14%,1.27,线上,东方精工
2026-06-05,603042,20.35,8.36%,4.58%,1.24,线缘,华脉科技
2026-06-05,605208,14.68,9.55%,5.42%,1.24,线上,永茂泰
2026-06-05,000159,7.0,13.27%,3.49%,1.1,线上,国际实业
