date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-03-05,002366,8.2,11.26%,6.99%,3.08,线上,融发核电
2026-03-05,002245,17.96,11.41%,3.66%,2.36,线上,蔚蓝锂芯
2026-03-05,601798,10.07,8.4%,4.55%,1.99,线上,蓝科高新
2026-03-05,603187,16.92,12.05%,4.35%,1.98,线上,海容冷链
2026-03-05,600475,21.89,10.28%,7.1%,1.81,线上,华光环能
2026-03-05,603515,18.78,5.51%,5.42%,1.79,线上,欧普照明
2026-03-05,601218,5.78,9.68%,3.79%,1.73,线上,吉鑫科技
2026-03-05,002394,15.67,14.88%,3.51%,1.69,线上,联发股份
2026-03-05,600379,13.41,8.76%,4.04%,1.69,线上,宝光股份
2026-03-05,002845,15.7,11.03%,7.92%,1.68,线上,同兴达
2026-03-05,600603,7.16,12.05%,4.41%,1.63,线上,广汇物流
2026-03-05,003025,14.64,5.93%,3.4%,1.58,线上,思进智能
2026-03-05,600707,6.76,6.62%,6.88%,1.56,线上,彩虹股份
2026-03-05,002125,14.96,13.68%,5.44%,1.56,线上,湘潭电化
2026-03-05,601700,6.15,13.89%,4.89%,1.41,线上,风范股份
2026-03-05,600629,21.16,11.13%,3.53%,1.4,线上,华建集团
2026-03-05,002724,7.81,6.99%,4.65%,1.36,线上,海洋王
2026-03-05,603110,17.21,5.45%,5.12%,1.35,线上,东方材料
2026-03-05,002571,12.72,11.78%,5.95%,1.34,线上,德力股份
2026-03-05,000600,9.47,14.51%,3.14%,1.27,线上,建投能源
2026-03-05,600039,10.44,10.24%,3.55%,1.26,线上,四川路桥
2026-03-05,603421,8.26,10.72%,3.09%,1.19,线上,鼎信通讯
2026-03-05,600218,10.73,5.92%,3.11%,1.18,线缘,全柴动力
2026-03-05,600719,6.67,5.04%,3.38%,1.18,线上,大连热电
2026-03-05,002706,11.52,14.29%,3.39%,1.12,线上,良信股份
2026-03-05,002483,7.9,9.87%,3.11%,1.11,线上,润邦股份
