date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-03-19,002521,8.54,8.65%,9.67%,4.82,线上,齐峰新材
2026-03-19,002543,9.53,9.54%,7.55%,3.25,线缘,万和电气
2026-03-19,002423,11.53,7.76%,10.61%,3.09,线上,中粮资本
2026-03-19,605050,13.12,6.58%,7.66%,2.7,线缘,福然德
2026-03-19,000856,11.76,13.95%,5.0%,2.21,线上,冀东装备
2026-03-19,600538,6.34,9.12%,5.87%,2.15,线缘,国发股份
2026-03-19,002322,14.43,9.07%,5.94%,1.8,线上,理工能科
2026-03-19,000407,5.25,7.58%,8.43%,1.53,线上,胜利股份
2026-03-19,605368,8.73,6.99%,3.09%,1.35,线上,蓝天燃气
2026-03-19,002221,9.34,14.88%,5.73%,1.32,线上,东华能源
2026-03-19,002810,19.4,12.4%,5.42%,1.27,线上,山东赫达
2026-03-19,002095,18.4,6.36%,7.84%,1.26,线缘,生 意 宝
