date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-03-06,002845,15.66,10.75%,3.25%,3.11,线上,同兴达
2026-03-06,002587,6.93,9.83%,3.14%,2.85,线上,奥拓电子
2026-03-06,600218,11.16,10.17%,7.83%,2.31,线上,全柴动力
2026-03-06,605077,16.37,8.05%,8.78%,2.17,线上,华康股份
2026-03-06,600603,7.34,14.87%,6.98%,2.13,线上,广汇物流
2026-03-06,603680,15.53,10.93%,8.24%,2.13,线上,今创集团
2026-03-06,002085,16.75,11.0%,5.02%,2.08,线上,万丰奥威
2026-03-06,601882,21.91,13.52%,7.46%,1.89,线上,海天精工
2026-03-06,600379,13.76,11.6%,4.7%,1.85,线上,宝光股份
2026-03-06,003025,15.03,8.76%,4.23%,1.78,线上,思进智能
2026-03-06,605377,9.25,8.7%,4.34%,1.73,线上,华旺科技
2026-03-06,603158,10.96,13.46%,10.24%,1.67,线上,腾龙股份
2026-03-06,002734,21.77,14.64%,10.77%,1.62,线上,利民股份
2026-03-06,600192,9.99,8.59%,3.76%,1.61,线上,长城电工
2026-03-06,603823,18.26,11.82%,10.25%,1.59,线上,百合花
2026-03-06,002235,10.67,13.75%,4.52%,1.56,线上,安妮股份
2026-03-06,600618,15.93,12.42%,8.74%,1.52,线上,氯碱化工
2026-03-06,601798,10.03,7.97%,3.67%,1.46,线上,蓝科高新
2026-03-06,002346,21.31,9.28%,4.97%,1.41,线上,柘中股份
2026-03-06,002556,6.99,13.66%,5.79%,1.4,线上,辉隆股份
2026-03-06,603878,9.43,12.26%,6.53%,1.39,线上,武进不锈
2026-03-06,603227,9.09,7.7%,3.62%,1.39,线上,雪峰科技
2026-03-06,600475,21.95,10.58%,5.07%,1.39,线上,华光环能
2026-03-06,603112,17.86,8.84%,4.48%,1.37,线缘,华翔股份
2026-03-06,603187,17.17,13.71%,3.31%,1.35,线上,海容冷链
2026-03-06,601156,19.05,7.32%,6.45%,1.35,线上,东航物流
2026-03-06,603977,15.31,8.2%,6.71%,1.33,线上,国泰集团
2026-03-06,605189,15.32,9.27%,7.08%,1.31,线缘,富春染织
2026-03-06,605167,18.64,9.26%,6.16%,1.31,线上,利柏特
2026-03-06,600222,7.37,13.38%,4.06%,1.27,线上,太龙药业
2026-03-06,605066,9.01,13.48%,4.55%,1.27,线上,天正电气
2026-03-06,600719,6.82,7.4%,3.45%,1.27,线上,大连热电
2026-03-06,002483,8.11,12.8%,3.92%,1.27,线上,润邦股份
2026-03-06,000695,13.3,10.65%,4.31%,1.26,线上,滨海能源
2026-03-06,603033,10.85,6.79%,7.72%,1.25,线上,三维股份
2026-03-06,600288,15.78,7.71%,5.64%,1.24,线上,大恒科技
2026-03-06,000913,15.48,4.81%,4.94%,1.24,线缘,钱江摩托
2026-03-06,600429,5.32,4.52%,4.49%,1.23,线缘,三元股份
2026-03-06,002732,17.54,4.34%,4.5%,1.23,线上,燕塘乳业
2026-03-06,603421,8.41,12.73%,3.87%,1.23,线上,鼎信通讯
2026-03-06,002999,7.79,7.15%,5.33%,1.22,线上,天禾股份
2026-03-06,002783,10.34,7.48%,4.49%,1.22,线上,凯龙股份
2026-03-06,002488,13.13,13.29%,9.89%,1.21,线上,金固股份
2026-03-06,603176,5.75,6.88%,5.83%,1.21,线上,汇通集团
2026-03-06,603909,11.76,7.4%,6.53%,1.19,线缘,建发合诚
2026-03-06,000565,8.65,8.81%,5.95%,1.18,线上,渝三峡Ａ
2026-03-06,002571,12.94,10.98%,4.32%,1.11,线上,德力股份
