date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-07-15,600713,5.41,12.47%,4.83%,2.51,线上,南京医药
2026-07-15,000860,10.89,14.75%,8.99%,2.25,线缘,顺鑫农业
2026-07-15,002332,8.71,9.97%,3.55%,1.99,线上,仙琚制药
2026-07-15,000919,6.5,14.64%,4.24%,1.93,线缘,金陵药业
2026-07-15,601059,17.23,12.91%,4.6%,1.71,线上,信达证券
2026-07-15,000507,5.02,9.61%,4.75%,1.58,线缘,珠海港
2026-07-15,600918,5.71,11.96%,3.55%,1.49,线上,中泰证券
2026-07-15,603309,12.36,14.98%,4.12%,1.48,线缘,维力医疗
2026-07-15,600621,14.06,11.15%,3.67%,1.36,线上,华鑫股份
2026-07-15,600886,14.54,13.42%,3.23%,1.36,线上,国投电力
2026-07-15,601319,7.41,13.82%,4.61%,1.36,线上,中国人保
2026-07-15,601236,7.12,7.23%,3.77%,1.27,线上,红塔证券
2026-07-15,003000,10.64,12.59%,3.54%,1.24,线缘,劲仔食品
2026-07-15,603697,10.57,13.05%,5.22%,1.15,线缘,有友食品
2026-07-15,002003,9.12,13.43%,4.3%,1.13,线缘,伟星股份
2026-07-15,600061,6.68,6.03%,3.22%,1.1,线上,国投资本
