date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-01-28,600313,7.33,14.71%,10.5%,13.55,线上,农发种业
2026-01-28,002867,13.86,14.83%,5.16%,13.03,线上,周大生
2026-01-28,002455,7.93,14.6%,5.96%,12.88,线上,百川股份
2026-01-28,603162,13.12,11.19%,4.5%,12.51,线上,海通发展
2026-01-28,000599,6.74,11.22%,6.36%,12.33,线上,青岛双星
2026-01-28,002232,19.98,8.76%,9.02%,12.32,线上,启明信息
2026-01-28,601107,6.28,5.55%,3.98%,12.19,线上,四川成渝
2026-01-28,600061,7.85,4.25%,5.26%,12.04,线上,国投资本
2026-01-28,600655,5.82,14.12%,8.7%,12.03,线上,豫园股份
2026-01-28,600429,5.48,11.16%,7.07%,11.92,线缘,三元股份
2026-01-28,603777,13.45,3.62%,5.74%,11.58,线缘,来伊份
2026-01-28,600598,16.28,9.78%,4.72%,11.36,线上,北大荒
2026-01-28,001322,9.18,10.47%,5.91%,11.28,线上,箭牌家居
2026-01-28,002041,10.07,6.45%,4.4%,11.11,线上,登海种业
2026-01-28,601058,16.39,7.19%,5.32%,10.98,线上,赛轮轮胎
2026-01-28,600354,7.01,9.36%,5.46%,10.86,线上,敦煌种业
2026-01-28,000017,8.57,13.96%,5.85%,10.82,线上,深中华A
2026-01-28,000713,7.01,6.21%,3.04%,10.8,线上,国投丰乐
2026-01-28,000998,9.73,4.06%,3.03%,10.53,线上,隆平高科
2026-01-28,002730,15.9,7.07%,4.09%,10.51,线上,电光科技
2026-01-28,002226,6.35,9.86%,4.38%,10.44,线上,江南化工
2026-01-28,600048,6.83,12.34%,3.18%,9.95,线上,保利发展
2026-01-28,601128,7.38,6.49%,3.06%,9.94,线上,常熟银行
2026-01-28,603970,14.26,11.23%,5.2%,9.71,线上,中农立华
2026-01-28,603339,14.17,11.31%,5.78%,9.68,线上,四方科技
2026-01-28,605007,13.95,9.24%,4.51%,9.6,线上,五洲特纸
2026-01-28,600127,7.05,6.02%,3.19%,9.53,线上,金健米业
2026-01-28,600727,7.54,11.21%,3.51%,9.51,线上,鲁北化工
2026-01-28,600377,12.19,6.28%,3.09%,9.37,线缘,宁沪高速
2026-01-28,000983,7.01,9.53%,4.57%,9.34,线上,山西焦煤
2026-01-28,601101,7.91,10.47%,4.08%,9.26,线上,昊华能源
2026-01-28,002457,12.12,14.77%,5.25%,9.16,线上,青龙管业
2026-01-28,000025,19.66,13.58%,4.59%,9.11,线上,特  力Ａ
2026-01-28,601699,13.3,13.29%,4.12%,9.03,线上,潞安环能
2026-01-28,600516,6.12,10.67%,5.45%,9.02,线上,方大炭素
2026-01-28,002438,16.7,8.44%,5.0%,8.98,线上,江苏神通
2026-01-28,002522,6.17,12.39%,7.08%,8.95,线上,浙江众成
2026-01-28,002221,8.75,8.97%,3.28%,8.94,线上,东华能源
2026-01-28,002244,11.12,14.29%,4.62%,8.84,线上,滨江集团
2026-01-28,000550,18.71,4.58%,3.69%,8.74,线上,江铃汽车
2026-01-28,601918,7.21,9.91%,4.16%,8.69,线上,新集能源
2026-01-28,002106,12.08,10.83%,3.28%,8.69,线上,莱宝高科
2026-01-28,002540,7.98,14.99%,5.27%,8.49,线上,亚太科技
2026-01-28,603937,13.11,11.67%,5.89%,8.45,线上,丽岛新材
2026-01-28,600909,7.73,14.86%,4.92%,8.44,线上,华安证券
2026-01-28,000822,5.96,14.4%,3.95%,8.41,线上,山东海化
2026-01-28,600059,9.9,9.15%,3.1%,8.39,线上,古越龙山
2026-01-28,603680,16.2,10.35%,4.81%,8.36,线上,今创集团
2026-01-28,601001,15.04,14.72%,3.72%,8.36,线上,晋控煤业
2026-01-28,601857,10.92,12.46%,4.12%,8.32,线上,中国石油
2026-01-28,002572,14.31,7.19%,3.62%,8.31,线上,索菲亚
2026-01-28,600328,9.29,13.85%,4.64%,8.31,线上,中盐化工
2026-01-28,601390,5.74,8.3%,4.33%,8.28,线上,中国中铁
2026-01-28,001299,13.26,12.37%,5.13%,8.23,线上,美能能源
2026-01-28,600641,19.44,12.57%,4.35%,8.12,线上,万业企业
2026-01-28,600797,10.89,11.69%,3.33%,8.06,线上,浙大网新
2026-01-28,002094,8.3,14.33%,4.85%,8.0,线上,青岛金王
2026-01-28,600353,17.98,14.16%,3.33%,7.95,线上,旭光电子
2026-01-28,600546,10.91,8.56%,3.4%,7.87,线上,山煤国际
2026-01-28,600926,15.95,6.19%,3.44%,7.86,线上,杭州银行
2026-01-28,000726,7.8,10.64%,3.01%,7.86,线上,鲁  泰Ａ
2026-01-28,600985,12.5,13.43%,3.21%,7.77,线上,淮北矿业
2026-01-28,000902,17.47,12.93%,4.17%,7.72,线上,新洋丰
2026-01-28,002986,12.21,14.65%,3.01%,7.71,线上,宇新股份
2026-01-28,002753,7.72,10.29%,3.54%,7.69,线上,永东股份
2026-01-28,000928,6.87,7.01%,3.11%,7.61,线上,中钢国际
2026-01-28,002511,8.56,4.26%,3.17%,7.61,线上,中顺洁柔
2026-01-28,601898,13.46,9.16%,4.67%,7.61,线缘,中煤能源
2026-01-28,603527,11.89,8.78%,3.27%,7.57,线上,众源新材
2026-01-28,002727,14.2,10.51%,3.29%,7.5,线上,一心堂
2026-01-28,003012,7.18,9.95%,3.25%,7.19,线上,东鹏控股
2026-01-28,600970,11.11,9.89%,3.56%,7.14,线上,中材国际
2026-01-28,600188,14.24,9.2%,3.09%,6.96,线上,兖矿能源
2026-01-28,603883,15.88,7.95%,3.37%,6.88,线缘,老百姓
2026-01-28,002772,16.29,14.56%,8.72%,6.78,线上,众兴菌业
2026-01-28,000546,6.73,12.17%,4.24%,6.69,线上,金圆股份
2026-01-28,000877,5.67,7.18%,3.06%,6.65,线上,天山股份
2026-01-28,002078,16.56,9.6%,3.85%,6.61,线上,太阳纸业
2026-01-28,002295,12.46,4.71%,4.37%,6.54,线上,精艺股份
2026-01-28,002386,6.08,13.43%,3.19%,6.53,线上,天原股份
