date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-04-28,603221,12.36,13.5%,8.83%,3.54,线上,爱丽家居
2026-04-28,601058,14.5,13.02%,6.67%,3.18,线上,赛轮轮胎
2026-04-28,600148,19.11,10.21%,5.0%,3.01,线缘,长春一东
2026-04-28,603915,15.78,11.84%,6.76%,2.42,线缘,国茂股份
2026-04-28,600846,13.22,13.57%,4.18%,2.15,线上,同济科技
2026-04-28,603085,12.0,12.36%,3.26%,1.9,线上,天成自控
2026-04-28,600236,10.16,9.72%,8.92%,1.69,线上,桂冠电力
2026-04-28,002414,14.36,13.34%,3.31%,1.53,线缘,高德红外
2026-04-28,600415,13.78,14.36%,3.6%,1.45,线缘,小商品城
2026-04-28,600137,23.44,14.68%,3.35%,1.14,线上,浪莎股份
