date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-05-27,600197,13.1,10.55%,7.75%,3.23,线上,伊力特
2026-05-27,605066,8.01,12.34%,12.09%,3.08,线缘,天正电气
2026-05-27,605300,10.9,11.22%,11.0%,3.05,线上,佳禾食品
2026-05-27,002406,8.95,14.6%,10.81%,2.46,线上,远东传动
2026-05-27,000995,14.24,12.75%,10.73%,1.87,线缘,皇台酒业
2026-05-27,603227,8.98,7.54%,3.53%,1.74,线缘,雪峰科技
2026-05-27,002137,8.89,11.4%,3.86%,1.74,线上,实益达
2026-05-27,600143,18.46,11.88%,3.39%,1.6,线上,金发科技
2026-05-27,000755,5.27,8.44%,3.45%,1.32,线上,山西高速
2026-05-27,600163,6.75,10.47%,6.43%,1.28,线上,中闽能源
2026-05-27,605007,14.6,4.43%,4.59%,1.23,线缘,五洲特纸
