date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-01-08,600894,9.8,10.36%,6.59%,4.72,线上,广日股份
2026-01-06,603888,20.64,10.97%,5.32%,4.11,线上,新华网
2026-01-08,001324,19.42,12.45%,8.08%,3.96,线上,长青科技
2026-01-08,603776,19.39,10.93%,11.24%,3.89,线上,永安行
2026-01-08,002457,11.6,11.11%,6.26%,3.88,线上,青龙管业
2026-01-08,000983,7.16,13.47%,4.25%,3.79,线上,山西焦煤
2026-01-08,603918,16.85,14.55%,10.34%,3.64,线上,金桥信息
2026-01-08,002755,18.19,12.7%,8.91%,3.62,线上,奥赛康
2026-01-08,600825,6.69,10.4%,7.96%,3.54,线上,新华传媒
2026-01-06,002942,21.16,11.25%,10.38%,3.35,线上,新农股份
2026-01-08,603299,11.06,12.28%,5.11%,3.13,线上,苏盐井神
2026-01-08,601727,9.32,13.52%,5.84%,2.97,线上,上海电气
2026-01-08,600072,12.07,7.29%,4.79%,2.95,线上,中船科技
2026-01-08,000503,9.59,8.36%,6.37%,2.92,线缘,国新健康
2026-01-08,601985,9.09,5.7%,3.59%,2.86,线上,中国核电
2026-01-08,002516,7.12,13.92%,9.87%,2.81,线上,旷达科技
2026-01-06,603000,19.9,8.62%,3.74%,2.8,线上,人民网
2026-01-08,603637,11.5,13.86%,5.75%,2.78,线上,镇海股份
2026-01-08,600583,5.77,9.28%,6.43%,2.77,线上,海油工程
2026-01-08,000409,11.59,9.86%,3.75%,2.73,线上,云鼎科技
2026-01-08,002054,7.9,11.27%,6.85%,2.66,线上,德美化工
2026-01-08,002063,6.3,7.51%,4.88%,2.62,线上,远光软件
2026-01-08,603616,5.6,12.68%,5.9%,2.6,线上,韩建河山
2026-01-08,603108,16.31,11.71%,7.42%,2.59,线上,润达医疗
2026-01-08,603206,17.81,12.72%,6.47%,2.49,线上,嘉环科技
2026-01-08,600050,5.25,3.55%,3.88%,2.47,线缘,中国联通
2026-01-08,002333,6.03,12.92%,5.54%,2.44,线上,罗普斯金
2026-01-08,002258,14.32,12.93%,3.83%,2.41,线上,利尔化学
2026-01-08,688597,8.96,10.89%,6.1%,2.36,线上,煜邦电力
2026-01-08,603219,17.63,14.63%,5.1%,2.36,线上,富佳股份
2026-01-08,605577,13.83,11.8%,6.41%,2.34,线上,龙版传媒
2026-01-08,600188,14.25,9.45%,3.7%,2.3,线上,兖矿能源
2026-01-08,601798,9.34,9.62%,3.22%,2.25,线上,蓝科高新
2026-01-08,603808,8.85,10.35%,6.54%,2.23,线上,歌力思
2026-01-08,603078,19.39,11.12%,4.16%,2.22,线上,江化微
2026-01-08,002144,12.81,6.66%,5.32%,2.2,线缘,宏达高科
2026-01-08,000065,12.5,6.66%,7.39%,2.16,线上,北方国际
2026-01-08,000948,18.65,12.55%,4.34%,2.15,线上,南天信息
2026-01-08,600676,6.17,12.8%,4.35%,2.15,线上,交运股份
2026-01-08,000042,8.26,12.53%,5.48%,2.14,线上,中洲控股
2026-01-08,600718,10.85,13.02%,3.46%,2.14,线上,东软集团
2026-01-08,600422,12.96,5.88%,3.16%,2.1,线缘,昆药集团
2026-01-08,688655,19.06,12.91%,8.61%,2.09,线上,迅捷兴
2026-01-08,000410,7.7,9.69%,3.44%,2.09,线上,沈阳机床
2026-01-08,603113,6.54,10.1%,5.65%,2.01,线上,金能科技
2026-01-08,002416,12.85,9.83%,4.96%,2.01,线上,爱施德
2026-01-08,600658,6.0,13.64%,6.21%,1.99,线上,电子城
2026-01-08,002562,6.91,12.72%,4.01%,1.97,线上,兄弟科技
2026-01-08,600588,13.91,13.64%,4.2%,1.97,线缘,用友网络
2026-01-08,002458,8.9,8.54%,3.1%,1.95,线上,益生股份
2026-01-08,002121,8.18,10.24%,5.5%,1.95,线缘,科陆电子
2026-01-08,000678,15.87,14.17%,10.67%,1.9,线上,襄阳轴承
2026-01-08,603336,9.1,11.25%,5.25%,1.89,线缘,宏辉果蔬
2026-01-08,002828,11.28,10.81%,6.26%,1.88,线缘,贝肯能源
2026-01-08,603318,6.84,8.92%,6.35%,1.87,线缘,水发燃气
2026-01-08,688238,7.26,12.38%,4.34%,1.85,线上,和元生物
2026-01-08,600509,8.8,7.98%,6.13%,1.85,线上,天富能源
2026-01-08,000852,7.45,8.92%,3.59%,1.83,线上,石化机械
2026-01-08,000710,12.22,11.09%,5.21%,1.82,线缘,贝瑞基因
2026-01-08,603110,17.65,14.02%,6.42%,1.82,线上,东方材料
2026-01-08,603738,16.73,13.27%,4.6%,1.81,线上,泰晶科技
2026-01-08,603727,14.86,10.9%,5.09%,1.81,线上,博迈科
2026-01-08,600756,19.15,12.65%,5.07%,1.8,线上,浪潮软件
2026-01-08,603889,8.06,11.94%,5.04%,1.8,线上,新澳股份
2026-01-08,688530,17.5,13.49%,3.85%,1.79,线上,欧莱新材
2026-01-06,600741,20.75,6.79%,3.32%,1.79,线上,华域汽车
2026-01-08,001239,16.51,7.63%,3.03%,1.78,线缘,永达股份
2026-01-08,000676,8.91,10.41%,3.76%,1.78,线上,智度股份
2026-01-08,600480,12.34,9.88%,4.06%,1.77,线上,凌云股份
2026-01-08,600284,8.78,14.92%,7.49%,1.73,线上,浦东建设
