date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-01-09,601811,14.67,10.97%,9.44%,5.0,线上,新华文轩
2026-01-09,000541,6.32,7.67%,6.06%,4.16,线上,佛山照明
2026-01-06,603888,20.64,10.97%,5.32%,4.11,线上,新华网
2026-01-09,600825,6.91,14.03%,4.93%,3.95,线上,新华传媒
2026-01-09,002088,11.35,9.66%,9.03%,3.9,线缘,鲁阳节能
2026-01-09,600050,5.42,6.9%,5.14%,3.72,线上,中国联通
2026-01-09,000156,8.31,14.62%,5.66%,3.68,线上,华数传媒
2026-01-09,600633,13.94,13.98%,5.18%,3.63,线上,浙数文化
2026-01-09,601858,19.52,12.64%,6.04%,3.57,线上,中国科传
2026-01-09,600621,16.3,9.62%,8.34%,3.55,线上,华鑫股份
2026-01-09,002090,12.92,14.95%,9.85%,3.35,线上,金智科技
2026-01-06,002942,21.16,11.25%,10.38%,3.35,线上,新农股份
2026-01-09,601789,5.27,9.56%,6.25%,3.29,线缘,宁波建工
2026-01-09,002580,13.22,10.81%,5.21%,3.03,线上,圣阳股份
2026-01-09,603739,15.3,10.87%,7.33%,3.0,线上,蔚蓝生物
2026-01-09,605066,7.88,14.04%,7.66%,2.89,线上,天正电气
2026-01-09,605162,9.29,11.66%,6.66%,2.87,线上,新中港
2026-01-09,603181,15.61,12.79%,5.09%,2.8,线上,皇马科技
2026-01-06,603000,19.9,8.62%,3.74%,2.8,线上,人民网
2026-01-09,600830,9.88,9.78%,6.72%,2.67,线上,香溢融通
2026-01-09,600992,13.98,12.56%,7.92%,2.47,线上,贵绳股份
2026-01-09,603161,14.17,11.93%,3.6%,2.47,线上,科华控股
2026-01-09,600292,14.0,14.29%,5.44%,2.44,线上,远达环保
2026-01-09,600583,5.92,12.12%,3.64%,2.36,线上,海油工程
2026-01-09,002467,6.36,11.38%,3.24%,2.32,线上,二六三
2026-01-09,000409,11.81,11.94%,3.45%,2.29,线上,云鼎科技
2026-01-09,688132,19.86,14.73%,3.86%,2.21,线上,邦彦技术
2026-01-09,002419,6.03,14.64%,8.53%,2.18,线上,天虹股份
2026-01-09,002052,13.56,13.95%,9.65%,2.17,线上,同洲电子
2026-01-09,002221,8.32,9.76%,3.58%,2.17,线上,东华能源
2026-01-09,000875,5.82,6.2%,3.53%,2.03,线上,吉电股份
2026-01-09,002065,9.86,10.29%,3.32%,2.02,线缘,东华软件
2026-01-09,601900,13.7,4.66%,3.47%,2.01,线缘,南方传媒
2026-01-09,603033,11.02,11.2%,4.2%,2.01,线上,三维股份
2026-01-09,002828,11.64,14.34%,3.99%,1.96,线上,贝肯能源
2026-01-09,001286,9.84,6.15%,4.28%,1.95,线上,陕西能源
2026-01-09,688179,13.49,9.85%,4.35%,1.89,线上,阿拉丁
2026-01-09,002178,6.72,9.27%,3.2%,1.88,线上,延华智能
2026-01-09,603112,17.66,3.76%,5.76%,1.88,线上,华翔股份
2026-01-09,688609,10.59,12.9%,4.69%,1.88,线上,九联科技
2026-01-09,600523,16.54,14.31%,5.1%,1.86,线上,贵航股份
2026-01-09,000665,5.98,14.34%,3.97%,1.82,线上,湖北广电
2026-01-09,000829,11.33,9.68%,4.27%,1.79,线上,天音控股
2026-01-06,600741,20.75,6.79%,3.32%,1.79,线上,华域汽车
2026-01-09,600366,14.72,13.93%,3.98%,1.78,线上,宁波韵升
2026-01-09,002183,5.11,14.32%,3.99%,1.78,线上,怡 亚 通
2026-01-09,600598,15.74,9.53%,4.17%,1.76,线上,北大荒
2026-01-09,603110,17.76,14.73%,3.0%,1.75,线上,东方材料
2026-01-09,603912,8.82,11.65%,3.68%,1.74,线上,佳力图
2026-01-09,601968,5.51,8.68%,5.47%,1.69,线上,宝钢包装
2026-01-09,603990,15.69,6.95%,3.7%,1.67,线上,麦迪科技
2026-01-09,002696,7.4,13.5%,6.07%,1.67,线上,百洋股份
2026-01-09,002229,16.79,10.03%,3.66%,1.65,线上,鸿博股份
2026-01-09,688597,9.01,11.51%,4.91%,1.64,线上,煜邦电力
2026-01-09,601965,17.66,9.89%,4.67%,1.63,线上,中国汽研
2026-01-09,601108,8.9,6.33%,4.13%,1.62,线上,财通证券
2026-01-09,000783,8.64,8.14%,4.26%,1.61,线上,长江证券
2026-01-09,002031,8.22,14.97%,3.87%,1.59,线上,巨轮智能
2026-01-09,603995,19.19,14.36%,3.46%,1.57,线上,甬金股份
2026-01-09,002860,14.1,7.22%,3.99%,1.53,线缘,星帅尔
2026-01-09,603889,8.19,13.75%,4.09%,1.52,线上,新澳股份
2026-01-09,600635,7.06,11.71%,5.58%,1.49,线上,大众公用
2026-01-09,600382,7.52,8.67%,4.05%,1.47,线上,广东明珠
2026-01-09,601086,10.64,5.66%,3.09%,1.47,线缘,国芳集团
2026-01-09,002103,9.48,7.97%,3.26%,1.46,线缘,广博股份
2026-01-09,600409,6.56,14.29%,3.67%,1.45,线上,三友化工
2026-01-09,603636,12.61,9.46%,3.43%,1.42,线上,南威软件
2026-01-09,600246,12.88,10.75%,6.46%,1.41,线上,万通发展
2026-01-09,000630,5.91,14.09%,5.79%,1.4,线上,铜陵有色
2026-01-09,002725,18.31,13.94%,4.76%,1.39,线上,跃岭股份
2026-01-09,600810,9.23,13.53%,3.57%,1.39,线缘,神马股份
2026-01-09,600354,6.72,8.04%,3.51%,1.39,线上,敦煌种业
2026-01-09,600888,8.57,14.27%,3.21%,1.37,线上,新疆众和
2026-01-09,600348,8.61,12.99%,4.28%,1.36,线上,华阳股份
2026-01-09,002723,8.99,9.63%,5.58%,1.36,线上,小崧股份
2026-01-09,002249,10.99,11.57%,3.61%,1.36,线缘,大洋电机
2026-01-09,000425,11.8,11.85%,3.69%,1.35,线上,徐工机械
2026-01-06,600184,20.44,14.13%,10.8%,1.35,线上,光电股份
2026-01-09,600539,10.51,9.25%,3.98%,1.35,线缘,狮头股份
2026-01-09,002575,6.47,6.59%,4.62%,1.31,线缘,群兴玩具
2026-01-09,002453,6.67,10.25%,3.19%,1.31,线缘,华软科技
2026-01-09,600848,12.32,12.2%,5.07%,1.29,线上,上海临港
2026-01-09,002420,7.85,12.14%,3.55%,1.27,线上,毅昌科技
2026-01-09,002675,14.5,11.11%,4.09%,1.25,线缘,东诚药业
2026-01-09,600415,16.48,4.44%,3.4%,1.23,线缘,小商品城
2026-01-09,688681,18.5,12.87%,3.1%,1.22,线上,科汇股份
2026-01-09,000070,12.53,14.01%,4.18%,1.18,线上,特发信息
2026-01-09,000686,9.68,6.37%,3.99%,1.17,线上,东北证券
2026-01-09,002357,11.2,14.05%,3.25%,1.17,线上,富临运业
2026-01-09,600707,6.87,11.71%,3.93%,1.16,线上,彩虹股份
2026-01-09,000506,13.73,13.28%,5.54%,1.16,线上,招金黄金
2026-01-09,000715,6.39,5.62%,4.71%,1.15,线上,中兴商业
2026-01-09,601898,13.81,12.0%,3.73%,1.15,线上,中煤能源
2026-01-09,002237,14.24,13.47%,3.1%,1.13,线上,恒邦股份
2026-01-09,603901,14.97,13.15%,3.63%,1.13,线上,永创智能
2026-01-09,002552,17.53,12.01%,3.0%,1.12,线上,宝鼎科技
2026-01-09,600814,8.47,12.63%,5.74%,1.12,线上,杭州解百
2026-01-09,603823,15.94,6.27%,4.39%,1.11,线缘,百合花
