日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-01-02,603300,海南华铁,7.85,回踩MA5阴线,-0.03,9.28
2026-01-02,600755,厦门国贸,7.19,回踩MA10阴线,0.04,11.32
2026-01-02,603305,旭升集团,16.18,回踩MA5阴线,-0.04,13.39
2026-01-02,600475,华光环能,18.17,回踩MA10阴线,0.05,3.24
2026-01-02,002197,ST证通,10.12,回踩MA10阴线,-0.09,3.4
2026-01-02,002284,亚太股份,14.93,回踩MA10阴线,-0.17,3.17
2026-01-02,002842,翔鹭钨业,14.46,回踩MA5阴线,0.18,4.29
2026-01-02,002414,高德红外,14.67,回踩MA10阴线,0.6,8.38
2026-01-02,000407,胜利股份,5.02,回踩MA10阴线,0.62,3.68
2026-01-02,603809,豪能股份,14.35,回踩MA5阴线,0.74,9.92
2026-01-02,600399,抚顺特钢,5.84,回踩MA5阴线,-1.05,3.28
