日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-04-27,000791,甘肃能源,8.23,回踩MA10阴线,0.17,4.71
2026-04-27,002429,兆驰股份,11.79,回踩MA5阴线,0.34,6.45
2026-04-27,002439,启明星辰,14.94,回踩MA10阴线,-0.37,4.36
2026-04-27,001896,豫能控股,16.75,回踩MA10阴线,-0.47,28.63
2026-04-27,600531,豫光金铅,15.56,回踩MA5阴线,-0.52,11.68
2026-04-27,605366,宏柏新材,13.47,回踩MA10阴线,0.58,3.52
2026-04-27,002468,申通快递,17.45,回踩MA5阴线,0.6,3.91
2026-04-27,002203,海亮股份,17.69,回踩MA5阴线,-0.84,7.63
2026-04-27,002706,良信股份,10.35,回踩MA10阴线,-0.88,3.49
2026-04-27,603890,春秋电子,18.94,回踩MA10阴线,0.94,8.39
2026-04-27,600601,方正科技,11.52,回踩MA5阴线,-1.06,15.49
2026-04-27,002324,普利特,16.42,回踩MA10阴线,1.09,6.64
2026-04-27,000037,深南电A,10.78,回踩MA10阴线,1.22,4.46
2026-04-27,600156,华升股份,9.12,回踩MA10阴线,1.3,5.74
2026-04-27,000936,华西股份,8.11,回踩MA10阴线,1.46,3.68
2026-04-27,002515,金字火腿,6.37,回踩MA10阴线,1.48,3.98
