日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-04-21,600267,海正药业,11.17,回踩MA5阴线,0.31,4.14
2026-04-21,603777,来伊份,16.88,回踩MA5阴线,0.37,4.02
2026-04-21,000155,川能动力,16.84,回踩MA10阴线,0.49,9.58
2026-04-21,000612,焦作万方,13.48,回踩MA5阴线,-0.49,6.22
2026-04-21,000978,桂林旅游,7.9,回踩MA10阴线,-0.58,3.95
2026-04-21,000791,甘肃能源,8.22,回踩MA5阴线,0.76,5.71
2026-04-21,600589,大位科技,11.13,回踩MA10阴线,0.91,13.11
2026-04-21,600186,莲花控股,7.87,回踩MA5阴线,1.13,13.23
2026-04-21,000919,金陵药业,7.88,回踩MA5阴线,-1.28,4.36
2026-04-21,600539,狮头股份,16.58,回踩MA5阴线,1.31,3.03
