date,code,price,dif,name
2026-06-05,002171,12.85,0.239,楚江新材
2026-06-05,603328,13.31,0.107,依顿电子
2026-06-05,002585,11.82,0.95,双星新材
2026-06-05,002824,28.4,0.255,和胜股份
2026-06-05,600353,26.3,1.867,旭光电子
2026-06-05,002319,11.99,0.047,乐通股份
2026-06-05,000859,10.75,0.234,国风新材
2026-06-05,600222,8.7,0.306,太龙药业
2026-06-05,600063,8.22,0.204,皖维高新
2026-06-05,603687,18.7,0.445,大胜达
2026-06-05,002571,12.66,0.136,德力股份
2026-06-05,000159,7.0,0.072,国际实业
2026-06-05,003036,82.35,10.89,泰坦股份
2026-06-05,002068,10.76,0.32,黑猫股份
2026-06-05,000823,17.61,0.342,超声电子
2026-06-05,603861,17.99,0.212,白云电器
2026-06-05,002636,58.16,3.403,金安国纪
2026-06-05,605018,17.62,0.915,长华集团
2026-06-05,000700,17.29,1.012,模塑科技
2026-06-05,600367,49.5,5.592,红星发展
2026-06-05,603386,17.72,0.672,骏亚科技
2026-06-05,002125,16.98,0.481,湘潭电化
2026-06-05,600179,4.59,0.039,安通控股
2026-06-05,002527,15.43,0.36,新时达
2026-06-05,600783,23.59,0.226,鲁信创投
2026-06-05,600226,6.94,0.295,亨通股份
2026-06-05,600667,16.15,1.215,太极实业
2026-06-05,603158,16.3,0.512,腾龙股份
2026-06-05,603045,83.41,7.243,福达合金
2026-06-05,002137,10.35,0.419,实益达
2026-06-05,002056,29.16,2.223,横店东磁
2026-06-05,603225,20.33,0.478,新凤鸣
2026-06-05,600869,28.51,2.29,远东股份
2026-06-05,600596,14.41,0.475,新安股份
2026-06-05,000670,9.42,0.305,盈方微
2026-06-05,603311,40.92,4.55,金海高科
2026-06-05,600552,21.71,1.109,凯盛科技
2026-06-05,600459,24.75,0.85,贵研铂业
2026-06-05,600279,5.83,0.132,重庆港
2026-06-05,603890,31.24,3.2,春秋电子
2026-06-05,603823,29.62,2.861,百合花
