date,code,price,dif,name
2025-12-29,600058,11.52,0.434,五矿发展
2026-01-09,688697,16.29,0.18,纽威数控
2026-01-09,688219,12.59,0.132,会通股份
2026-01-09,603901,14.97,0.38,永创智能
2026-01-09,600961,17.75,0.523,株冶集团
2026-01-09,000726,7.2,0.017,鲁  泰Ａ
2026-01-09,601965,17.66,0.104,中国汽研
2026-01-09,002908,10.79,0.215,德生科技
2026-01-09,600320,5.3,0.117,振华重工
2026-01-09,000852,7.75,0.08,石化机械
2026-01-09,603995,19.19,0.314,甬金股份
2026-01-09,002635,14.2,0.079,安洁科技
2026-01-09,002849,17.55,0.684,威星智能
2026-01-09,002400,10.37,0.269,省广集团
2026-01-09,002111,10.75,0.185,威海广泰
2026-01-09,002803,17.97,0.267,吉宏股份
2026-01-09,002587,6.83,0.053,奥拓电子
2026-01-09,002520,6.36,0.054,日发精机
2026-01-09,002036,12.26,0.418,联创电子
2026-01-09,600714,13.14,0.134,金瑞矿业
2026-01-09,603926,18.17,0.527,铁流股份
2026-01-09,600367,18.65,0.452,红星发展
2026-01-09,002131,7.46,0.449,利欧股份
2026-01-09,000801,17.85,0.303,四川九洲
2026-01-09,000600,8.72,0.088,建投能源
2026-01-09,002708,13.46,0.208,光洋股份
2026-01-09,600658,6.03,0.067,电子城
2026-01-09,000758,7.03,0.185,中色股份
2026-01-06,603778,21.3,2.345,国晟科技
2026-01-09,002858,15.81,0.186,力盛体育
2026-01-09,002782,19.19,0.215,可立克
2026-01-09,600626,5.03,0.071,申达股份
2026-01-09,601019,8.83,0.062,山东出版
2026-01-09,000987,10.13,0.503,越秀资本
2026-01-09,000501,11.1,0.159,武商集团
2026-01-09,603528,11.2,0.374,多伦科技
2026-01-09,603916,11.25,0.205,苏博特
2026-01-06,002601,20.91,0.483,龙佰集团
2026-01-09,603018,7.71,0.019,华设集团
2026-01-09,601615,17.89,0.742,明阳智能
2026-01-09,002392,8.44,0.119,北京利尔
2026-01-09,600039,10.46,0.173,四川路桥
2026-01-09,600318,9.26,0.047,新力金融
2026-01-09,600335,6.54,0.059,国机汽车
2026-01-09,002123,13.68,0.272,梦网科技
2026-01-09,600784,7.96,0.214,鲁银投资
2026-01-09,600128,11.34,0.099,苏豪弘业
2026-01-09,002283,6.33,0.038,天润工业
2026-01-06,603282,20.29,0.131,亚光股份
2026-01-09,002108,5.12,0.053,沧州明珠
2026-01-09,002420,7.85,0.102,毅昌科技
