date,code,price,dif,name
2026-03-27,603601,13.18,0.201,再升科技
2026-03-27,003036,24.64,1.588,泰坦股份
2026-03-27,002960,11.88,0.132,青鸟消防
2026-03-27,600719,7.26,0.147,大连热电
2026-03-25,600773,18.47,0.89,西藏城投
2026-03-25,002810,20.81,0.598,山东赫达
2026-03-27,000600,10.14,0.282,建投能源
2026-03-25,603272,26.71,0.528,联翔股份
2026-03-27,002805,18.25,0.161,丰元股份
2026-03-27,002181,11.54,0.13,粤 传 媒
2026-03-25,605299,17.74,1.029,舒华体育
2026-03-27,603165,15.15,0.254,荣晟环保
2026-03-27,600241,9.73,0.247,时代万恒
2026-03-27,603017,14.33,0.439,中衡设计
2026-03-27,000626,8.35,0.091,远大控股
2026-03-27,000593,15.33,0.044,德龙汇能
2026-03-27,002082,26.04,1.462,万邦德
2026-03-25,600163,7.54,0.214,中闽能源
2026-03-25,603977,15.73,0.154,国泰集团
2026-03-27,002053,13.67,0.413,云南能投
2026-03-27,002322,14.81,0.238,理工能科
2026-03-27,000973,19.59,1.178,佛塑科技
2026-03-25,603227,9.41,0.064,雪峰科技
2026-03-27,600250,12.91,0.228,南京商旅
2026-03-25,601187,7.63,0.063,厦门银行
2026-03-25,000993,15.7,0.383,闽东电力
2026-03-25,002575,8.8,0.309,群兴玩具
2026-03-27,000507,5.79,0.068,珠海港
2026-03-27,600152,10.42,0.404,维科技术
2026-03-25,000862,8.84,0.534,银星能源
2026-03-27,002245,17.79,0.003,蔚蓝锂芯
2026-03-25,603803,15.4,1.173,瑞斯康达
2026-03-25,603105,13.89,0.709,芯能科技
2026-03-27,000703,12.43,0.028,恒逸石化
2026-03-27,600996,10.02,0.187,贵广网络
2026-03-27,605050,14.66,0.275,福然德
2026-03-27,605366,11.56,0.681,宏柏新材
