date,code,price,dif,name
2026-02-09,600639,10.85,0.077,浦东金桥
2026-02-09,600732,15.04,0.158,爱旭股份
2026-02-09,002286,10.53,0.247,保龄宝
2026-02-09,002513,7.75,0.048,蓝丰生化
2026-01-23,688556,17.84,1.167,高测股份
2025-12-25,603186,45.76,0.444,华正新材
2026-02-09,002488,13.52,0.802,金固股份
2026-01-23,688526,16.66,0.215,科前生物
2026-02-09,603768,12.25,0.073,常青股份
2025-12-25,601231,30.6,1.862,环旭电子
2025-12-25,603256,38.16,0.965,宏和科技
2025-12-25,601702,21.07,0.792,华峰铝业
2026-02-09,605166,11.1,0.074,聚合顺
2025-12-25,601698,25.74,0.956,中国卫通
2025-12-25,600699,30.63,0.493,均胜电子
2026-01-23,688398,20.22,0.486,赛特新材
2025-12-25,002792,38.18,3.549,通宇通讯
2026-02-09,600854,5.43,0.075,春兰股份
2025-12-25,002895,36.73,0.329,川恒股份
2025-12-25,603091,82.9,1.841,众鑫股份
2026-01-06,688221,22.4,0.562,前沿生物
2026-02-09,000931,5.3,0.043,中 关 村
2026-02-09,603272,23.46,0.655,联翔股份
2026-02-09,002349,7.74,0.019,精华制药
2025-12-25,603606,63.0,0.62,东方电缆
2025-12-25,002985,31.78,0.663,北摩高科
2026-02-09,002129,11.68,0.512,TCL中环
2025-12-25,603083,125.8,3.811,剑桥科技
2026-02-09,002552,20.94,0.777,宝鼎科技
2026-02-09,001366,15.38,0.346,播恩集团
2026-02-09,603439,12.25,0.035,贵州三力
2026-02-09,002438,18.43,0.504,江苏神通
2026-02-09,600841,10.51,0.892,动力新科
2026-02-09,002103,9.98,0.05,广博股份
2026-02-09,603709,19.04,0.377,中源家居
2026-02-09,603477,17.96,0.065,巨星农牧
2025-12-25,000534,24.15,0.864,万泽股份
2026-02-09,002723,9.6,0.112,小崧股份
2025-12-25,600391,36.52,1.672,航发科技
2026-02-09,603137,14.76,0.103,恒尚节能
2026-02-09,002678,5.99,0.153,珠江钢琴
2025-12-25,600141,34.9,0.771,兴发集团
2025-12-25,002192,52.68,0.514,融捷股份
2025-12-25,603228,76.85,2.104,景旺电子
2025-12-25,600183,70.68,2.642,生益科技
2025-12-25,002218,4.39,0.065,拓日新能
2026-02-09,000811,17.6,0.186,冰轮环境
2026-02-09,002459,12.71,0.177,晶澳科技
2026-01-23,688410,17.11,0.427,山外山
2026-02-09,000705,9.61,0.036,浙江震元
2026-02-09,002493,14.77,0.819,荣盛石化
2026-02-09,002159,16.7,0.278,三特索道
2026-01-23,688599,20.89,0.391,天合光能
2026-02-09,002283,8.35,0.472,天润工业
2026-02-09,603968,12.95,0.332,醋化股份
2026-02-09,002012,6.92,0.147,凯恩股份
2026-02-09,002234,9.38,0.112,民和股份
2026-01-23,688176,14.21,0.803,亚虹医药
2026-02-09,002998,8.61,0.196,优彩资源
2026-01-23,688472,18.05,0.29,阿特斯
2026-02-09,603096,19.5,0.305,新经典
2026-02-09,600697,14.08,0.064,欧亚集团
2025-12-25,603409,37.5,0.576,汇通控股
2026-02-09,600072,13.2,0.253,中船科技
2025-12-25,001208,23.16,2.557,华菱线缆
2026-02-09,000821,16.25,0.543,京山轻机
2026-02-09,000525,6.72,0.12,红太阳
2025-12-25,600030,28.96,0.115,中信证券
2025-12-25,600329,47.71,0.271,达仁堂
2025-12-25,600962,23.09,0.412,国投中鲁
2026-02-09,002207,10.57,0.549,准油股份
2026-02-09,002519,9.43,0.311,银河电子
2026-02-09,002342,19.98,2.465,巨力索具
2026-01-23,688315,17.0,0.53,诺禾致源
2026-02-09,600590,12.68,0.595,泰豪科技
2026-02-09,601966,15.34,0.091,玲珑轮胎
2025-12-25,600501,26.16,0.894,航天晨光
2026-02-09,002078,16.66,0.251,太阳纸业
2026-02-09,002282,7.85,0.083,博深股份
2026-02-09,600481,11.2,1.087,双良节能
2026-02-09,600493,8.25,0.165,凤竹纺织
2025-12-25,600320,4.87,0.01,振华重工
2026-02-09,603998,12.68,0.163,方盛制药
2026-02-09,603095,20.77,0.987,越剑智能
2025-12-25,000738,21.23,0.419,航发控制
2025-12-25,002025,47.87,0.793,航天电器
2026-02-09,603331,17.88,1.075,百达精工
2026-02-09,002291,8.87,0.463,遥望科技
2025-12-25,600118,72.73,6.023,中国卫星
2026-02-09,000589,5.14,0.01,贵州轮胎
2026-02-09,002969,27.65,3.984,嘉美包装
2026-02-09,603058,12.3,0.513,永吉股份
2025-12-25,002430,30.9,0.757,杭氧股份
2026-02-09,600522,23.46,1.137,中天科技
2025-12-25,600426,31.62,0.85,华鲁恒升
2026-02-09,000707,6.68,0.079,双环科技
2026-02-09,603707,9.99,0.086,健友股份
2026-02-09,000151,13.72,0.303,中成股份
2026-02-09,600819,8.73,0.069,耀皮玻璃
2025-12-25,002518,51.14,1.402,科士达
2026-02-09,605218,19.86,0.143,伟时电子
2026-01-23,688026,18.38,0.405,洁特生物
2026-02-09,601198,14.26,0.102,东兴证券
2026-02-09,603103,36.74,4.161,横店影视
2025-12-25,000797,4.16,0.139,中国武夷
2026-02-09,600176,22.44,1.222,中国巨石
2026-02-09,002686,6.97,0.056,亿利达
2026-02-09,603231,19.91,0.192,索宝蛋白
2026-02-09,002293,10.63,0.175,罗莱生活
2026-02-09,603999,8.06,0.18,读者传媒
2025-12-25,002683,43.06,0.634,广东宏大
2026-02-09,002355,7.27,0.167,兴民智通
2025-12-25,603119,99.25,0.136,浙江荣泰
2026-02-09,603029,20.47,0.352,天鹅股份
2026-02-09,600661,11.11,0.139,昂立教育
2025-12-25,603530,43.0,0.242,神马电力
2026-02-09,000757,5.29,0.05,浩物股份
2025-12-25,601208,29.46,2.094,东材科技
2026-02-09,603676,11.38,0.063,卫信康
2025-12-25,605123,97.9,5.052,派克新材
2026-02-09,605369,19.55,0.089,拱东医疗
2026-01-23,688512,12.43,0.312,慧智微
2026-02-09,603158,10.99,0.115,腾龙股份
2025-12-25,002149,46.2,6.149,西部材料
2026-02-09,605567,12.19,0.221,春雪食品
2026-02-09,603060,6.91,0.153,国检集团
2026-02-09,000425,11.86,0.109,徐工机械
2026-02-09,002274,6.36,0.113,华昌化工
2025-12-25,603067,31.14,0.895,振华股份
2025-12-25,600105,23.53,1.824,永鼎股份
2026-02-09,600722,9.5,0.596,金牛化工
2025-12-25,002318,28.11,0.633,久立特材
2026-02-09,603042,19.51,0.387,华脉科技
2026-02-09,603041,13.52,0.251,美思德
2026-02-09,605033,21.54,0.236,美邦股份
2026-01-23,688718,14.84,0.192,唯赛勃
2026-02-09,002381,7.13,0.091,双箭股份
2026-02-09,603033,11.55,0.184,三维股份
2026-02-09,000565,8.6,0.195,渝三峡Ａ
2026-02-09,600088,18.19,0.302,中视传媒
2026-02-09,603937,13.0,0.18,丽岛新材
2026-02-09,002297,12.86,0.332,博云新材
2026-02-09,002946,19.43,0.212,新乳业
2026-02-09,000301,13.0,0.596,东方盛虹
2026-02-09,003015,16.66,0.099,日久光电
2026-02-09,002729,19.28,0.518,好利科技
2026-02-09,603887,15.78,0.33,城地香江
2025-12-25,002046,44.55,3.213,国机精工
2026-02-09,003038,18.38,0.441,鑫铂股份
2026-01-23,688505,8.93,0.074,复旦张江
2026-02-09,002009,32.62,2.975,天奇股份
2026-02-09,002623,30.97,2.631,亚玛顿
2026-02-09,603309,14.94,0.188,维力医疗
2026-01-23,688530,19.69,0.587,欧莱新材
2025-12-25,603063,34.97,0.876,禾望电气
2026-01-23,688728,17.05,0.411,格科微
2025-12-25,603061,146.52,3.858,金海通
2025-12-25,601689,71.83,1.251,拓普集团
2026-02-09,000570,6.09,0.079,苏常柴Ａ
2026-02-09,002442,6.66,0.046,龙星科技
2025-12-25,002497,24.65,0.886,雅化集团
2025-12-25,001259,30.12,0.076,利仁科技
2026-01-19,688403,22.52,1.241,汇成股份
2025-12-25,002870,39.69,0.26,香山股份
2026-02-09,603065,8.97,0.09,宿迁联盛
2025-12-25,603011,22.93,0.323,合锻智能
2026-02-09,002732,17.95,0.113,燕塘乳业
2025-12-25,600362,43.92,1.128,江西铜业
2026-02-09,002660,9.75,0.017,茂硕电源
2026-02-09,002507,13.44,0.08,涪陵榨菜
2026-02-09,600561,7.22,0.117,江西长运
2026-02-09,000702,7.2,0.076,正虹科技
2026-02-09,000533,11.5,0.547,顺钠股份
2026-02-09,603329,11.82,0.115,上海雅仕
2026-02-09,600929,6.17,0.1,雪天盐业
2025-12-25,002947,56.28,1.39,恒铭达
2026-02-09,600202,6.42,0.097,哈空调
2026-02-09,603043,18.79,0.213,广州酒家
2025-12-25,600875,25.1,0.805,东方电气
2026-02-09,002818,11.82,0.131,富森美
2026-02-09,002972,12.79,0.133,科安达
2026-02-09,600287,6.09,0.09,苏豪时尚
2026-01-23,688009,5.63,0.038,中国通号
2026-02-09,603230,12.92,0.05,内蒙新华
2026-02-09,603982,8.96,0.021,泉峰汽车
2025-12-25,600801,24.35,0.496,华新建材
2026-02-09,001387,15.11,0.142,雪祺电气
2026-02-09,002799,9.83,0.183,环球印务
2026-02-09,600510,9.66,0.14,黑牡丹
2026-02-09,003003,14.31,0.202,天元股份
2026-02-09,600229,6.96,0.063,城市传媒
2026-02-09,600419,10.15,0.015,天润乳业
2026-02-09,603136,12.38,0.103,天目湖
2026-02-09,600983,12.57,0.531,惠而浦
2025-12-25,000887,22.95,0.239,中鼎股份
2026-01-19,688681,20.26,0.496,科汇股份
2026-02-09,600388,18.65,0.589,龙净环保
2026-02-09,601666,8.42,0.059,平煤股份
2026-02-09,002278,14.2,0.334,神开股份
2026-02-09,000039,11.14,0.385,中集集团
2026-02-09,603980,7.21,0.404,吉华集团
2026-02-09,600901,6.48,0.061,江苏金租
2025-12-25,002865,49.88,2.118,钧达股份
2025-12-25,002899,26.07,0.435,英派斯
2025-12-25,603696,26.5,2.772,安记食品
2026-02-09,002739,12.61,0.247,万达电影
2026-02-09,001330,11.34,0.508,博纳影业
2026-02-09,600719,6.76,0.119,大连热电
2026-02-09,603214,18.69,0.235,爱婴室
2026-02-09,002333,6.34,0.103,罗普斯金
2026-02-09,600851,8.19,0.198,海欣股份
2026-02-09,002982,14.79,0.162,湘佳股份
2026-02-09,002330,5.36,0.075,得利斯
2026-01-23,688707,15.75,0.282,振华新材
2026-01-12,688132,21.04,0.262,邦彦技术
2026-02-09,600173,8.86,0.331,卧龙新能
2026-02-09,603876,18.35,0.675,鼎胜新材
2026-01-23,688203,13.79,0.18,海正生材
2025-12-25,603499,20.77,0.274,翔港科技
2026-02-09,002691,9.5,0.134,冀凯股份
2026-02-09,603208,15.12,0.043,江山欧派
2026-02-09,002753,7.81,0.111,永东股份
2025-12-25,002463,72.44,0.748,沪电股份
2026-02-09,601921,8.46,0.082,浙版传媒
2026-02-09,002015,13.27,0.355,协鑫能科
2026-01-23,688173,17.2,0.487,希荻微
2026-02-09,603729,19.64,0.452,龙韵股份
2026-02-09,002986,12.65,0.356,宇新股份
2026-02-09,605500,9.27,0.033,森林包装
2026-02-09,002624,21.53,0.69,完美世界
2026-02-09,000715,6.55,0.036,中兴商业
2026-02-09,002817,8.43,0.131,黄山胶囊
2026-02-09,001201,15.13,0.066,东瑞股份
2026-02-09,600977,18.85,0.495,中国电影
2026-02-09,002361,14.94,0.525,神剑股份
2026-02-09,002875,17.64,0.077,安奈儿
2026-02-09,000157,9.61,0.209,中联重科
2026-02-09,600992,14.75,0.271,贵绳股份
2025-12-25,603507,24.91,0.107,振江股份
2025-12-25,002662,4.03,0.025,峰璟股份
2026-02-09,000703,12.97,0.665,恒逸石化
2026-02-09,603212,18.09,0.866,赛伍技术
2025-12-25,002935,22.09,0.631,天奥电子
2026-02-09,002658,10.56,0.301,雪迪龙
2026-02-09,002099,8.26,0.264,海翔药业
2026-02-09,002565,18.3,0.403,顺灏股份
2026-02-09,002111,11.05,0.154,威海广泰
2026-02-09,603810,16.98,0.102,丰山集团
2026-02-09,002226,6.16,0.033,江南化工
2026-02-09,002973,15.21,0.265,侨银股份
2026-01-23,688425,5.45,0.077,铁建重工
2026-02-09,603637,13.19,0.442,镇海股份
2026-02-09,000957,12.02,0.093,中通客车
2026-02-09,603105,10.59,0.208,芯能科技
2026-02-09,603020,11.56,0.247,爱普股份
2026-02-09,002966,8.35,0.036,苏州银行
2025-12-25,600865,21.7,2.763,百大集团
2025-12-25,001203,30.68,1.316,大中矿业
2026-02-09,605399,15.53,0.271,晨光新材
2026-02-09,603135,12.26,0.574,中重科技
2025-12-23,002718,32.67,0.586,友邦吊顶
2025-12-25,001268,38.45,1.122,联合精密
2026-02-09,603922,21.14,0.371,金鸿顺
2025-12-25,002933,36.01,0.472,新兴装备
2026-02-09,603618,15.08,1.261,杭电股份
2026-02-09,600223,7.58,0.015,福瑞达
2025-12-25,603568,25.32,0.639,伟明环保
2025-12-25,605016,21.81,0.264,百龙创园
2025-12-25,600103,4.51,0.077,青山纸业
2026-02-09,002441,11.08,0.33,众业达
2026-02-09,600692,8.12,0.174,亚通股份
2026-02-09,000153,6.73,0.041,丰原药业
2026-02-09,603730,11.54,0.558,岱美股份
2026-02-09,003018,22.59,0.615,金富科技
2025-12-25,002897,49.13,0.495,意华股份
2026-02-09,603066,11.24,0.055,音飞储存
2026-02-09,002343,8.0,0.04,慈文传媒
2025-12-25,000547,25.6,2.98,航天发展
2026-02-09,600727,7.81,0.142,鲁北化工
2025-12-25,002050,47.56,0.355,三花智控
2026-02-09,000779,9.19,0.1,甘咨询
2026-02-09,002800,19.09,0.583,天顺股份
2026-02-09,002537,9.17,0.083,海联金汇
2025-12-25,603516,225.01,10.024,淳中科技
2026-02-09,601865,17.85,0.26,福莱特
2025-12-25,605255,171.16,13.386,天普股份
2025-12-25,002703,21.22,1.794,浙江世宝
2025-12-25,603040,85.9,1.224,新坐标
2026-02-09,600158,9.91,0.221,中体产业
2026-02-09,002079,11.81,0.333,苏州固锝
2026-02-09,002772,18.0,0.829,众兴菌业
2026-02-09,002016,6.39,0.093,世荣兆业
2025-12-25,600009,33.78,0.339,上海机场
2026-02-09,603385,7.43,0.112,惠达卫浴
2025-12-25,601601,42.64,1.606,中国太保
2026-02-09,600330,17.05,0.99,天通股份
2026-02-09,603976,21.13,0.179,正川股份
2025-12-25,001379,24.99,0.556,腾达科技
2026-02-09,605266,20.84,0.158,健之佳
2026-02-09,000429,12.41,0.131,粤高速Ａ
2026-02-09,002928,11.87,0.166,华夏航空
2026-02-09,603866,5.55,0.037,桃李面包
2026-02-09,600230,21.59,1.66,沧州大化
2026-02-09,600860,13.77,0.177,京城股份
2026-02-09,002631,5.88,0.013,德尔未来
2025-12-25,603130,52.44,2.338,云中马
2026-02-09,002457,13.07,0.438,青龙管业
2026-02-09,603638,23.25,0.82,艾迪精密
2026-02-09,002728,13.08,0.228,特一药业
2026-02-09,601128,7.36,0.063,常熟银行
2026-01-23,688389,14.26,0.162,普门科技
2026-02-09,002548,7.06,0.201,金新农
2026-02-09,600097,12.52,0.113,开创国际
2026-01-23,688033,9.15,0.357,天宜新材
2025-12-25,000977,66.33,0.718,浪潮信息
2026-02-09,600513,21.17,0.311,联环药业
