date,code,price,dif,name
2026-03-02,601611,17.02,0.195,中国核建
2026-03-02,600110,8.47,0.28,诺德股份
2026-03-02,603218,14.24,0.142,日月股份
2026-03-02,001299,14.06,0.24,美能能源
2026-03-02,601898,16.55,0.567,中煤能源
2026-03-02,000407,5.33,0.041,胜利股份
2026-03-02,002782,23.41,0.68,可立克
2026-03-02,001338,12.83,0.072,永顺泰
2026-03-02,603861,20.49,1.206,白云电器
2026-03-02,600338,19.66,0.425,西藏珠峰
2026-03-02,002237,20.49,0.756,恒邦股份
2026-03-02,002734,21.58,0.866,利民股份
2026-03-02,002348,8.14,0.462,高乐股份
2026-03-02,000811,21.5,0.997,冰轮环境
2026-03-02,002478,13.0,0.915,常宝股份
2026-03-02,002493,16.02,0.833,荣盛石化
2026-03-02,002350,11.89,0.61,北京科锐
2026-03-02,603225,22.4,0.453,新凤鸣
2026-03-02,600970,11.15,0.132,中材国际
2026-03-02,002465,18.73,0.009,海格通信
2026-03-02,002202,28.11,0.616,金风科技
2026-03-02,000589,5.18,0.018,贵州轮胎
2026-03-02,600522,30.2,2.353,中天科技
2026-03-02,002056,21.98,0.384,横店东磁
2026-03-02,600459,26.27,0.892,贵研铂业
2026-03-02,600359,7.91,0.1,新农开发
2026-03-02,002541,24.74,1.035,鸿路钢构
2026-03-02,002096,14.59,0.208,易普力
2026-03-02,002491,11.12,1.038,通鼎互联
2026-03-02,601677,17.17,0.331,明泰铝业
2026-03-02,600028,7.11,0.147,中国石化
2026-03-02,600722,10.32,0.764,金牛化工
2026-03-02,600371,9.56,0.063,万向德农
2026-03-02,600884,15.14,0.381,杉杉股份
2026-03-02,600578,5.6,0.039,京能电力
2026-03-02,000593,15.5,0.265,德龙汇能
2026-03-02,600313,8.18,0.243,农发种业
2026-03-02,000655,11.37,0.271,金岭矿业
2026-03-02,000890,8.43,0.631,法尔胜
2026-03-02,002540,7.68,0.069,亚太科技
2026-03-02,600367,23.55,0.75,红星发展
2026-03-02,000862,6.79,0.134,银星能源
2026-03-02,603209,16.78,0.186,兴通股份
2026-03-02,000510,22.45,1.42,新金路
2026-03-02,600929,6.56,0.161,雪天盐业
2026-03-02,600470,8.43,0.398,六国化工
2026-03-02,600399,7.79,0.267,抚顺特钢
2026-03-02,600490,10.74,0.406,鹏欣资源
2026-03-02,002278,15.24,0.395,神开股份
2026-03-02,000039,13.69,0.911,中集集团
2026-03-02,600901,6.46,0.055,江苏金租
2026-03-02,000993,14.0,0.25,闽东电力
2026-03-02,000755,5.47,0.038,山西高速
2026-03-02,600603,7.17,0.141,广汇物流
2026-03-02,605222,21.8,0.43,起帆电缆
2026-03-02,002221,9.33,0.117,东华能源
2026-03-02,002724,7.89,0.196,海洋王
2026-03-02,600279,5.52,0.007,重庆港
2026-03-02,002973,15.15,0.18,侨银股份
2026-03-02,000932,6.79,0.198,华菱钢铁
2026-03-02,600961,26.01,1.174,株冶集团
2026-03-02,603977,16.45,0.202,国泰集团
2026-03-02,603356,20.82,0.737,华菱精工
2026-03-02,002413,16.36,0.505,雷科防务
2026-03-02,603227,9.0,0.087,雪峰科技
2026-03-02,600973,7.53,0.051,宝胜股份
2026-03-02,002795,8.62,0.351,永和智控
2026-03-02,603505,22.79,0.556,金石资源
2026-03-02,603958,21.75,1.564,哈森股份
2026-03-02,600158,10.55,0.335,中体产业
2026-03-02,000507,5.59,0.047,珠海港
2026-03-02,002772,18.11,0.7,众兴菌业
2026-03-02,603738,23.96,1.291,泰晶科技
2026-03-02,002272,20.39,0.944,川润股份
2026-03-02,002667,23.35,1.366,威领股份
2026-03-02,603871,15.8,0.4,嘉友国际
2026-03-02,002631,6.12,0.066,德尔未来
2026-03-02,002340,9.89,0.282,格林美
2026-03-02,601233,25.78,1.592,桐昆股份
2026-03-02,002483,7.93,0.161,润邦股份
2026-03-02,000070,19.66,1.766,特发信息
2026-03-02,000007,13.5,0.529,全新好
2026-03-02,000582,11.34,0.38,北部湾港
2026-03-02,600435,18.87,0.196,北方导航
2026-03-02,002040,11.97,0.201,南 京 港
2026-03-02,601600,14.27,0.185,中国铝业
2026-03-02,600558,6.52,0.047,大西洋
2026-03-02,601798,10.01,0.132,蓝科高新
2026-03-02,600331,21.64,1.701,宏达股份
2026-03-02,605368,8.55,0.038,蓝天燃气
2026-03-02,600236,9.78,0.284,桂冠电力
2026-03-02,600428,8.47,0.255,中远海特
2026-03-02,000159,7.78,0.207,国际实业
2026-03-02,605056,24.82,1.327,咸亨国际
2026-03-02,002783,10.32,0.104,凯龙股份
2026-03-02,002556,6.73,0.128,辉隆股份
2026-03-02,600711,16.81,0.226,盛屯矿业
2026-03-02,002203,14.47,0.144,海亮股份
2026-03-02,000819,17.48,0.079,岳阳兴长
2026-03-02,600707,7.0,0.039,彩虹股份
2026-03-02,000630,8.42,0.372,铜陵有色
2026-03-02,600475,21.38,0.157,华光环能
2026-03-02,002246,22.86,0.354,北化股份
2026-03-02,600126,9.59,0.198,杭钢股份
2026-03-02,601008,5.72,0.045,连云港
2026-03-02,600397,21.5,2.877,江钨装备
2026-03-02,603162,16.18,0.689,海通发展
2026-03-02,601022,10.22,0.093,宁波远洋
2026-03-02,603070,16.21,0.518,万控智造
2026-03-02,601068,6.4,0.115,中铝国际
2026-03-02,601882,21.87,0.424,海天精工
2026-03-02,600773,15.32,0.228,西藏城投
2026-03-02,600233,19.28,0.46,圆通速递
2026-03-02,002842,45.72,5.733,翔鹭钨业
2026-03-02,002534,20.78,0.772,西子洁能
2026-03-02,600546,12.05,0.297,山煤国际
2026-03-02,605366,9.5,0.599,宏柏新材
2026-03-02,000830,19.88,0.266,鲁西化工
2026-03-02,603588,13.19,0.903,高能环境
2026-03-02,603399,11.96,0.173,永杉锂业
2026-03-02,600152,9.29,0.367,维科技术
2026-03-02,600888,9.51,0.158,新疆众和
2026-03-02,002560,11.0,0.186,通达股份
2026-03-02,601969,12.89,0.162,海南矿业
2026-03-02,601872,17.86,1.464,招商轮船
2026-03-02,000967,8.42,0.286,盈峰环境
2026-03-02,600497,11.22,0.481,驰宏锌锗
2026-03-02,000803,9.91,0.223,山高环能
2026-03-02,603110,17.72,0.092,东方材料
2026-03-02,000600,9.5,0.144,建投能源
2026-03-02,600163,6.45,0.137,中闽能源
2026-03-02,002730,17.63,0.48,电光科技
2026-03-02,002378,43.94,5.278,章源钨业
2026-03-02,002871,22.29,0.665,伟隆股份
2026-03-02,000758,8.81,0.369,中色股份
2026-03-02,600714,19.76,1.003,金瑞矿业
2026-03-02,000612,15.14,0.554,焦作万方
2026-03-02,002749,14.37,0.135,国光股份
2026-03-02,600188,18.85,1.039,兖矿能源
2026-03-02,000155,14.45,0.371,川能动力
2026-03-02,000060,8.37,0.351,中金岭南
2026-03-02,600468,7.8,0.093,百利电气
2026-03-02,600268,14.1,0.388,国电南自
