代码,形态,现价,成交额(亿),日期
688223,放量假阴线,5.94,12.63,2025-12-29
002946,回踩MA10,18.6,1.1,2025-12-29
600961,回踩MA10,16.28,4.11,2025-12-29
000683,缩量回调+回踩MA5,7.35,2.3,2025-12-29
002666,缩量回调,5.63,1.96,2025-12-29
002849,回踩MA5,15.65,1.56,2025-12-29
002474,回踩MA5,9.62,5.98,2025-12-29
002036,回踩MA20,10.81,8.12,2025-12-29
002866,放量假阴线,18.85,6.64,2025-12-29
601319,回踩MA10,9.15,5.54,2025-12-29
600039,回踩MA20,9.8,1.8,2025-12-29
600335,回踩MA10,6.4,1.05,2025-12-29
600282,放量假阴线,5.39,5.14,2025-12-29
000157,回踩MA5,8.48,4.67,2025-12-29
000678,放量假阴线,14.66,7.4,2025-12-29
002552,回踩MA5+放量假阴线,17.04,1.27,2025-12-29
601816,回踩MA5,5.21,5.63,2025-12-29
600713,回踩MA5,5.45,1.49,2025-12-29
002115,缩量回调,12.25,11.74,2025-12-29
002478,回踩MA5,8.77,4.54,2025-12-29
002825,回踩MA5,12.08,1.6,2025-12-29
002099,放量假阴线,6.17,3.23,2025-12-29
601969,放量假阴线,12.34,19.95,2025-12-29
600884,回踩MA20,13.47,7.44,2025-12-29
600331,回踩MA5,12.65,9.07,2025-12-29
002083,回踩MA10,11.32,17.07,2025-12-29
002590,缩量回调,14.82,3.2,2025-12-29
600650,回踩MA20,15.34,1.76,2025-12-29
002324,放量假阴线,15.42,9.59,2025-12-29
603169,缩量回调,10.59,5.1,2025-12-29
002125,回踩MA5,14.65,3.73,2025-12-29
600824,回踩MA10,4.83,4.6,2025-12-29
002783,缩量回调+回踩MA5,9.68,1.78,2025-12-29
603977,放量假阴线,14.77,8.11,2025-12-29
000505,放量假阴线,9.01,10.44,2025-12-29
002348,放量假阴线,5.85,2.53,2025-12-29
002114,回踩MA5,8.56,1.55,2025-12-29
002856,回踩MA5,12.12,2.38,2025-12-29
002772,回踩MA5,14.83,2.21,2025-12-29
600057,回踩MA5,8.7,2.82,2025-12-29
002438,缩量回调+回踩MA5,15.67,1.97,2025-12-29
002197,回踩MA5,10.44,2.86,2025-12-29
002766,回踩MA10,5.68,3.12,2025-12-29
002378,回踩MA10,14.64,13.52,2025-12-29
600201,放量假阴线,15.39,8.0,2025-12-29
600686,缩量回调,17.08,2.48,2025-12-29
603687,回踩MA10,9.57,1.15,2025-12-29
000958,放量假阴线,6.66,4.48,2025-12-29
002561,回踩MA20,9.05,1.16,2025-12-29
002539,回踩MA5,11.85,2.22,2025-12-29
600236,回踩MA5,7.16,1.23,2025-12-29
600336,缩量回调+回踩MA5,8.71,2.48,2025-12-29
002170,回踩MA20,12.06,3.64,2025-12-29
600354,回踩MA10,6.7,1.43,2025-12-29
002446,回踩MA5,10.17,9.68,2025-12-29
002909,回踩MA20,6.98,3.88,2025-12-29
600869,回踩MA5,7.9,3.08,2025-12-29
002405,缩量回调,8.96,3.84,2025-12-29
002301,回踩MA10,7.59,1.66,2025-12-29
603002,缩量回调+回踩MA5,7.62,1.41,2025-12-29
603628,回踩MA5,14.07,1.15,2025-12-29
000902,回踩MA10,15.69,1.3,2025-12-29
002194,缩量回调+回踩MA5,12.89,1.64,2025-12-29
600778,回踩MA20,7.04,1.13,2025-12-29
002373,回踩MA5,11.86,5.34,2025-12-29
603890,回踩MA10,16.46,4.5,2025-12-29
000686,缩量回调,9.44,3.52,2025-12-29
002105,回踩MA10,7.52,1.27,2025-12-29
603680,放量假阴线,16.52,5.79,2025-12-29
002910,回踩MA20,11.7,2.62,2025-12-29
600901,回踩MA5,6.14,1.28,2025-12-29
002545,回踩MA5+放量假阴线,18.1,3.11,2025-12-29
601068,回踩MA10,5.57,4.52,2025-12-29
002098,回踩MA10,10.24,1.89,2025-12-29
601061,回踩MA5,14.64,5.51,2025-12-29
000949,缩量回调,5.56,3.39,2025-12-29
002843,放量假阴线,20.73,6.73,2025-12-29
601611,回踩MA5,13.2,12.44,2025-12-29
600135,缩量回调,9.25,1.82,2025-12-29
000532,缩量回调,16.4,3.58,2025-12-29
000919,缩量回调,7.6,1.3,2025-12-29
000017,回踩MA10,8.16,1.86,2025-12-29
600493,缩量回调+回踩MA5,7.9,1.2,2025-12-29
002355,回踩MA20,6.08,2.0,2025-12-29
