日期,代码,名称,当前价,形态类型,成交额(亿)
2025-12-30,002946,新乳业,18.6,回踩MA10阴线,1.1
2025-12-30,600961,株冶集团,16.28,回踩MA10阴线,4.11
2025-12-30,002849,威星智能,15.65,回踩MA5阴线,1.56
2025-12-30,002474,榕基软件,9.62,回踩MA5阴线,5.98
2025-12-30,601319,中国人保,9.15,回踩MA10阴线,5.54
2025-12-30,600335,国机汽车,6.4,回踩MA10阴线,1.05
2025-12-30,000157,中联重科,8.48,回踩MA5阴线,4.67
2025-12-30,002552,宝鼎科技,17.04,回踩MA5阴线,1.27
2025-12-30,601816,京沪高铁,5.21,回踩MA5阴线,5.63
2025-12-30,600713,南京医药,5.45,回踩MA5阴线,1.49
2025-12-30,002478,常宝股份,8.77,回踩MA5阴线,4.54
2025-12-30,002825,纳尔股份,12.08,回踩MA5阴线,1.6
2025-12-30,600331,宏达股份,12.65,回踩MA5阴线,9.07
2025-12-30,002083,孚日股份,11.32,回踩MA10阴线,17.07
2025-12-30,002125,湘潭电化,14.65,回踩MA5阴线,3.73
2025-12-30,600824,益民集团,4.83,回踩MA10阴线,4.6
2025-12-30,002114,罗平锌电,8.56,回踩MA5阴线,1.55
2025-12-30,002856,美芝股份,12.12,回踩MA5阴线,2.38
2025-12-30,002772,众兴菌业,14.83,回踩MA5阴线,2.21
2025-12-30,600057,厦门象屿,8.7,回踩MA5阴线,2.82
2025-12-30,002438,江苏神通,15.67,回踩MA5阴线,1.97
2025-12-30,002197,ST证通,10.44,回踩MA5阴线,2.86
2025-12-30,002378,章源钨业,14.64,回踩MA10阴线,13.52
2025-12-30,603687,大胜达,9.57,回踩MA10阴线,1.15
2025-12-30,002539,云图控股,11.85,回踩MA5阴线,2.22
2025-12-30,600236,桂冠电力,7.16,回踩MA5阴线,1.23
2025-12-30,600336,澳柯玛,8.71,回踩MA5阴线,2.48
2025-12-30,600354,敦煌种业,6.7,回踩MA10阴线,1.43
2025-12-30,002446,盛路通信,10.17,回踩MA5阴线,9.68
2025-12-30,600869,远东股份,7.9,回踩MA5阴线,3.08
2025-12-30,002301,齐心集团,7.59,回踩MA10阴线,1.66
2025-12-30,603628,清源股份,14.07,回踩MA5阴线,1.15
2025-12-30,000902,新洋丰,15.69,回踩MA10阴线,1.3
2025-12-30,002373,千方科技,11.86,回踩MA5阴线,5.34
2025-12-30,603890,春秋电子,16.46,回踩MA10阴线,4.5
2025-12-30,002105,信隆健康,7.52,回踩MA10阴线,1.27
2025-12-30,600901,江苏金租,6.14,回踩MA5阴线,1.28
2025-12-30,002545,东方铁塔,18.1,回踩MA5阴线,3.11
2025-12-30,601068,中铝国际,5.57,回踩MA10阴线,4.52
2025-12-30,002098,浔兴股份,10.24,回踩MA10阴线,1.89
2025-12-30,601061,中信金属,14.64,回踩MA5阴线,5.51
2025-12-30,601611,中国核建,13.2,回踩MA5阴线,12.44
2025-12-30,000017,深中华A,8.16,回踩MA10阴线,1.86
2025-12-30,600493,凤竹纺织,7.9,回踩MA5阴线,1.2
