date,code,price,pct_chg,turnover,name
2026-03-03,002682,7.67,10.04%,20.5%,龙洲股份
2026-03-03,603778,15.51,10.0%,18.73%,国晟科技
2026-03-02,000819,17.48,6.39%,9.6%,岳阳兴长
