date,code,price,pct_chg,turnover,name
2026-05-15,002164,14.29,9.75%,13.57%,宁波东力
2026-05-15,002892,11.34,9.99%,5.33%,科力尔
2026-05-15,002196,15.36,10.03%,21.79%,方正电机
2026-05-15,603697,11.34,8.0%,5.26%,有友食品
2026-05-15,000695,15.49,7.42%,14.07%,滨海能源
