date,code,price,pct_chg,turnover,name
2026-01-23,688223,6.9,20.0%,5.75%,晶科能源
2025-12-25,603036,20.9,7.68%,4.35%,如通股份
2026-02-09,603328,11.62,5.44%,3.25%,依顿电子
2026-02-09,002861,20.31,6.06%,8.76%,瀛通通讯
2026-02-09,000571,6.75,9.93%,7.56%,新大洲A
2026-02-09,002416,13.55,5.86%,3.72%,爱施德
2025-12-25,002048,29.3,5.78%,6.76%,宁波华翔
2025-12-25,603895,29.3,5.21%,4.08%,天永智能
2026-02-09,001217,14.07,10.01%,6.77%,华尔泰
2026-02-09,600615,13.07,6.96%,5.0%,鑫源智造
2026-02-09,002918,17.52,7.35%,5.74%,蒙娜丽莎
