date,code,price,pct_chg,turnover,name
2026-01-23,688223,6.9,20.0%,5.75%,晶科能源
2025-12-25,603036,20.9,7.68%,4.35%,如通股份
2025-12-25,002048,29.3,5.78%,6.76%,宁波华翔
2025-12-25,603895,29.3,5.21%,4.08%,天永智能
