date,code,price,pct_chg,turnover,name
2026-04-03,002952,25.18,10.0%,8.3%,亚世光电
2026-04-03,605303,17.77,10.03%,5.84%,园林股份
2026-04-03,600302,12.27,10.04%,5.4%,标准股份
