date,code,price,pct_chg,turnover,name
2026-03-25,600802,6.27,10.0%,5.76%,福建水泥
2026-03-27,003042,17.97,9.98%,10.04%,中农联合
2026-03-27,000695,14.29,10.01%,13.47%,滨海能源
