date,code,price,pct_chg,turnover,name
2026-05-08,002669,14.35,5.21%,8.2%,康达新材
2026-05-14,000819,17.08,6.48%,5.51%,岳阳兴长
2026-05-08,603012,9.55,10.02%,7.8%,创力集团
2026-05-08,600222,7.44,10.06%,8.51%,太龙药业
2026-05-08,603960,23.99,5.73%,8.46%,克来机电
2026-05-08,002599,7.24,5.54%,6.38%,盛通股份
2026-05-08,002918,11.57,9.98%,7.13%,蒙娜丽莎
2026-05-14,000159,6.89,10.06%,11.07%,国际实业
2026-05-08,600480,11.61,10.05%,5.23%,凌云股份
2026-05-14,002973,13.97,10.0%,4.42%,侨银股份
