date,code,price,pct_chg,turnover,name
2026-04-10,605069,12.36,9.96%,3.26%,正和生态
2026-04-10,603101,8.83,9.96%,4.51%,汇嘉时代
2026-04-10,002177,8.16,9.97%,22.38%,御银股份
2026-04-10,600749,16.99,7.19%,12.98%,西藏旅游
