date,code,price,pct_chg,turnover,name
2026-03-06,603158,10.96,10.04%,5.49%,腾龙股份
2026-03-06,600099,11.46,5.72%,3.29%,林海股份
2026-03-06,601789,5.49,10.02%,10.5%,宁波建工
