date,code,price,pct_chg,turnover,name
2026-01-09,600814,8.47,5.61%,4.75%,杭州解百
2026-01-09,002264,9.7,5.09%,17.59%,新 华 都
2026-01-09,002419,6.03,7.1%,9.13%,天虹股份
2026-01-09,000532,17.3,9.98%,11.3%,华金资本
