code,type,name
600058,牛回头(回踩10MA),五矿发展
600829,牛回头(回踩10MA),人民同泰
002715,牛回头(回踩10MA),登云股份
002728,牛回头(回踩10MA),特一药业
601609,牛回头(回踩10MA),金田股份
000025,牛回头(回踩10MA),特  力Ａ
601218,牛回头(回踩10MA),吉鑫科技
002998,牛回头(回踩10MA),优彩资源
600966,牛回头(回踩10MA),博汇纸业
002478,牛回头(回踩10MA),常宝股份
002606,牛回头(回踩10MA),大连电瓷
600736,牛回头(回踩10MA),苏州高新
000850,牛回头(回踩10MA),华茂股份
002140,牛回头(回踩10MA),东华科技
600590,牛回头(回踩10MA),泰豪科技
002106,牛回头(回踩10MA),莱宝高科
603766,牛回头(回踩10MA),隆鑫通用
002329,牛回头(回踩10MA),皇氏集团
603115,牛回头(回踩10MA),海星股份
002772,牛回头(回踩10MA),众兴菌业
002815,牛回头(回踩10MA),崇达技术
002860,牛回头(回踩10MA),星帅尔
600789,牛回头(回踩10MA),鲁抗医药
002022,牛回头(回踩10MA),科华生物
603366,牛回头(回踩10MA),日出东方
603399,牛回头(回踩10MA),永杉锂业
600889,牛回头(回踩10MA),南京化纤
002161,牛回头(回踩10MA),远 望 谷
002167,牛回头(回踩10MA),东方锆业
600403,牛回头(回踩10MA),大有能源
002434,牛回头(回踩10MA),万里扬
605366,牛回头(回踩10MA),宏柏新材
000017,牛回头(回踩10MA),深中华A
002340,牛回头(回踩10MA),格林美
