code,type,name
000811,箱体回踩,冰轮环境
600279,箱体回踩,重庆港
601615,箱体回踩,明阳智能
600784,箱体回踩,鲁银投资
002571,箱体回踩,德力股份
002420,牛回头(回踩10MA),毅昌科技
002429,箱体回踩,兆驰股份
002716,箱体回踩,湖南白银
601528,箱体回踩,瑞丰银行
000561,箱体回踩,烽火电子
605155,箱体回踩,西大门
002296,箱体回踩,辉煌科技
600215,箱体回踩,派斯林
688033,箱体回踩,天宜新材
002243,箱体回踩,力合科创
688079,箱体回踩,美迪凯
600927,箱体回踩,永安期货
002698,箱体回踩,博实股份
000407,牛回头(回踩10MA),胜利股份
002245,箱体回踩,蔚蓝锂芯
688722,箱体回踩,同益中
603305,箱体回踩,旭升集团
002278,箱体回踩,神开股份
688108,箱体回踩,赛诺医疗
001376,箱体回踩,百通能源
603085,箱体回踩,天成自控
002182,箱体回踩,宝武镁业
002599,箱体回踩,盛通股份
601339,箱体回踩,百隆东方
002824,箱体回踩,和胜股份
600728,箱体回踩,佳都科技
002078,箱体回踩,太阳纸业
002272,箱体回踩,川润股份
002560,箱体回踩,通达股份
600330,箱体回踩,天通股份
603680,箱体回踩,今创集团
600955,箱体回踩,维远股份
000617,箱体回踩,中油资本
002434,箱体回踩,万里扬
603098,箱体回踩,森特股份
600376,箱体回踩,首开股份
000949,箱体回踩,新乡化纤
603876,箱体回踩,鼎胜新材
000532,箱体回踩,华金资本
600399,箱体回踩,抚顺特钢
002203,箱体回踩,海亮股份
002346,箱体回踩,柘中股份
601696,箱体回踩,中银证券
002892,箱体回踩,科力尔
002951,牛回头(回踩10MA),金时科技
