date,code,name,price,pct_chg
2025-12-29,688697,纽威数控,15.25,-0.85
2025-12-29,000906,浙商中拓,5.98,-1.16
2025-12-29,605077,华康股份,15.08,-1.24
2025-12-29,688009,中国通号,5.49,0.18
2025-12-29,600352,浙江龙盛,10.65,-1.3
2025-12-29,603070,万控智造,13.05,0.15
2025-12-29,000726,鲁  泰Ａ,7.15,-0.69
2025-12-29,600116,三峡水利,6.65,0.15
2025-12-29,002908,德生科技,9.53,1.28
2025-12-29,603050,科林电气,17.56,-0.73
2025-12-29,000852,石化机械,7.23,-0.28
2025-12-29,002635,安洁科技,13.77,-0.36
2025-12-29,002056,横店东磁,19.96,0.81
2025-12-29,002803,吉宏股份,16.4,-1.91
2025-12-29,002676,顺威股份,8.41,-0.83
2025-12-29,002587,奥拓电子,6.7,-0.45
2025-12-29,002520,日发精机,6.28,1.78
2025-12-29,000059,华锦股份,5.17,0.19
2025-12-29,688571,杭华股份,7.54,0.4
2025-12-29,603926,铁流股份,16.12,1.45
2025-12-29,600476,湘邮科技,15.85,0.76
2025-12-29,002131,利欧股份,5.1,-0.97
2025-12-29,002580,圣阳股份,12.52,-0.79
2025-12-29,603803,瑞斯康达,11.64,-3.4
2025-12-29,000801,四川九洲,17.11,-1.89
2025-12-29,000600,建投能源,8.48,-3.75
2025-12-29,603138,海量数据,14.31,1.35
2025-12-29,688681,科汇股份,17.51,0.46
2025-12-29,002320,海峡股份,12.71,-3.2
2025-12-29,002658,雪迪龙,8.74,-1.69
2025-12-29,002139,拓邦股份,13.6,-0.29
2025-12-29,600202,哈空调,5.94,0.68
2025-12-29,603006,联明股份,13.09,0.15
2025-12-29,601577,长沙银行,9.79,0.82
2025-12-29,002858,力盛体育,15.22,0.59
2025-12-29,002782,可立克,18.55,-0.86
2025-12-29,603041,美思德,12.11,0.08
2025-12-29,000626,远大控股,8.05,-0.98
2025-12-29,000501,武商集团,10.05,-2.24
2025-12-29,000783,长江证券,8.18,-0.61
2025-12-29,603916,苏博特,9.65,-0.82
2025-12-29,000422,湖北宜化,14.21,-2.87
2025-12-29,002884,凌霄泵业,17.78,-0.89
2025-12-29,603018,华设集团,7.64,0.13
2025-12-29,601311,骆驼股份,9.22,-1.18
2025-12-29,000030,富奥股份,5.7,-1.04
2025-12-29,600318,新力金融,9.08,1.34
2025-12-29,605050,福然德,13.04,-1.66
2025-12-29,600335,国机汽车,6.4,-2.14
2025-12-29,600125,铁龙物流,6.49,-0.31
2025-12-29,002085,万丰奥威,15.9,-0.06
2025-12-29,002283,天润工业,6.18,-0.48
2025-12-29,000567,海德股份,6.76,-1.17
2025-12-29,000157,中联重科,8.48,-1.05
2025-12-29,603282,亚光股份,19.84,0.25
2025-12-29,600061,国投资本,7.64,0.0
2025-12-29,600480,凌云股份,12.13,0.58
2025-12-29,688549,中巨芯,9.23,-0.65
2025-12-29,600860,京城股份,12.72,0.95
2025-12-29,002556,辉隆股份,6.07,-0.98
2025-12-29,002966,苏州银行,8.27,-0.96
2025-12-29,001239,永达股份,16.35,-0.37
2025-12-29,002552,宝鼎科技,17.04,0.41
2025-12-29,603856,东宏股份,12.66,-0.24
2025-12-29,603118,共进股份,11.59,0.43
2025-12-29,601669,中国电建,5.25,-0.38
2025-12-29,000027,深圳能源,6.64,-0.3
2025-12-29,600110,诺德股份,7.22,-2.3
2025-12-29,603181,皇马科技,14.47,-0.48
2025-12-29,002095,生 意 宝,17.93,0.56
2025-12-29,002096,易普力,13.37,-0.59
2025-12-29,603328,依顿电子,11.18,0.27
2025-12-29,002743,富煌钢构,5.5,1.48
2025-12-29,603788,宁波高发,16.18,0.43
2025-12-29,002546,新联电子,7.07,0.28
2025-12-29,601816,京沪高铁,5.21,-0.19
2025-12-29,003025,思进智能,14.27,0.28
2025-12-29,002236,大华股份,18.94,-0.63
2025-12-29,600768,宁波富邦,13.64,1.49
2025-12-29,601882,海天精工,19.51,0.77
2025-12-29,605336,帅丰电器,15.45,-0.58
2025-12-29,600246,万通发展,12.76,-0.78
2025-12-29,600081,东风科技,11.86,0.68
2025-12-29,002366,融发核电,7.43,-0.93
2025-12-29,688529,豪森智能,18.21,1.05
2025-12-29,000058,深 赛 格,9.44,0.32
2025-12-29,688371,菲沃泰,18.81,-0.84
2025-12-29,601008,连云港,5.23,-0.38
2025-12-29,603318,水发燃气,6.72,-1.03
2025-12-29,002185,华天科技,11.03,-0.54
2025-12-29,600353,旭光电子,16.21,-1.28
2025-12-29,600109,国金证券,9.33,-0.32
2025-12-29,603639,海利尔,12.7,0.08
2025-12-29,002538,司尔特,6.62,0.0
2025-12-29,000899,赣能股份,10.14,-1.36
2025-12-29,600746,江苏索普,6.98,-0.71
2025-12-29,600894,广日股份,9.25,0.43
2025-12-29,600106,重庆路桥,6.32,-0.78
2025-12-29,002500,山西证券,6.08,-0.65
2025-12-29,002806,华锋股份,12.45,-0.16
2025-12-29,002941,新疆交建,16.51,0.92
2025-12-29,000822,山东海化,5.34,0.75
2025-12-29,002119,康强电子,16.56,-0.6
2025-12-29,001338,永顺泰,12.28,-0.57
2025-12-29,600059,古越龙山,9.2,-0.43
2025-12-29,688660,电气风电,16.79,-2.95
2025-12-29,603206,嘉环科技,17.05,-0.29
2025-12-29,600419,天润乳业,9.96,-1.39
2025-12-29,000039,中集集团,9.46,-0.53
2025-12-29,000519,中兵红箭,17.94,0.67
2025-12-29,600026,中远海能,11.89,1.36
2025-12-29,600356,恒丰纸业,8.93,-0.22
2025-12-29,600176,中国巨石,16.09,-3.01
2025-12-29,002701,奥瑞金,6.06,-1.94
2025-12-29,000928,中钢国际,6.66,1.06
2025-12-29,603035,常熟汽饰,15.28,0.46
2025-12-29,002576,通达动力,17.2,1.24
2025-12-29,601218,吉鑫科技,5.14,0.0
2025-12-29,002014,永新股份,12.13,0.92
2025-12-29,600379,宝光股份,11.78,-1.09
2025-12-29,002010,传化智联,5.82,-0.68
2025-12-29,688425,铁建重工,5.14,-1.72
2025-12-29,688156,路德环境,16.14,0.5
2025-12-29,002249,大洋电机,10.54,-0.38
2025-12-29,600698,湖南天雁,9.08,1.11
2025-12-29,600975,新五丰,5.92,0.17
2025-12-29,600770,综艺股份,5.15,0.0
2025-12-29,603172,万丰股份,18.11,2.84
2025-12-29,002107,沃华医药,6.33,2.43
2025-12-29,600268,国电南自,10.61,-1.3
2025-12-29,000045,深纺织Ａ,12.12,0.83
2025-12-29,002492,恒基达鑫,8.09,-0.98
2025-12-29,000166,申万宏源,5.3,-0.38
2025-12-29,000932,华菱钢铁,5.66,0.18
2025-12-29,002328,新朋股份,6.74,-0.15
2025-12-29,002749,国光股份,13.95,0.14
2025-12-29,601003,柳钢股份,5.05,0.2
2025-12-29,600576,祥源文旅,6.39,-3.18
2025-12-29,000589,贵州轮胎,5.13,-0.39
2025-12-29,603037,凯众股份,13.45,0.22
2025-12-29,688079,美迪凯,11.35,-1.48
2025-12-29,002598,山东章鼓,10.82,1.12
2025-12-29,000533,顺钠股份,8.59,-1.72
2025-12-29,688590,新致软件,18.27,1.33
2025-12-29,002358,森源电气,5.62,-0.18
2025-12-29,002376,新北洋,7.57,0.26
2025-12-29,603700,宁水集团,13.23,0.76
2025-12-29,600235,民丰特纸,6.86,0.15
2025-12-29,002298,中电鑫龙,10.47,-0.1
2025-12-29,603045,福达合金,19.9,0.45
2025-12-29,000636,风华高科,16.42,0.98
2025-12-29,000885,城发环境,13.71,-0.72
2025-12-29,600299,安迪苏,9.03,0.78
2025-12-29,002730,电光科技,14.95,0.27
2025-12-29,600292,远达环保,12.89,1.34
2025-12-29,002176,江特电机,9.76,-3.37
2025-12-29,600571,信雅达,15.68,1.75
2025-12-29,002727,一心堂,13.37,-1.69
2025-12-29,600405,动力源,5.26,1.54
2025-12-29,688203,海正生材,12.83,0.16
2025-12-29,002293,罗莱生活,9.96,1.12
2025-12-29,601608,中信重工,6.59,0.15
2025-12-29,000019,深粮控股,7.1,-0.14
2025-12-29,601512,中新集团,9.07,1.91
2025-12-29,600859,王府井,15.21,-1.62
2025-12-29,688299,长阳科技,17.15,-1.15
2025-12-29,603022,新通联,10.45,-0.1
2025-12-29,003038,鑫铂股份,15.96,1.27
2025-12-29,603201,XD常润股,16.97,0.41
2025-12-29,600138,中青旅,9.95,-0.9
2025-12-29,002416,爱施德,12.23,0.58
2025-12-29,601229,上海银行,10.13,2.12
2025-12-29,002099,海翔药业,6.17,3.35
2025-12-29,002996,顺博合金,7.5,-0.92
2025-12-29,002337,赛象科技,6.48,-0.15
2025-12-29,600819,耀皮玻璃,8.34,-0.12
2025-12-29,000529,广弘控股,6.16,-0.96
2025-12-29,603730,岱美股份,8.23,1.48
2025-12-29,603191,望变电气,15.1,-1.31
2025-12-29,600916,中国黄金,8.11,0.37
2025-12-29,002611,东方精工,18.5,0.38
2025-12-29,002401,中远海科,15.98,0.38
2025-12-29,601555,东吴证券,9.14,-0.22
2025-12-29,603112,华翔股份,18.01,2.27
2025-12-29,002053,云南能投,11.81,-0.76
2025-12-29,600063,皖维高新,6.05,-0.49
2025-12-29,603038,华立股份,16.59,4.87
2025-12-29,000066,中国长城,14.37,-1.03
2025-12-29,003039,顺控发展,14.67,-2.4
2025-12-29,605006,山东玻纤,7.48,0.67
2025-12-29,002725,跃岭股份,17.31,-1.09
2025-12-29,002852,道道全,10.7,-0.74
2025-12-29,688472,阿特斯,15.68,-5.2
2025-12-29,603027,千禾味业,9.78,0.2
2025-12-29,601636,旗滨集团,6.06,-0.66
2025-12-29,601952,苏垦农发,9.18,0.0
2025-12-29,600133,东湖高新,9.12,-1.08
2025-12-29,603128,华贸物流,6.12,-2.08
2025-12-29,600884,杉杉股份,13.47,-2.04
2025-12-29,002441,众业达,9.39,0.75
2025-12-29,601177,杭齿前进,16.99,0.59
2025-12-29,002606,大连电瓷,8.91,-0.89
2025-12-29,600273,嘉化能源,8.41,-0.36
2025-12-29,002423,中粮资本,11.95,0.93
2025-12-29,600478,科力远,6.86,-2.0
2025-12-29,002846,英联股份,16.34,-1.74
2025-12-29,002094,青岛金王,7.33,1.38
2025-12-29,002079,苏州固锝,9.67,0.94
2025-12-29,002707,众信旅游,7.13,-1.38
2025-12-29,603855,华荣股份,19.38,-0.05
2025-12-29,002963,豪尔赛,15.23,1.87
2025-12-29,688277,天智航,14.91,0.61
2025-12-29,002673,西部证券,8.0,-0.5
2025-12-29,002112,三变科技,13.49,-1.68
2025-12-29,002939,长城证券,10.32,0.39
2025-12-29,000498,山东路桥,6.08,0.5
2025-12-29,000815,美利云,11.37,0.62
2025-12-29,601808,中海油服,13.93,0.43
2025-12-29,603586,金麒麟,18.82,-0.79
2025-12-29,600712,南宁百货,7.0,-3.31
2025-12-29,002101,广东鸿图,12.34,0.0
2025-12-29,603826,坤彩科技,17.45,0.11
2025-12-29,002140,东华科技,11.38,-1.81
2025-12-29,002455,百川股份,7.16,2.73
2025-12-29,002255,海陆重工,12.68,-2.16
2025-12-29,688512,慧智微,11.13,0.36
2025-12-29,002312,川发龙蟒,11.13,-0.98
2025-12-29,002391,长青股份,5.94,-0.17
2025-12-29,600120,浙江东方,6.24,1.3
2025-12-29,002166,莱茵生物,8.75,-4.48
2025-12-29,600528,中铁工业,8.22,0.86
2025-12-29,603918,金桥信息,15.85,1.99
2025-12-29,601117,中国化学,7.65,-0.26
2025-12-29,601677,明泰铝业,14.55,-0.95
