date,code,name,price
2026-01-03,603291,联合水务,9.64
2026-01-03,601999,出版传媒,6.87
2026-01-03,600908,无锡银行,5.93
2026-01-03,002878,元隆雅图,18.22
2026-01-03,001979,招商蛇口,8.64
2026-01-03,688553,汇宇制药,17.79
2026-01-03,603001,奥康国际,8.95
2026-01-03,002681,奋达科技,6.65
2026-01-03,603776,永安行,17.88
2026-01-03,002962,五方光电,14.82
2026-01-03,000421,南京公用,6.91
2026-01-03,600756,浪潮软件,18.42
2026-01-03,601988,中国银行,5.73
2026-01-03,600825,新华传媒,6.18
2026-01-03,002712,思美传媒,5.56
2026-01-03,603378,亚士创能,6.81
2026-01-03,603167,渤海轮渡,9.43
2026-01-03,002153,石基信息,10.83
2026-01-03,002860,星帅尔,14.1
2026-01-03,002291,遥望科技,6.39
2026-01-03,688365,光云科技,16.87
2026-01-03,688105,诺唯赞,20.32
2026-01-03,002387,维信诺,8.62
2026-01-03,603958,哈森股份,13.3
2026-01-03,688101,三达膜,16.44
2026-01-03,603335,迪生力,5.63
2026-01-03,601360,三六零,11.17
2026-01-03,002659,凯文教育,5.86
2026-01-03,600861,北京人力,18.34
2026-01-03,002178,延华智能,6.39
2026-01-03,600050,中国联通,5.11
2026-01-03,600668,尖峰集团,11.3
2026-01-03,600241,时代万恒,8.35
2026-01-03,002019,亿帆医药,11.96
2026-01-03,002331,皖通科技,8.92
2026-01-03,603787,新日股份,14.06
