类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
1-多指标共振金叉,603648,畅联股份,10.07,0.97,22.7/27.0,金叉/绿柱缩短,4.8%,2.0%
1-多指标共振金叉,603101,汇嘉时代,8.7,0.77,12.4/18.3,金叉/绿柱缩短,13.5%,1.3%
1-多指标共振金叉,600909,华安证券,6.15,0.71,18.9/25.8,金叉/绿柱缩短,10.2%,1.5%
2-极致缩量潜伏,603567,珍宝岛,7.52,0.77,7.0/16.1,底位/绿柱缩短,20.4%,0.8%
2-极致缩量潜伏,603758,秦安股份,13.89,0.79,5.4/23.7,底位/绿柱缩短,19.6%,0.4%
2-极致缩量潜伏,601566,九牧王,10.99,0.65,9.2/10.5,底位/绿柱缩短,19.6%,0.5%
2-极致缩量潜伏,002020,京新药业,15.35,0.73,6.9/27.0,底位/绿柱缩短,19.0%,-0.3%
2-极致缩量潜伏,605336,帅丰电器,13.4,0.63,9.8/28.5,底位/绿柱缩短,15.6%,1.4%
2-极致缩量潜伏,603536,惠发食品,10.05,0.65,14.5/23.6,底位/绿柱缩短,15.5%,0.4%
3-准入选观察池,603633,徕木股份,8.42,0.64,11.8/26.9,底位/绿柱缩短,16.4%,1.7%
3-准入选观察池,603668,天马科技,13.91,0.75,3.4/10.7,底位/绿柱缩短,14.9%,0.1%
3-准入选观察池,605008,长鸿高科,12.5,0.64,5.8/27.9,底位/绿柱缩短,14.5%,0.5%
3-准入选观察池,603429,集友股份,9.11,0.61,12.1/25.8,底位/绿柱缩短,14.4%,-0.6%
3-准入选观察池,603885,吉祥航空,12.61,0.85,1.3/7.1,底位/绿柱缩短,14.2%,-1.6%
3-准入选观察池,002695,煌上煌,10.35,0.72,5.7/21.8,底位/绿柱缩短,13.7%,0.6%
3-准入选观察池,002320,海峡股份,9.99,0.68,22.6/33.3,底位/绿柱缩短,13.5%,0.0%
3-准入选观察池,003016,欣贺股份,8.37,0.66,17.5/25.0,底位/绿柱缩短,13.4%,1.2%
3-准入选观察池,002675,东诚药业,12.25,0.92,0.8/17.1,底位/绿柱缩短,13.3%,0.1%
3-准入选观察池,605388,均瑶健康,6.53,0.78,11.9/17.8,底位/绿柱缩短,13.1%,0.5%
3-准入选观察池,600859,王府井,13.12,0.77,10.4/21.3,底位/绿柱缩短,13.1%,0.5%
3-准入选观察池,603528,多伦科技,8.89,0.72,15.3/32.6,底位/绿柱缩短,13.0%,2.2%
3-准入选观察池,603535,嘉诚国际,9.23,0.72,15.1/25.0,底位/绿柱缩短,12.3%,1.8%
3-准入选观察池,600933,爱柯迪,17.07,0.56,7.4/15.3,底位/绿柱缩短,12.3%,0.8%
3-准入选观察池,002676,顺威股份,7.29,0.79,8.7/23.9,底位/绿柱缩短,12.3%,1.1%
3-准入选观察池,000567,海德股份,5.49,0.73,21.7/30.8,底位/绿柱缩短,12.3%,0.7%
3-准入选观察池,002403,爱仕达,11.14,0.82,16.4/25.9,底位/绿柱缩短,11.8%,2.1%
3-准入选观察池,605108,同庆楼,17.77,0.82,8.8/14.9,底位/绿柱缩短,11.7%,-0.1%
3-准入选观察池,002752,昇兴股份,6.28,0.66,16.9/32.3,底位/绿柱缩短,11.5%,1.3%
3-准入选观察池,603809,豪能股份,11.93,0.71,9.5/25.9,底位/绿柱缩短,11.1%,1.1%
3-准入选观察池,002651,利君股份,10.32,0.65,16.7/32.1,底位/绿柱缩短,11.0%,-0.6%
3-准入选观察池,600857,宁波中百,12.64,0.6,13.7/25.5,底位/绿柱缩短,10.7%,1.4%
3-准入选观察池,600095,湘财股份,10.09,0.87,8.0/19.5,底位/绿柱缩短,10.6%,-0.9%
3-准入选观察池,600679,上海凤凰,12.14,0.69,11.3/27.6,底位/绿柱缩短,10.4%,1.0%
3-准入选观察池,600712,南宁百货,6.11,0.77,7.1/26.5,底位/绿柱缩短,10.4%,0.3%
3-准入选观察池,601058,赛轮轮胎,14.76,0.98,17.1/23.7,底位/绿柱缩短,10.4%,2.2%
3-准入选观察池,603915,国茂股份,15.79,1.01,13.3/32.8,底位/绿柱缩短,10.1%,1.2%
