类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),002818,富森美,10.55,0.74,19.6/33.0,底位/绿柱缩短,5.5%,0.5%
0-点火启动(即买即涨),603018,华设集团,5.37,1.49,16.1/19.2,底位/绿柱缩短,30.9%,3.7%
0-点火启动(即买即涨),601777,千里科技,8.15,1.12,24.7/17.1,底位/绿柱缩短,27.3%,4.1%
1-多指标共振金叉,601699,潞安环能,14.68,0.95,24.2/16.3,金叉/绿柱缩短,5.8%,2.2%
1-多指标共振金叉,000027,深圳能源,6.27,0.77,19.7/24.3,金叉/绿柱缩短,13.0%,1.1%
2-极致缩量潜伏,000155,川能动力,12.01,0.75,20.4/28.8,底位/绿柱缩短,25.0%,-0.7%
2-极致缩量潜伏,600191,华资实业,9.19,0.52,16.7/26.3,底位/绿柱缩短,23.8%,0.9%
2-极致缩量潜伏,000928,中钢国际,5.04,0.77,18.9/25.4,底位/绿柱缩短,23.1%,0.8%
2-极致缩量潜伏,600637,东方明珠,8.09,0.77,13.8/30.5,底位/绿柱缩短,18.0%,-0.6%
3-准入选观察池,603811,诚意药业,7.6,0.97,10.1/23.5,底位/绿柱缩短,45.1%,0.8%
3-准入选观察池,603826,坤彩科技,23.95,0.75,0.0/19.7,底位/绿柱缩短,32.1%,-2.5%
3-准入选观察池,002416,爱施德,9.09,0.73,21.4/10.6,底位/绿柱缩短,30.2%,1.7%
3-准入选观察池,603126,中材节能,6.29,0.89,13.9/19.4,底位/绿柱缩短,24.2%,1.8%
3-准入选观察池,600232,金鹰股份,6.45,1.08,24.6/29.1,底位/绿柱缩短,21.6%,2.4%
3-准入选观察池,601825,沪农商行,7.54,0.88,11.3/14.0,底位/绿柱缩短,14.7%,-0.4%
3-准入选观察池,601288,农业银行,5.9,0.98,11.1/17.9,底位/绿柱缩短,12.0%,-1.3%
3-准入选观察池,601998,中信银行,6.99,0.92,24.4/26.2,底位/绿柱缩短,11.9%,0.4%
