类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
1-多指标共振金叉,600479,千金药业,9.56,0.96,22.0/16.4,金叉/绿柱缩短,8.6%,0.0%
1-多指标共振金叉,603291,联合水务,8.6,0.77,13.0/12.1,金叉/绿柱缩短,30.2%,0.0%
1-多指标共振金叉,001338,永顺泰,9.29,0.9,18.7/14.9,金叉/绿柱缩短,30.1%,-0.4%
1-多指标共振金叉,000876,新 希 望,6.21,0.64,10.0/2.7,金叉/绿柱缩短,29.8%,0.2%
1-多指标共振金叉,603277,银都股份,10.12,1.16,10.3/10.0,金叉/绿柱缩短,27.4%,1.1%
1-多指标共振金叉,600989,宝丰能源,21.72,1.08,21.0/25.9,金叉/绿柱缩短,25.1%,1.0%
1-多指标共振金叉,605169,洪通燃气,9.71,0.7,2.5/3.8,金叉/绿柱缩短,24.6%,0.2%
1-多指标共振金叉,603551,奥普科技,9.25,0.94,0.0/4.0,金叉/绿柱缩短,24.1%,0.0%
1-多指标共振金叉,600104,上汽集团,10.5,0.78,16.4/7.9,金叉/绿柱缩短,23.8%,0.4%
1-多指标共振金叉,002543,万和电气,6.52,1.12,5.3/11.2,金叉/绿柱缩短,23.4%,0.2%
1-多指标共振金叉,002103,广博股份,6.21,1.31,23.3/12.5,金叉/绿柱缩短,23.2%,0.5%
1-多指标共振金叉,002911,佛燃能源,10.16,1.64,23.8/6.2,金叉/绿柱缩短,22.4%,-0.5%
1-多指标共振金叉,600706,曲江文旅,7.29,1.2,22.7/18.5,金叉/绿柱缩短,22.3%,1.0%
1-多指标共振金叉,603081,大丰实业,9.28,1.17,17.6/13.8,金叉/绿柱缩短,22.2%,-1.1%
1-多指标共振金叉,600371,万向德农,6.7,0.9,24.6/17.1,金叉/绿柱缩短,21.0%,1.2%
1-多指标共振金叉,002799,环球印务,6.61,1.23,8.3/12.0,金叉/绿柱缩短,21.0%,0.2%
1-多指标共振金叉,605300,佳禾食品,8.61,1.14,21.1/15.7,金叉/绿柱缩短,20.7%,-0.1%
1-多指标共振金叉,002020,京新药业,11.94,1.56,20.0/20.9,金叉/红柱,20.5%,-1.0%
1-多指标共振金叉,603214,爱婴室,12.9,1.36,22.3/16.1,金叉/绿柱缩短,19.7%,-0.2%
1-多指标共振金叉,002166,莱茵生物,7.15,1.6,21.4/6.9,金叉/绿柱缩短,19.3%,-0.7%
1-多指标共振金叉,605369,拱东医疗,15.4,1.36,23.8/16.5,金叉/绿柱缩短,18.6%,-1.8%
1-多指标共振金叉,600689,上海三毛,10.66,1.32,0.0/21.8,金叉/绿柱缩短,18.0%,-0.5%
1-多指标共振金叉,002399,海普瑞,8.88,0.88,16.7/22.0,金叉/绿柱缩短,17.8%,1.2%
1-多指标共振金叉,603970,中农立华,10.37,1.11,13.6/14.4,金叉/绿柱缩短,17.6%,1.1%
1-多指标共振金叉,600712,南宁百货,5.07,1.71,22.9/11.9,金叉/绿柱缩短,17.1%,1.4%
1-多指标共振金叉,603022,新通联,8.91,1.29,24.6/15.0,金叉/绿柱缩短,17.0%,0.8%
1-多指标共振金叉,600463,空港股份,8.53,0.99,18.3/11.2,金叉/绿柱缩短,17.0%,0.0%
1-多指标共振金叉,002205,国统股份,11.13,1.18,14.5/12.8,金叉/绿柱缩短,16.0%,1.1%
1-多指标共振金叉,603041,美思德,11.15,1.04,16.5/16.5,金叉/绿柱缩短,15.4%,-0.6%
1-多指标共振金叉,001219,青岛食品,12.36,1.25,5.2/5.6,金叉/绿柱缩短,14.8%,0.2%
1-多指标共振金叉,600834,申通地铁,6.95,1.46,19.4/17.7,金叉/绿柱缩短,14.0%,-0.4%
1-多指标共振金叉,605122,四方新材,11.67,1.3,24.3/12.1,金叉/绿柱缩短,13.9%,0.7%
1-多指标共振金叉,002275,桂林三金,12.3,0.94,19.7/22.5,金叉/绿柱缩短,12.1%,-0.2%
1-多指标共振金叉,605151,西上海,18.45,1.17,20.5/7.6,金叉/绿柱缩短,10.6%,-2.1%
2-极致缩量潜伏,603103,横店影视,15.49,0.71,0.0/23.7,底位/绿柱缩短,37.9%,-1.3%
2-极致缩量潜伏,600720,中交设计,5.27,0.78,21.7/10.7,金叉/绿柱缩短,22.0%,-0.2%
2-极致缩量潜伏,605266,健之佳,15.59,0.82,0.0/17.0,底位/绿柱缩短,19.9%,-0.3%
2-极致缩量潜伏,600861,北京人力,12.79,0.63,8.2/23.0,底位/绿柱缩短,19.7%,-1.3%
2-极致缩量潜伏,002372,伟星新材,8.63,0.8,23.8/17.4,底位/绿柱缩短,18.3%,-0.1%
2-极致缩量潜伏,601857,中国石油,9.68,0.81,12.1/28.7,底位/绿柱缩短,17.1%,1.0%
2-极致缩量潜伏,002461,珠江啤酒,8.34,0.7,24.0/26.0,底位/绿柱缩短,15.4%,1.1%
2-极致缩量潜伏,601811,新华文轩,11.61,0.76,7.6/18.3,底位/绿柱缩短,15.1%,0.8%
3-准入选观察池,600508,上海能源,8.17,0.93,8.3/11.5,底位/绿柱缩短,61.5%,1.4%
3-准入选观察池,001300,三柏硕,12.85,0.87,0.0/20.0,底位/绿柱缩短,29.6%,-0.5%
3-准入选观察池,000705,浙江震元,6.32,1.09,24.1/18.3,金叉/红柱,25.0%,0.2%
3-准入选观察池,601155,新城控股,10.97,0.99,22.0/18.2,底位/绿柱缩短,24.3%,0.9%
3-准入选观察池,603766,隆鑫通用,11.37,1.02,23.6/34.7,底位/绿柱缩短,24.2%,0.6%
3-准入选观察池,603586,金麒麟,14.2,0.7,16.7/29.3,底位/绿柱缩短,23.3%,-6.8%
3-准入选观察池,000798,中水渔业,7.44,1.07,24.5/8.8,金叉/绿柱缩短,23.3%,-0.5%
3-准入选观察池,000729,燕京啤酒,10.28,0.91,16.5/21.4,底位/绿柱缩短,22.3%,0.3%
3-准入选观察池,600873,梅花生物,8.25,1.06,23.9/22.9,底位/绿柱缩短,21.1%,-0.7%
3-准入选观察池,002100,天康生物,5.99,0.89,15.2/25.2,底位/绿柱缩短,20.4%,-0.5%
3-准入选观察池,002053,云南能投,9.73,0.98,21.2/19.2,底位/绿柱缩短,19.8%,-0.7%
3-准入选观察池,600127,金健米业,5.51,1.01,13.2/10.6,金叉/绿柱缩短,19.7%,0.0%
3-准入选观察池,603029,天鹅股份,15.08,0.96,24.0/16.1,底位/绿柱缩短,19.6%,0.9%
3-准入选观察池,603035,常熟汽饰,10.91,1.06,16.9/13.5,金叉/绿柱缩短,19.6%,-1.4%
