类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
1-多指标共振金叉,600629,华建集团,15.84,0.73,3.1/9.8,金叉/绿柱缩短,26.8%,-1.4%
1-多指标共振金叉,600676,交运股份,6.15,1.08,8.8/12.1,金叉/绿柱缩短,22.2%,-3.0%
1-多指标共振金叉,603711,香飘飘,13.1,0.79,16.9/21.3,金叉/绿柱缩短,2.3%,0.2%
1-多指标共振金叉,603177,德创环保,9.49,0.85,4.2/15.8,金叉/绿柱缩短,18.9%,-0.4%
1-多指标共振金叉,605228,神通科技,12.34,1.28,4.5/5.1,金叉/绿柱缩短,14.0%,-1.2%
1-多指标共振金叉,002014,永新股份,10.25,0.77,15.7/18.8,金叉/绿柱缩短,12.1%,0.7%
1-多指标共振金叉,000810,创维数字,10.51,1.61,10.0/15.0,金叉/绿柱缩短,12.0%,-1.1%
2-极致缩量潜伏,002434,万里扬,6.08,0.25,15.3/15.4,底位/绿柱缩短,25.9%,-0.5%
2-极致缩量潜伏,603366,日出东方,6.96,0.73,13.5/30.6,底位/绿柱缩短,24.7%,-0.6%
2-极致缩量潜伏,000017,深中华A,5.05,0.83,20.0/32.5,底位/绿柱缩短,24.7%,-1.4%
2-极致缩量潜伏,600838,上海九百,7.67,0.6,10.6/29.0,底位/绿柱缩短,23.8%,-1.2%
2-极致缩量潜伏,600929,雪天盐业,5.04,0.82,16.4/22.1,底位/绿柱缩短,23.7%,0.4%
2-极致缩量潜伏,002438,江苏神通,5.07,0.6,1.7/16.4,底位/绿柱缩短,225.3%,-0.6%
2-极致缩量潜伏,002790,瑞尔特,5.99,0.82,14.3/28.2,底位/绿柱缩短,22.6%,-0.8%
2-极致缩量潜伏,603309,维力医疗,11.45,0.76,15.9/20.1,底位/绿柱缩短,22.1%,-1.0%
2-极致缩量潜伏,603238,诺邦股份,12.53,0.78,21.2/23.5,底位/绿柱缩短,21.4%,-0.3%
2-极致缩量潜伏,603810,丰山集团,12.53,0.79,10.8/21.4,底位/绿柱缩短,21.2%,-0.5%
2-极致缩量潜伏,002320,海峡股份,6.88,0.83,0.0/11.1,底位/绿柱缩短,21.2%,-1.2%
2-极致缩量潜伏,000655,金岭矿业,6.89,0.79,0.0/34.8,底位/绿柱缩短,20.4%,0.0%
2-极致缩量潜伏,600765,中航重机,13.21,0.7,0.0/13.0,底位/绿柱缩短,19.9%,-1.2%
2-极致缩量潜伏,603707,健友股份,7.67,0.85,15.7/29.9,底位/绿柱缩短,18.8%,-0.5%
2-极致缩量潜伏,603277,银都股份,11.44,0.73,12.9/13.2,底位/绿柱缩短,18.4%,0.0%
2-极致缩量潜伏,600127,金健米业,5.73,0.8,0.0/30.4,底位/绿柱缩短,18.1%,-0.5%
2-极致缩量潜伏,600371,万向德农,7.1,0.74,18.3/27.7,底位/绿柱缩短,17.8%,-0.4%
2-极致缩量潜伏,600233,圆通速递,17.02,0.56,0.0/17.4,底位/绿柱缩短,17.8%,-1.5%
2-极致缩量潜伏,002166,莱茵生物,7.42,0.81,0.0/12.7,底位/绿柱缩短,17.7%,-0.9%
2-极致缩量潜伏,601068,中铝国际,5.01,0.79,2.1/28.0,底位/绿柱缩短,17.5%,-0.6%
2-极致缩量潜伏,603506,南都物业,10.66,0.81,21.0/28.8,底位/绿柱缩短,16.0%,-0.8%
2-极致缩量潜伏,605377,华旺科技,8.15,0.8,5.4/29.9,底位/绿柱缩短,15.8%,0.6%
2-极致缩量潜伏,603214,爱婴室,13.67,0.67,19.6/27.6,底位/绿柱缩短,15.6%,-1.0%
3-准入选观察池,600560,金自天正,7.08,0.93,8.2/10.7,底位/绿柱缩短,99.2%,-0.8%
3-准入选观察池,600571,信雅达,7.32,0.61,1.8/14.3,底位/绿柱缩短,75.5%,-2.5%
3-准入选观察池,603638,艾迪精密,14.27,0.29,15.4/13.4,底位/绿柱缩短,54.3%,-2.1%
3-准入选观察池,601156,东航物流,11.48,0.6,0.4/17.9,底位/绿柱缩短,44.9%,-1.9%
3-准入选观察池,002572,索菲亚,8.57,0.87,14.9/10.5,底位/绿柱缩短,38.9%,-2.7%
3-准入选观察池,603313,梦百合,5.24,0.93,6.7/27.9,底位/红柱,35.1%,-0.2%
3-准入选观察池,605599,菜百股份,15.16,0.94,7.1/19.3,底位/红柱,34.4%,-2.4%
3-准入选观察池,600026,中远海能,16.75,0.96,0.0/15.7,底位/绿柱缩短,33.0%,-4.8%
3-准入选观察池,601611,中国核建,10.68,1.04,0.0/17.0,底位/绿柱缩短,29.2%,-3.8%
3-准入选观察池,002546,新联电子,6.85,1.05,10.5/18.7,底位/绿柱缩短,28.4%,-4.1%
3-准入选观察池,603421,鼎信通讯,6.62,1.08,15.3/26.7,底位/绿柱缩短,28.0%,-3.9%
3-准入选观察池,603279,景津装备,13.48,1.09,2.2/14.7,底位/绿柱缩短,27.7%,-3.8%
3-准入选观察池,603801,志邦家居,6.84,0.84,23.0/13.5,底位/绿柱缩短,26.5%,-2.4%
3-准入选观察池,603997,继峰股份,10.25,0.13,3.6/29.5,底位/绿柱缩短,26.3%,-2.9%
3-准入选观察池,603727,博迈科,14.3,1.08,18.8/10.5,底位/绿柱缩短,26.3%,-1.0%
3-准入选观察池,600416,湘电股份,9.81,0.93,5.7/29.0,底位/绿柱缩短,26.1%,-2.4%
3-准入选观察池,601969,海南矿业,8.81,0.87,3.2/16.9,底位/绿柱缩短,25.9%,-1.4%
3-准入选观察池,002237,恒邦股份,12.21,1.07,4.0/27.9,底位/绿柱缩短,24.7%,-2.9%
3-准入选观察池,605388,均瑶健康,5.4,0.88,2.2/8.7,底位/绿柱缩短,24.1%,-1.1%
3-准入选观察池,600216,浙江医药,11.92,1.02,17.2/13.2,底位/绿柱缩短,24.0%,-2.0%
3-准入选观察池,002373,千方科技,7.47,1.03,20.7/16.5,底位/绿柱缩短,24.0%,-2.2%
3-准入选观察池,002765,蓝黛科技,7.82,1.04,24.7/16.5,底位/绿柱缩短,23.7%,-3.7%
3-准入选观察池,605183,确成股份,14.78,0.71,4.6/28.1,底位/红柱,23.6%,-3.0%
3-准入选观察池,002755,奥赛康,12.66,0.75,0.0/22.9,底位/绿柱缩短,23.4%,-2.0%
3-准入选观察池,600864,哈投股份,5.15,0.98,12.1/20.9,底位/绿柱缩短,23.1%,-3.0%
3-准入选观察池,603766,隆鑫通用,11.77,0.24,8.0/31.6,底位/绿柱缩短,23.0%,-2.7%
3-准入选观察池,601155,新城控股,11.5,0.71,5.0/23.5,底位/绿柱缩短,22.9%,-2.3%
3-准入选观察池,601118,海南橡胶,5.55,0.77,18.1/33.3,底位/绿柱缩短,22.5%,-3.8%
3-准入选观察池,603817,海峡环保,5.86,1.0,6.4/26.5,底位/绿柱缩短,22.4%,-1.4%
3-准入选观察池,000888,峨眉山Ａ,9.75,1.01,24.2/23.0,底位/绿柱缩短,22.2%,-2.7%
3-准入选观察池,601872,招商轮船,5.53,0.09,0.0/2.2,底位/绿柱缩短,210.1%,-1.6%
3-准入选观察池,600877,电科芯片,13.38,0.97,14.2/23.9,底位/绿柱缩短,21.8%,-4.6%
3-准入选观察池,000061,农 产 品,6.06,1.04,20.6/25.2,底位/绿柱缩短,21.7%,-2.4%
3-准入选观察池,002911,佛燃能源,10.78,0.97,21.0/15.5,底位/绿柱缩短,21.7%,-2.4%
3-准入选观察池,002103,广博股份,6.53,0.9,15.6/23.0,底位/绿柱缩短,21.4%,-1.1%
3-准入选观察池,600650,锦江在线,10.35,1.09,9.4/27.8,底位/绿柱缩短,21.3%,-3.7%
